카테고리,기능명,우선순위,상태,담당자,예상공수(일),설명,기술스택,의존성
지갑관리,지갑생성,높음,계획,Qt개발팀,5,Qt 기반 새 블록체인 지갑 생성,Qt/C++/Web3.js,없음
지갑관리,지갑복구,높음,계획,Qt개발팀,4,니모닉/개인키로 지갑 복구,Qt/BIP39/C++,지갑생성
지갑관리,지갑백업,높음,계획,Qt개발팀,3,니모닉 구문 백업 및 파일 저장,Qt/BIP39/File I/O,지갑생성
지갑관리,지갑삭제,중간,계획,Qt개발팀,2,지갑 삭제 및 데이터 정리,Qt/SQLite,지갑생성
지갑관리,다중지갑지원,중간,계획,Qt개발팀,4,여러 지갑 동시 관리,Qt/SQLite/C++,지갑생성
계정관리,계정생성,높음,계획,Qt개발팀,3,지갑 내 새 계정 생성,Qt/HD Wallet/C++,지갑생성
계정관리,계정가져오기,중간,계획,Qt개발팀,3,외부 계정 가져오기,Qt/C++/Crypto,계정생성
계정관리,계정이름변경,낮음,계획,Qt개발팀,1,계정 별칭 설정,Qt/SQLite,계정생성
잔액조회,토큰잔액조회,높음,계획,Qt개발팀,4,ERC-20/BEP-20 토큰 잔액,Qt/Web3/JSON-RPC,계정관리
잔액조회,NFT조회,중간,계획,Qt개발팀,5,보유 NFT 목록 조회,Qt/ERC721/IPFS,계정관리
잔액조회,실시간잔액업데이트,중간,계획,Qt개발팀,4,실시간 잔액 갱신,Qt/WebSocket/Timer,잔액조회
거래,토큰전송,높음,계획,Qt개발팀,5,토큰 전송 기능,Qt/Web3/Transaction,잔액조회
거래,NFT전송,중간,계획,Qt개발팀,4,NFT 전송 기능,Qt/ERC721/Transaction,NFT조회
거래,거래내역조회,높음,계획,Qt개발팀,4,과거 거래 내역 조회,Qt/Blockchain API/SQLite,거래기능
거래,거래상태추적,중간,계획,Qt개발팀,3,거래 진행 상태 확인,Qt/WebSocket/Polling,거래기능
거래,가스비최적화,중간,계획,Qt개발팀,5,가스비 예측 및 최적화,Qt/Gas Oracle/Algorithm,거래기능
UI/UX,메인대시보드,높음,계획,Qt UI팀,6,메인 화면 대시보드,Qt Widgets/QML,지갑관리
UI/UX,거래화면,높음,계획,Qt UI팀,5,거래 송수신 화면,Qt Widgets/QML,거래기능
UI/UX,설정화면,중간,계획,Qt UI팀,4,지갑 설정 화면,Qt Widgets/QML,지갑관리
UI/UX,차트표시,중간,계획,Qt UI팀,6,가격 차트 및 통계,Qt Charts/QML,잔액조회
UI/UX,테마지원,낮음,계획,Qt UI팀,3,다크/라이트 테마,Qt Style/QML,UI기본
