ID,기능분류,기능명,상세설명,우선순위,상태,담당페이지,관련컴포넌트,비고
1,핵심기능,문제입력,사용자가 고민이나 나쁜 습관을 텍스트로 입력,높음,완료,메인페이지,textarea,최대 입력 길이 제한 없음
2,핵심기능,카테고리선택,6가지 카테고리 중 하나 선택 (게으름/건강/공부/인간관계/자신감/기타),높음,완료,메인페이지,카테고리버튼,이모지와 함께 표시
3,핵심기능,긴급도설정,즉시해결 또는 장기적개선 중 선택,중간,완료,메인페이지,긴급도버튼,2가지 옵션
4,핵심기능,기가차드조언생성,카테고리별 맞춤형 조언 자동 생성,높음,완료,응답페이지,getGigaChadResponse(),랜덤 응답 선택
5,핵심기능,목표생성,문제 해결을 위한 구체적인 목표 설정,높음,완료,응답페이지,목표생성폼,제목/설명/목표일수 입력
6,핵심기능,일일체크인,매일 목표 달성 여부 체크인 (완료/실패),높음,완료,목표관리페이지,체크인버튼,하루에 한 번만 가능
7,핵심기능,스트릭추적,연속 달성 일수 자동 계산 및 표시,높음,완료,목표관리페이지,checkInGoal(),현재/최고 스트릭 표시
8,핵심기능,진행률시각화,목표 달성률을 프로그레스바로 표시,중간,완료,목표관리페이지,프로그레스바,퍼센트와 일수 표시
9,핵심기능,달성기록표시,최근 14일간의 성취 기록 미니 캘린더,중간,완료,목표관리페이지,달성기록컴포넌트,✓/✗ 아이콘 표시
10,핵심기능,통계대시보드,전체 통계 요약 (문제/목표/달성/스트릭),중간,완료,통계페이지,통계카드,4개 주요 지표
11,핵심기능,카테고리별분석,카테고리별 문제→목표→완료 흐름 분석,중간,완료,통계페이지,getCategoryStats(),완료율 계산
12,핵심기능,최근활동타임라인,최근 10개 활동 기록 표시,낮음,완료,통계페이지,getRecentActivity(),시간순 정렬
13,데이터관리,로컬스토리지저장,브라우저 로컬스토리지에 데이터 영속화,높음,완료,전체,storage.ts,4개 키 사용
14,데이터관리,문제데이터관리,문제 추가/조회 기능,높음,완료,전체,saveProblems/getProblems(),CRUD 중 CR
15,데이터관리,목표데이터관리,목표 추가/조회/수정 기능,높음,완료,전체,saveGoals/getGoals/updateGoal(),CRUD 중 CRU
16,데이터관리,응답데이터관리,기가차드 응답 추가/조회 기능,중간,완료,전체,saveResponses/getResponses(),CRUD 중 CR
17,데이터관리,통계계산,사용자 통계 자동 계산,중간,완료,전체,calculateStats(),실시간 계산
18,데이터관리,고유ID생성,타임스탬프 기반 고유 ID 생성,높음,완료,전체,generateId(),Date.now() + random
19,데이터관리,데이터초기화,모든 로컬스토리지 데이터 삭제,낮음,완료,전체,clearAllData(),관리자 기능
20,응답시스템,조언응답,문제 해결을 위한 강력한 조언 제공,높음,완료,응답페이지,gigaChadResponses.ts,카테고리별 5개씩
21,응답시스템,칭찬응답,목표 달성 시 동기부여 칭찬,높음,완료,목표관리페이지,getGigaChadResponse('praise'),카테고리별 4개씩
