카테고리,기능명,우선순위,상태,담당자,예상공수(일),설명,기술스택,의존성
사용자관리,회원가입,높음,완료,모바일팀,5,사용자 계정 생성 및 이메일 인증,React Native,없음
사용자관리,로그인,높음,완료,모바일팀,3,사용자 로그인 및 세션 관리,JWT/AsyncStorage,회원가입
사용자관리,프로필관리,높음,완료,모바일팀,4,개인정보 및 신체정보 관리,React Native,로그인
사용자관리,신체정보설정,높음,완료,모바일팀,3,키/몸무게/나이/성별 등 기본 정보,React Native,프로필관리
사용자관리,목표설정,높음,완료,모바일팀,4,운동 목표 및 체중 목표 설정,React Native,신체정보설정
운동기록,운동세션시작,높음,완료,모바일팀,5,운동 세션 시작 및 타이머 기능,React Native,사용자관리
운동기록,운동종목선택,높음,완료,모바일팀,4,다양한 운동 종목 선택 및 검색,SQLite,운동세션시작
운동기록,세트기록,높음,완료,모바일팀,5,세트별 무게/횟수/시간 기록,SQLite,운동종목선택
운동기록,휴식시간측정,중간,완료,모바일팀,3,세트 간 휴식 시간 자동 측정,React Native,세트기록
운동기록,운동완료,높음,완료,모바일팀,4,운동 세션 완료 및 데이터 저장,SQLite,휴식시간측정
운동데이터,운동이력조회,높음,완료,모바일팀,5,일별/주별/월별 운동 이력 조회,SQLite,운동기록
운동데이터,운동통계,높음,완료,모바일팀,6,운동량 통계 및 차트 표시,Chart.js,운동이력조회
운동데이터,진도추적,높음,완료,모바일팀,5,운동별 진도 및 개선 사항 추적,React Native,운동통계
운동데이터,개인기록,중간,진행중,모바일팀,4,운동별 개인 최고 기록 관리,SQLite,진도추적
운동데이터,운동분석,중간,계획,모바일팀,6,운동 패턴 및 성과 분석,Chart.js,개인기록
체중관리,체중기록,높음,완료,모바일팀,4,일일 체중 측정 및 기록,SQLite,운동데이터
체중관리,체중그래프,높음,완료,모바일팀,4,체중 변화 그래프 표시,Chart.js,체중기록
체중관리,체성분기록,중간,진행중,모바일팀,5,체지방률/근육량 등 체성분 기록,SQLite,체중그래프
체중관리,목표체중설정,높음,완료,모바일팀,3,목표 체중 및 달성 기간 설정,React Native,체성분기록
