카테고리,기능ID,기능명,상세설명,우선순위,구현상태,관련화면,기술스택,비고
인증,AUTH-001,소셜 로그인 - Google,Google 계정을 통한 소셜 로그인 기능,높음,구현완료,AuthScreen,"@react-native-google-signin/google-signin, Firebase Auth",OAuth 2.0 기반
인증,AUTH-002,소셜 로그인 - Kakao,카카오 계정을 통한 소셜 로그인 기능,높음,구현완료,AuthScreen,"@react-native-seoul/kakao-login, Firebase Auth",Kakao SDK 연동
인증,AUTH-003,소셜 로그인 - Naver,네이버 계정을 통한 소셜 로그인 기능,높음,구현완료,AuthScreen,"@react-native-seoul/naver-login, Firebase Auth",Naver SDK 연동
인증,AUTH-004,소셜 로그인 - Apple,Apple ID를 통한 소셜 로그인 기능,높음,구현완료,AuthScreen,"@invertase/react-native-apple-authentication, Firebase Auth",iOS 필수 요구사항
인증,AUTH-005,JWT 토큰 관리,JWT 기반 인증 토큰 발급 및 관리,높음,구현완료,전체,"jwt-decode, AsyncStorage",토큰 갱신 로직 포함
인증,AUTH-006,자동 로그인,저장된 토큰을 통한 자동 로그인 기능,중간,구현완료,AuthScreen,AsyncStorage,토큰 유효성 검증
인증,AUTH-007,로그아웃,사용자 로그아웃 및 토큰 삭제,높음,구현완료,MypageScreen,"Firebase Auth, AsyncStorage",세션 정리
인증,AUTH-008,회원 탈퇴,사용자 계정 삭제 기능,중간,구현완료,MypageScreen,Firebase Auth,데이터 완전 삭제
홈,HOME-001,메인 대시보드,앱 메인 화면 및 주요 기능 접근,높음,구현완료,HomeScreen,"React Navigation, styled-components",최초 진입점
홈,HOME-002,배너 슬라이더,프로모션 및 공지사항 배너 표시,중간,구현완료,HomeScreen,react-native-swiper-flatlist,자동 슬라이드
홈,HOME-003,추천 레슨 목록,사용자 맞춤 추천 레슨 표시,높음,구현완료,HomeScreen,"axios, GraphQL",AI 추천 알고리즘
홈,HOME-004,카테고리 바로가기,주요 카테고리 빠른 접근 버튼,중간,구현완료,HomeScreen,React Navigation,아이콘 기반 UI
홈,HOME-005,최근 본 레슨,사용자가 최근 조회한 레슨 목록,낮음,구현완료,HomeScreen,AsyncStorage,로컬 저장
카테고리,CAT-001,카테고리 목록 조회,전체 레슨 카테고리 목록 표시,높음,구현완료,CategoryScreen,"axios, GraphQL",계층 구조 지원
카테고리,CAT-002,카테고리별 필터링,선택한 카테고리의 레슨만 필터링,높음,구현완료,CategoryScreen,React Navigation,다중 필터 지원
카테고리,CAT-003,서브 카테고리 탐색,상위 카테고리 내 하위 카테고리 탐색,중간,구현완료,CategoryScreen,"@react-navigation/material-top-tabs",탭 기반 네비게이션
카테고리,CAT-004,카테고리 아이콘 표시,각 카테고리별 대표 아이콘 표시,낮음,구현완료,CategoryScreen,"react-native-vector-icons, react-native-svg",커스텀 아이콘
검색,SEARCH-001,키워드 검색,레슨명/강사명 기반 검색 기능,높음,구현완료,SearchScreen,"axios, GraphQL",실시간 검색
검색,SEARCH-002,자동완성,검색어 입력 시 자동완성 제안,중간,구현완료,SearchScreen,debounce,성능 최적화
검색,SEARCH-003,최근 검색어,사용자의 최근 검색어 저장 및 표시,낮음,구현완료,SearchScreen,AsyncStorage,최대 10개 저장
검색,SEARCH-004,인기 검색어,실시간 인기 검색어 순위 표시,낮음,구현완료,SearchScreen,GraphQL Subscription,실시간 업데이트
검색,SEARCH-005,검색 필터,가격/지역/난이도 등 다양한 필터 옵션,중간,구현완료,SearchScreen,react-native-dropdown-picker,다중 필터 조합
검색,SEARCH-006,검색 결과 정렬,관련도/가격/평점 기준 정렬,중간,구현완료,SearchScreen,lodash,정렬 알고리즘
레슨,LESSON-001,레슨 상세 정보,레슨의 모든 상세 정보 표시,높음,구현완료,LessonScreen,"axios, GraphQL",이미지 갤러리 포함
레슨,LESSON-002,레슨 이미지 갤러리,레슨 관련 이미지 슬라이더,중간,구현완료,LessonScreen,react-native-image-slider-box,확대/축소 지원
레슨,LESSON-003,강사 프로필 조회,강사의 상세 프로필 정보 표시,중간,구현완료,LessonScreen,GraphQL,경력/자격증 포함
레슨,LESSON-004,레슨 일정 조회,예약 가능한 레슨 일정 캘린더,높음,구현완료,LessonScreen,react-native-calendars,월/주/일 뷰
레슨,LESSON-005,레슨 예약,원하는 날짜/시간 레슨 예약,높음,구현완료,LessonScreen,"axios, GraphQL",실시간 예약 확인
레슨,LESSON-006,레슨 결제,아임포트를 통한 결제 처리,높음,구현완료,LessonScreen,iamport-react-native,다양한 결제수단
레슨,LESSON-007,레슨 리뷰 조회,다른 사용자의 레슨 리뷰 확인,중간,구현완료,LessonScreen,GraphQL,평점/사진 포함
레슨,LESSON-008,레슨 리뷰 작성,수강 완료 후 리뷰 작성,중간,구현완료,LessonScreen,"axios, react-native-image-picker",사진 첨부 가능
레슨,LESSON-009,레슨 위치 정보,레슨 장소의 지도 및 주소 정보,중간,구현완료,LessonScreen,geolib,거리 계산
레슨,LESSON-010,레슨 공유,레슨 정보를 SNS로 공유,낮음,구현완료,LessonScreen,react-native-share,딥링크 생성
즐겨찾기,FAV-001,즐겨찾기 추가,관심 레슨을 즐겨찾기에 추가,높음,구현완료,전체,"axios, GraphQL",하트 아이콘
즐겨찾기,FAV-002,즐겨찾기 목록 조회,저장한 즐겨찾기 레슨 목록 확인,높음,구현완료,FavoriteScreen,GraphQL,정렬 기능
즐겨찾기,FAV-003,즐겨찾기 삭제,즐겨찾기에서 레슨 제거,중간,구현완료,FavoriteScreen,axios,스와이프 삭제
즐겨찾기,FAV-004,즐겨찾기 알림,즐겨찾기 레슨의 할인/일정 알림,낮음,구현완료,FavoriteScreen,Firebase Messaging,푸시 알림
마이페이지,MY-001,프로필 조회,사용자 프로필 정보 표시,높음,구현완료,MypageScreen,GraphQL,프로필 이미지 포함
마이페이지,MY-002,프로필 수정,사용자 정보 수정 기능,높음,구현완료,MypageScreen,"axios, react-native-image-picker",이미지 업로드
