카테고리,기능ID,기능명,상세설명,우선순위,구현상태,관련파일,비고
노드관리,NM-001,노드 시작,블록체인 노드를 시작하고 모든 서비스를 활성화,높음,구현완료,src/Saseul/Script/Start.php,Master/DataPool/ChainMaker 등 서비스 시작
노드관리,NM-002,노드 중지,실행 중인 노드를 안전하게 종료,높음,구현완료,src/Saseul/Script/Stop.php,모든 서비스 graceful shutdown
노드관리,NM-003,노드 재시작,노드를 중지하고 다시 시작,중간,구현완료,src/Saseul/Script/Restart.php,설정 변경 후 재시작 시 사용
노드관리,NM-004,노드 강제종료,응답하지 않는 노드를 강제로 종료,중간,구현완료,src/Saseul/Script/Kill.php,비상시 사용
노드관리,NM-005,노드 정보 조회,노드의 현재 상태와 정보를 조회,중간,구현완료,src/Saseul/Script/Info.php,버전/주소/상태 등 출력
노드관리,NM-006,로그 확인,실시간 노드 로그를 확인,높음,구현완료,src/Saseul/Script/Log.php,saseul.log 실시간 모니터링
환경설정,ENV-001,환경 초기화,노드 환경을 초기 설정,높음,구현완료,src/Saseul/Script/SetEnv.php,최초 설치 시 필수
환경설정,ENV-002,환경 조회,현재 환경 설정을 조회,중간,구현완료,src/Saseul/Script/GetEnv.php,설정 확인용
환경설정,ENV-003,엔드포인트 설정,노드의 네트워크 엔드포인트 설정,중간,구현완료,src/Saseul/Script/SetEndpoint.php,IP/포트 설정
환경설정,ENV-004,설정 파일 관리,saseul.ini 파일 기반 설정 관리,높음,구현완료,saseul.ini,노드타입/네트워크/DB 설정
환경설정,ENV-005,레저 타입 설정,Full/Partial 레저 타입 선택,높음,구현완료,src/Saseul/Config.php,저장 공간 관리 전략
블록체인초기화,BC-001,제네시스 블록 생성,최초 블록체인 생성,높음,구현완료,src/Saseul/Script/Genesis.php,네트워크 시작 시 1회 실행
블록체인초기화,BC-002,제네시스 리소스 생성,제네시스 리소스 블록 생성,높음,구현완료,src/Saseul/Script/GenesisResource.php,리소스 체인 초기화
블록체인초기화,BC-003,데이터 리셋,블록체인 데이터 초기화,낮음,구현완료,src/Saseul/Script/Reset.php,개발/테스트 환경용
블록체인초기화,BC-004,데이터베이스 리셋,MySQL 데이터베이스 초기화,낮음,구현완료,src/Saseul/Script/ResetDB.php,DB 사용 시
블록체인초기화,BC-005,트래커 리셋,피어 트래커 정보 초기화,낮음,구현완료,src/Saseul/Script/ResetTracker.php,네트워크 재설정 시
API엔드포인트,API-001,블록 조회 API,블록 정보를 조회하는 REST API,높음,구현완료,src/Saseul/Api/Block.php,블록 높이/해시로 조회
API엔드포인트,API-002,트랜잭션 조회 API,트랜잭션 정보를 조회하는 API,높음,구현완료,src/Saseul/Api/Transaction.php,트랜잭션 해시로 조회
API엔드포인트,API-003,트랜잭션 전송 API,새로운 트랜잭션을 전송,높음,구현완료,src/Saseul/Api/SendTransaction.php,서명된 트랜잭션 제출
