번호,대분류,중분류,기능명,기능설명,우선순위,상태,API엔드포인트,관련모델,비고
1,리뷰관리,리뷰조회,전체 리뷰 조회,모든 리뷰 목록을 페이지네이션하여 조회,높음,구현완료,GET /api/reviews,"Review, Product, Order",필터링 및 정렬 기능 포함
2,리뷰관리,리뷰조회,베스트 리뷰 조회,베스트로 선정된 리뷰만 조회,높음,구현완료,GET /api/reviews/best,"Review, Product",is_best = true 조건
3,리뷰관리,리뷰조회,포토 리뷰 조회,사진이 포함된 리뷰만 조회,높음,구현완료,GET /api/reviews/photo,"Review, File",files_id 길이 체크
4,리뷰관리,리뷰조회,리뷰 상세 조회,특정 리뷰의 상세 정보 조회,높음,구현완료,GET /api/review/detail/:id,"Review, ReviewReply",답글 포함
5,리뷰관리,리뷰조회,상품별 리뷰 조회,특정 상품의 모든 리뷰 조회,높음,구현완료,GET /api/product/reviews/:id,"Review, Product",연결된 상품 포함
6,리뷰관리,리뷰조회,상품별 베스트 리뷰,특정 상품의 베스트 리뷰만 조회,중간,구현완료,GET /api/product/review/best/:id,"Review, Product, File",
7,리뷰관리,리뷰조회,상품별 포토 리뷰,특정 상품의 포토 리뷰만 조회,중간,구현완료,GET /api/product/review/photo/:id,"Review, Product, File",
8,리뷰관리,리뷰조회,작성한 리뷰 조회,사용자가 작성한 리뷰 목록,중간,구현완료,GET /api/review/wrote,"Review, Order",회원별 조회
9,리뷰관리,리뷰조회,작성 가능 리뷰 조회,리뷰 작성이 가능한 주문 목록,중간,구현완료,GET /api/review/able,Order,배송완료 주문 중 미작성 리뷰
10,리뷰관리,리뷰통계,리뷰 수 조회,상품별 리뷰 개수 조회,중간,구현완료,GET /api/product/count/reviews/:id,Review,
11,리뷰관리,리뷰통계,전체 리뷰 수 조회,모든 상품의 리뷰 수 조회,중간,구현완료,GET /api/product/count/all/reviews,Review,
12,리뷰관리,리뷰통계,리뷰 수 객체 조회,상품별 리뷰 수를 객체 형태로 조회,낮음,구현완료,GET /api/product/count/review,Review,
13,리뷰관리,리뷰상호작용,리뷰 좋아요,리뷰에 좋아요 추가/취소,중간,구현완료,GET /api/review/like/:id,"Review, Like",토글 방식
14,리뷰관리,리뷰포인트,리뷰 포인트 조회,리뷰 작성 가능 건수 및 적립 포인트 조회,중간,구현완료,GET /api/review/point,"Order, Review, Setting",포토리뷰 포인트 계산
15,리뷰관리,네이버페이,네이버페이 리뷰 조회,네이버페이 주문 리뷰 조회,중간,구현완료,GET /api/nReviews,"Review, Order",order_place_id 필터링
16,리뷰관리,리뷰필터링,텍스트 필터링,리뷰 내용 중 욕설/개인정보 필터링,높음,구현완료,N/A,Setting,text_filter 설정 기반
17,리뷰관리,리뷰필터링,노출 규칙 적용,리뷰 노출 시 이름/날짜/옵션 마스킹,높음,구현완료,N/A,Setting,review_view_rule 설정 기반
18,주문관리,주문조회,주문 정보 조회,특정 주문의 상세 정보 조회,높음,구현완료,GET /api/orderInfo/:order_id,Order,Cafe24 API 연동
