카테고리,기능ID,기능명,상세설명,우선순위,현재상태,담당모듈,비고
핵심기능,FUNC-001,WebView 통합,the-pureun.co.kr 웹사이트를 WebView로 표시,높음,구현완료,react-native-webview,DOM Storage 및 쿠키 공유 활성화
핵심기능,FUNC-002,초기 라우팅,앱 시작 시 /userApp/login 페이지로 이동,높음,구현완료,constants/index.js,STARTING_ROUTE 상수로 관리
핵심기능,FUNC-003,스플래시 스크린,앱 시작 시 1.5초 스플래시 화면 표시,중간,구현완료,react-native-bootsplash,페이드 효과 적용
푸시알림,FUNC-101,FCM 토큰 획득,Firebase Cloud Messaging 토큰 생성 및 저장,높음,구현완료,@react-native-firebase/messaging,앱 시작 시 자동 실행
푸시알림,FUNC-102,FCM 토큰 전송,서버에 FCM 토큰 전송 (POST /userApp/setToken),높음,구현완료,axios,로그인 후 1회 전송
푸시알림,FUNC-103,포어그라운드 알림,앱 실행 중 푸시 알림 수신 및 Alert 표시,높음,구현완료,@react-native-firebase/messaging,onMessage 리스너
푸시알림,FUNC-104,백그라운드 알림,앱 백그라운드 상태에서 알림 터치 처리,높음,구현완료,@react-native-firebase/messaging,onNotificationOpenedApp
푸시알림,FUNC-105,Quit 상태 알림,앱 종료 상태에서 알림으로 앱 실행,높음,구현완료,@react-native-firebase/messaging,getInitialNotification
하드웨어-NFC,FUNC-201,NFC 스캔 시작,WebView에서 'nfc_on' 메시지 수신 시 NFC 스캔 시작,높음,구현완료,react-native-nfc-manager,NDEF 기술 사용
하드웨어-NFC,FUNC-202,NFC 태그 읽기,NFC 태그 감지 및 ID 추출,높음,구현완료,react-native-nfc-manager,ndefMessage 파싱
하드웨어-NFC,FUNC-203,NFC 결과 전송,WebView로 태그 ID 전송 (beacon_recognized_complete),높음,구현완료,WebView.postMessage,성공 시 태그 ID 포함
하드웨어-NFC,FUNC-204,NFC 에러 처리,NFC 스캔 실패 시 에러 메시지 전송,높음,구현완료,WebView.postMessage,beacon_recognized_error
하드웨어-NFC,FUNC-205,NFC 타임아웃,15초 후 자동 스캔 종료 및 알림,중간,구현완료,setTimeout,beacon_nfc_off 메시지 전송
하드웨어-NFC,FUNC-206,NFC 스캔 중지,WebView에서 'nfc_off' 메시지 수신 시 스캔 중지,높음,구현완료,NfcManager.cancelTechnologyRequest,수동 중지
하드웨어-BLE,FUNC-301,BLE 스캔 시작,WebView에서 'ble_on' 메시지 수신 시 BLE 스캔 시작,높음,구현완료,react-native-ble-plx,BleManager 사용
하드웨어-BLE,FUNC-302,BLE 디바이스 검색,주변 블루투스 디바이스 검색 및 로깅,높음,구현완료,BleManager.startDeviceScan,디바이스 이름과 ID 수집
하드웨어-BLE,FUNC-303,BLE 타임아웃,15초 후 자동 스캔 종료 및 알림,중간,구현완료,setTimeout,beacon_ble_off 메시지 전송
하드웨어-BLE,FUNC-304,BLE 스캔 중지,WebView에서 'ble_off' 메시지 수신 시 스캔 중지,높음,구현완료,BleManager.stopDeviceScan,수동 중지
하드웨어-QR,FUNC-401,QR 스캔 시작,WebView에서 'camera_on' 메시지 수신 시 QR 스캐너 활성화,높음,구현완료,react-native-qrcode-scanner,카메라 권한 확인
