카테고리,기능명,우선순위,상태,담당자,예상공수(일),설명,기술스택,의존성
작업관리,작업생성,높음,계획,개발팀,2,새 작업 생성 및 기본 정보 입력,React/Node.js,없음
작업관리,작업편집,높음,계획,개발팀,2,기존 작업 정보 수정,React/Node.js,작업생성
작업관리,작업삭제,중간,계획,개발팀,1,작업 삭제 및 휴지통 기능,Node.js,작업생성
작업관리,작업상태변경,높음,계획,개발팀,2,할일/진행중/완료 상태 변경,React/Node.js,작업생성
작업관리,우선순위설정,중간,계획,개발팀,1,작업 우선순위 지정,React,작업생성
작업관리,마감일설정,높음,계획,개발팀,2,작업 마감일 설정 및 알림,React/Node.js,작업생성
프로젝트관리,프로젝트생성,높음,계획,개발팀,3,새 프로젝트 생성,React/Node.js,없음
프로젝트관리,프로젝트편집,중간,계획,개발팀,2,프로젝트 정보 수정,React/Node.js,프로젝트생성
프로젝트관리,프로젝트삭제,중간,계획,개발팀,1,프로젝트 삭제,Node.js,프로젝트생성
프로젝트관리,멤버관리,높음,계획,개발팀,3,프로젝트 멤버 초대/제거,React/Node.js,프로젝트생성
프로젝트관리,권한관리,중간,계획,개발팀,3,멤버별 권한 설정,Node.js/JWT,멤버관리
팀관리,팀생성,중간,계획,개발팀,2,새 팀 생성,React/Node.js,없음
팀관리,팀멤버초대,중간,계획,개발팀,3,이메일 기반 팀 멤버 초대,Nodemailer,팀생성
팀관리,역할관리,중간,계획,개발팀,2,팀 내 역할 및 권한 관리,Node.js,팀멤버초대
사용자관리,회원가입,높음,계획,개발팀,3,신규 사용자 가입,React/Node.js,없음
사용자관리,로그인,높음,계획,개발팀,2,사용자 인증 및 로그인,JWT/bcrypt,회원가입
사용자관리,프로필관리,중간,계획,개발팀,2,사용자 프로필 편집,React/Node.js,로그인
사용자관리,비밀번호변경,중간,계획,개발팀,2,비밀번호 변경 기능,bcrypt,로그인
알림,이메일알림,중간,계획,개발팀,3,작업 마감일/변경사항 이메일 알림,Nodemailer,작업관리
알림,푸시알림,낮음,계획,개발팀,4,브라우저 푸시 알림,Web Push API,이메일알림
알림,인앱알림,중간,계획,개발팀,2,앱 내 실시간 알림,Socket.io,없음
대시보드,개인대시보드,높음,계획,개발팀,4,개인 작업 현황 대시보드,React/Chart.js,작업관리
대시보드,팀대시보드,중간,계획,개발팀,4,팀 프로젝트 진행 현황,React/Chart.js,팀관리
대시보드,프로젝트대시보드,중간,계획,개발팀,3,프로젝트별 진행률 표시,React/Chart.js,프로젝트관리
캘린더,캘린더뷰,중간,계획,개발팀,4,작업 일정 캘린더 표시,React/FullCalendar,작업관리
캘린더,일정추가,중간,계획,개발팀,2,캘린더에서 직접 작업 추가,React,캘린더뷰
캘린더,일정편집,중간,계획,개발팀,2,드래그앤드롭으로 일정 변경,React,일정추가
검색,작업검색,중간,계획,개발팀,3,키워드 기반 작업 검색,Elasticsearch,작업관리
검색,필터링,중간,계획,개발팀,3,상태/우선순위/담당자 필터,React/Node.js,작업검색
검색,정렬기능,중간,계획,개발팀,2,마감일/우선순위/생성일 정렬,React,작업검색
파일관리,파일첨부,중간,계획,개발팀,3,작업에 파일 첨부,Multer/AWS S3,작업관리
파일관리,파일다운로드,중간,계획,개발팀,2,첨부 파일 다운로드,Node.js,파일첨부
파일관리,파일삭제,중간,계획,개발팀,1,첨부 파일 삭제,Node.js,파일첨부
댓글,댓글작성,중간,계획,개발팀,2,작업에 댓글 추가,React/Node.js,작업관리
댓글,댓글편집,낮음,계획,개발팀,1,댓글 수정,React/Node.js,댓글작성
댓글,댓글삭제,낮음,계획,개발팀,1,댓글 삭제,Node.js,댓글작성
시간추적,시간기록,중간,계획,개발팀,3,작업 소요 시간 기록,React/Node.js,작업관리
시간추적,타이머기능,중간,계획,개발팀,2,실시간 작업 시간 측정,React,시간기록
시간추적,시간보고서,낮음,계획,개발팀,3,시간 사용 분석 보고서,React/Chart.js,시간기록
보고서,진행률보고서,중간,계획,개발팀,3,프로젝트 진행률 리포트,React/Chart.js,프로젝트관리
보고서,생산성분석,낮음,계획,개발팀,4,개인/팀 생산성 분석,Node.js/MongoDB,시간추적
보고서,데이터내보내기,낮음,계획,개발팀,2,CSV/PDF 형태로 데이터 내보내기,Node.js/PDFKit,보고서
모바일,반응형디자인,중간,계획,개발팀,5,모바일 친화적 UI/UX,React/CSS,없음
모바일,오프라인지원,낮음,계획,개발팀,6,오프라인 모드 지원,Service Worker,반응형디자인
