카테고리,기능명,우선순위,상태,담당자,예상공수(일),설명,기술스택,의존성
사용자관리,지갑연결,높음,계획,개발팀,3,MetaMask/WalletConnect 연결,Web3.js/WalletConnect,없음
사용자관리,프로필생성,높음,계획,개발팀,4,아티스트/컬렉터 프로필,React/IPFS,지갑연결
사용자관리,프로필편집,중간,계획,개발팀,2,프로필 정보 수정,React/IPFS,프로필생성
사용자관리,인증시스템,중간,계획,개발팀,4,아티스트 인증 배지,Verification System,프로필생성
사용자관리,팔로우시스템,낮음,계획,개발팀,3,아티스트/컬렉터 팔로우,React/Node.js,프로필생성
NFT생성,NFT민팅,높음,계획,개발팀,6,새 NFT 생성 및 민팅,ERC721/IPFS/Web3.js,지갑연결
NFT생성,메타데이터관리,높음,계획,개발팀,4,NFT 메타데이터 생성/저장,IPFS/JSON Schema,NFT민팅
NFT생성,로열티설정,중간,계획,개발팀,3,창작자 로열티 설정,ERC2981/Smart Contract,NFT민팅
NFT생성,컬렉션생성,중간,계획,개발팀,4,NFT 컬렉션 생성,Smart Contract/React,NFT민팅
NFT생성,배치민팅,낮음,계획,개발팀,5,여러 NFT 일괄 민팅,Batch Minting/Gas Optimization,NFT민팅
마켓플레이스,NFT목록,높음,계획,개발팀,4,NFT 목록 표시,React/Pagination,NFT생성
마켓플레이스,NFT상세페이지,높음,계획,개발팀,4,NFT 상세 정보 페이지,React/Web3.js,NFT목록
마켓플레이스,검색필터,높음,계획,개발팀,5,NFT 검색 및 필터링,Elasticsearch/React,NFT목록
마켓플레이스,카테고리분류,중간,계획,개발팀,3,NFT 카테고리별 분류,React/Database,NFT목록
마켓플레이스,정렬기능,중간,계획,개발팀,2,가격/날짜/인기도 정렬,React/Database,NFT목록
거래,고정가격판매,높음,계획,개발팀,5,고정 가격 NFT 판매,Smart Contract/Web3.js,마켓플레이스
거래,경매시스템,높음,계획,개발팀,8,NFT 경매 기능,Auction Contract/Timer,고정가격판매
거래,즉시구매,높음,계획,개발팀,3,NFT 즉시 구매,Smart Contract/Web3.js,고정가격판매
