번호,카테고리,기능명,상세설명,우선순위,상태,담당모듈,관련API/컴포넌트,비고
1,데이터 수집,트위터 크롤링,러브버그 관련 키워드로 트위터 트윗 수집,High,구현완료,TwitterCrawler,/api/v1/reports,"키워드: 러브버그, 붉은등우단털파리, 빨간벌레 등"
2,데이터 수집,자동 스케줄링,10분마다 자동으로 크롤링 작업 실행,High,구현완료,APScheduler,main.py,"APScheduler 사용, interval: 10분"
3,데이터 수집,트위터 API 연동,Twitter API v2를 통한 공식 데이터 수집,Medium,구현완료,TwitterCrawler,tweepy,"Bearer Token 필요, 최근 24시간 데이터"
4,데이터 수집,웹 스크래핑 대체,API 토큰 없을 시 웹 스크래핑으로 데이터 수집,Low,구현완료,TwitterCrawler,_crawl_with_scraping,현재 샘플 데이터 사용
5,데이터 수집,Instagram 크롤링,Instagram에서 러브버그 관련 게시물 수집,Medium,미구현,InstagramCrawler,-,향후 개발 예정
6,데이터 수집,네이버 블로그 크롤링,네이버 블로그에서 러브버그 관련 글 수집,Medium,미구현,NaverBlogCrawler,-,향후 개발 예정
7,데이터 수집,이미지 수집,트윗에 첨부된 이미지 URL 추출 및 저장,Medium,구현완료,TwitterCrawler,image_urls,media_keys 활용
8,데이터 분석,텍스트 감정 분석,텍스트의 감정 점수 분석 (-1.0 ~ 1.0),High,구현완료,TextAnalyzer,_analyze_sentiment,긍정/부정 키워드 기반
9,데이터 분석,강도 분석,러브버그 출몰 강도 분석 (low/medium/high),High,구현완료,TextAnalyzer,_analyze_intensity,키워드 기반 3단계 분류
10,데이터 분석,신뢰도 계산,보고서의 신뢰도 점수 계산 (0.0 ~ 1.0),High,구현완료,TextAnalyzer,_calculate_confidence,키워드+위치+시간 정보 기반
11,데이터 분석,관련성 점수,러브버그 관련성 점수 계산 (0.0 ~ 1.0),Medium,구현완료,TextAnalyzer,_calculate_relevance,직접/간접 키워드 기반
12,데이터 분석,키워드 추출,텍스트에서 주요 키워드 자동 추출,Medium,구현완료,TextAnalyzer,_extract_keywords,정규표현식 패턴 매칭
13,데이터 분석,위치 추출,텍스트에서 위치명 추출 (역/구/동),High,구현완료,LocationExtractor,extract_location,정규표현식 패턴 매칭
14,데이터 분석,좌표 변환,위치명을 위도/경도 좌표로 변환,High,구현완료,LocationExtractor,_get_coordinates,64개 서울 주요 지역 매핑
15,데이터 분석,주소 파싱,주소에서 구/군/시/도 정보 추출,Medium,구현완료,LocationExtractor,"_extract_district, _extract_city",정규표현식 기반
16,데이터 분석,심각도 판단,텍스트 내용 기반 심각도 자동 판단,High,구현완료,TwitterCrawler,_determine_severity,4단계 (low/medium/high/critical)
17,데이터 분석,AI 텍스트 분석,OpenAI API를 활용한 고급 텍스트 분석,Low,미구현,TextAnalyzer,-,OpenAI 패키지 설치됨
18,데이터 분석,이미지 인식,이미지에서 러브버그 자동 감지,Low,미구현,ImageAnalyzer,-,향후 개발 예정
19,데이터 저장,MongoDB 연결,MongoDB 데이터베이스 연결 및 관리,High,구현완료,Motor,mongodb_client,비동기 드라이버 사용
20,데이터 저장,보고서 저장,LovebugReport 데이터 MongoDB에 저장,High,구현완료,main.py,lovebug_reports,tweet_id 기준 upsert
21,데이터 저장,중복 방지,동일 tweet_id 중복 저장 방지,High,구현완료,main.py,update_one with upsert,tweet_id 유니크 키
22,데이터 저장,인덱싱,데이터베이스 쿼리 성능 최적화를 위한 인덱스,Medium,미구현,MongoDB,-,created_at/location/severity 인덱스 필요
23,데이터 저장,Redis 캐싱,자주 조회되는 데이터 캐싱,Medium,미구현,Redis,-,Redis 패키지 설치됨
24,API,보고서 목록 조회,러브버그 보고서 목록 조회 API,High,구현완료,routes.py,GET /api/v1/reports,"필터: severity, platform, hours"
25,API,보고서 상세 조회,특정 보고서 상세 정보 조회 API,High,구현완료,routes.py,GET /api/v1/reports/{id},ObjectId 기반 조회
26,API,보고서 검색,키워드/위치/조건 기반 보고서 검색,High,구현완료,routes.py,GET /api/v1/search,"키워드, 위치, 반경, 심각도 필터"
27,API,통계 조회,전체 통계 정보 조회 API,High,구현완료,routes.py,GET /api/v1/stats,"시간대별, 지역별, 심각도별 통계"
28,API,핫스팟 조회,러브버그 출몰 핫스팟 조회 API,High,구현완료,routes.py,GET /api/v1/hotspots,"반경, 시간 필터, 최소 2개 보고서"
29,API,지역별 현황,지역별 러브버그 현황 조회 API,Medium,구현완료,routes.py,GET /api/v1/districts,구/군 단위 집계
30,API,헬스체크,API 서버 상태 확인,High,구현완료,main.py,GET /,기본 상태 정보
31,API,상세 헬스체크,MongoDB/Scheduler 상태 확인,Medium,구현완료,main.py,GET /health,"MongoDB ping, Scheduler 상태"
32,API,페이지네이션,대량 데이터 페이징 처리,High,구현완료,routes.py,limit/offset 파라미터,최대 1000개 제한
33,API,CORS 설정,Cross-Origin 요청 허용 설정,High,구현완료,main.py,CORSMiddleware,허용 도메인 환경변수 관리
34,API,에러 핸들링,API 에러 표준 응답 처리,Medium,구현완료,routes.py,HTTPException,500/404 에러 처리
35,실시간 통신,WebSocket 연결,클라이언트와 WebSocket 연결 수립,High,구현완료,main.py,WS /ws,WebSocketManager 사용
36,실시간 통신,실시간 브로드캐스트,새 보고서 발생 시 모든 클라이언트에 전송,High,구현완료,WebSocketManager,broadcast,JSON 형식 메시지
37,실시간 통신,개인 메시지,특정 클라이언트에 메시지 전송,Medium,구현완료,WebSocketManager,send_personal_message,Pong 응답
38,실시간 통신,연결 관리,WebSocket 연결/해제 관리,High,구현완료,WebSocketManager,"connect, disconnect",연결 목록 관리
