카테고리,기능명,우선순위,상태,담당자,예상공수(일),설명,기술스택,의존성
사용자관리,회원가입,높음,계획,개발팀,3,학습자/강사 회원가입,React/Node.js/JWT,없음
사용자관리,로그인,높음,계획,개발팀,2,사용자 인증 및 로그인,JWT/OAuth,회원가입
사용자관리,프로필관리,중간,계획,개발팀,3,사용자 프로필 정보 관리,React/Database,로그인
사용자관리,역할관리,중간,계획,개발팀,4,학습자/강사/관리자 역할,RBAC/Database,프로필관리
사용자관리,소셜로그인,중간,계획,개발팀,4,Google/Facebook 로그인,OAuth/Social API,로그인
강의관리,강의생성,높음,계획,개발팀,6,새 강의 생성 및 설정,React/Database,사용자관리
강의관리,강의편집,높음,계획,개발팀,4,강의 정보 수정,React/Database,강의생성
강의관리,강의삭제,중간,계획,개발팀,2,강의 삭제 기능,Database,강의편집
강의관리,강의복사,중간,계획,개발팀,3,기존 강의 복사,Database/Clone,강의생성
강의관리,강의카테고리,중간,계획,개발팀,3,강의 분야별 분류,Category/Database,강의생성
콘텐츠관리,동영상업로드,높음,계획,개발팀,5,강의 동영상 업로드,Video Upload/CDN,강의관리
콘텐츠관리,동영상편집,중간,계획,개발팀,6,동영상 편집 도구,Video Editor/FFmpeg,동영상업로드
콘텐츠관리,자료업로드,높음,계획,개발팀,3,PDF/문서 자료 업로드,File Upload/Storage,강의관리
콘텐츠관리,퀴즈생성,중간,계획,개발팀,5,강의별 퀴즈 생성,Quiz Engine/React,콘텐츠관리
콘텐츠관리,과제관리,중간,계획,개발팀,5,과제 생성 및 관리,Assignment System,퀴즈생성
학습진도,진도추적,높음,계획,개발팀,4,학습 진도 추적,Progress Tracking,콘텐츠관리
학습진도,완료인증,중간,계획,개발팀,3,강의 완료 인증서,Certificate/PDF,진도추적
학습진도,학습시간,중간,계획,개발팀,3,학습 시간 기록,Time Tracking,진도추적
학습진도,북마크,중간,계획,개발팀,2,중요 구간 북마크,Bookmark/Database,학습진도
학습진도,메모기능,낮음,계획,개발팀,3,학습 중 메모 작성,Note Taking/React,북마크
평가시스템,퀴즈응시,높음,계획,개발팀,4,퀴즈 응시 기능,Quiz System/React,퀴즈생성
평가시스템,과제제출,중간,계획,개발팀,4,과제 제출 시스템,Assignment Submit,과제관리
평가시스템,성적관리,중간,계획,개발팀,4,성적 기록 및 관리,Grade Management,평가시스템
평가시스템,피드백,중간,계획,개발팀,3,강사 피드백 시스템,Feedback/Comment,성적관리
평가시스템,자동채점,낮음,계획,개발팀,6,객관식 자동 채점,Auto Grading/ML,평가시스템
