번호,대분류,중분류,기능명,기능설명,우선순위,상태,담당자,비고
1,인증/권한,OAuth 인증,Cafe24 OAuth 연동,Cafe24 쇼핑몰과 OAuth 2.0 인증 연동,높음,완료,Backend,HMAC 검증 포함
2,인증/권한,OAuth 인증,Access Token 관리,Access Token 발급 및 저장,높음,완료,Backend,GiftMall 테이블에 저장
3,인증/권한,OAuth 인증,Refresh Token 자동 갱신,만료된 Access Token 자동 갱신,높음,완료,Backend,expires_at 체크
4,인증/권한,OAuth 인증,HMAC 요청 검증,Cafe24 요청의 HMAC SHA256 검증,높음,완료,Backend,보안 강화
5,인증/권한,관리자 인증,로그인 기능,관리자 로그인 (Passport Local),높음,완료,Backend,bcrypt 비밀번호 해싱
6,인증/권한,관리자 인증,세션 관리,Express Session 기반 세션 관리,높음,완료,Backend,Remember Me 지원
7,인증/권한,권한 관리,권한 확인,사용자 권한 확인 미들웨어,중간,완료,Backend,auth.js 유틸리티
8,인증/권한,권한 관리,권한 설정 페이지,관리자 권한 설정 UI,낮음,완료,Frontend,/permission 경로
9,주문 관리,주문 조회,주문 목록 조회,선물 주문 목록 조회 (페이징),높음,완료,Backend,DataTables 연동
10,주문 관리,주문 조회,주문 검색,주문 ID/상품명/수령인 검색,높음,완료,Backend,LIKE 검색
11,주문 관리,주문 조회,날짜 범위 검색,주문 날짜 기준 범위 검색,높음,완료,Backend,시작일/종료일
12,주문 관리,주문 조회,상태별 필터링,작성완료/미작성 상태 필터,높음,완료,Backend,is_written 플래그
13,주문 관리,주문 조회,주문 상세 정보,개별 주문 상세 정보 조회,높음,완료,Backend,Cafe24 API 연동
14,주문 관리,주문 처리,주문 정보 수신,Cafe24 Webhook으로 주문 수신,높음,완료,Backend,실시간 동기화
15,주문 관리,주문 처리,주문 데이터 저장,GiftOrder 테이블에 주문 저장,높음,완료,Backend,Sequelize ORM
16,주문 관리,주문 처리,주문 취소 감지,취소된 주문 자동 감지,높음,완료,Backend,is_deny 플래그 설정
17,주문 관리,주문 처리,주문 보류 관리,신규 주문 자동 보류 처리,높음,완료,Backend,is_hold 기본값 T
18,배송 관리,배송지 관리,배송지 주소 변경,관리자가 배송지 주소 변경,높음,완료,Backend,Cafe24 API 호출
19,배송 관리,배송지 관리,우편번호 변경,배송지 우편번호 변경,높음,완료,Backend,주소 변경 포함
20,배송 관리,배송지 관리,주소 작성 여부 감지,Cafe24에서 주소 작성 자동 감지,높음,완료,Backend,배치 작업
21,배송 관리,배송지 관리,주소 작성 완료 처리,작성 완료 시 is_written 업데이트,높음,완료,Backend,자동화
22,배송 관리,배송 상태,배송 상태 조회,현재 배송 상태 조회,높음,완료,Backend,Cafe24 API
23,배송 관리,배송 상태,배송 상태 동기화,배송 상태 자동 동기화 (배치),높음,완료,Backend,shippingStatusJob
24,배송 관리,배송 상태,배송 전 주문 관리,배송 전(F) 주문 상태 업데이트,높음,완료,Backend,주기적 실행
25,배송 관리,배송 상태,배송 보류 주문 관리,배송 보류(W) 주문 상태 업데이트,높음,완료,Backend,주기적 실행
26,배송 관리,보류 관리,주문 보류,주문을 보류 상태로 변경,높음,완료,Backend,hold API
27,배송 관리,보류 관리,보류 해제,주문 보류 해제,높음,완료,Backend,unhold API
28,배송 관리,보류 관리,자동 보류 해제,주소 작성 시 자동 보류 해제,높음,완료,Backend,배치 작업
29,알림 관리,알림톡 발송,배송 정보 알림,배송 정보 알림톡 발송,중간,완료,Backend,alertTalk.js
30,알림 관리,알림톡 발송,선물 배송 안내,선물 배송 안내 알림톡,중간,완료,Backend,수령인에게 발송
31,알림 관리,알림톡 발송,선물 거절 안내,선물 거절 안내 알림톡,중간,완료,Backend,구매자에게 발송
32,알림 관리,알림톡 발송,선물 메시지 전달,선물 메시지 알림톡 전달,중간,완료,Backend,수령인에게 발송
33,알림 관리,이메일 발송,이메일 알림,Nodemailer 기반 이메일 발송,낮음,완료,Backend,선택적 사용
34,API 연동,Cafe24 API,상품 정보 조회,Cafe24 상품 정보 조회,중간,완료,Backend,mall.read_product
35,API 연동,Cafe24 API,카테고리 조회,상품 카테고리 조회,낮음,완료,Backend,mall.read_category
