카테고리,기능명,우선순위,상태,담당자,예상공수(일),설명,기술스택,의존성
지갑관리,지갑생성,높음,계획,개발팀,4,새 블록체인 지갑 생성,React/Web3.js,없음
지갑관리,지갑복구,높음,계획,개발팀,3,니모닉/개인키로 지갑 복구,BIP39/Web3.js,지갑생성
지갑관리,지갑백업,높음,계획,개발팀,2,니모닉 구문 백업,BIP39,지갑생성
지갑관리,지갑삭제,중간,계획,개발팀,1,지갑 삭제 및 데이터 정리,React/LocalStorage,지갑생성
지갑관리,다중지갑지원,중간,계획,개발팀,3,여러 지갑 동시 관리,React/Web3.js,지갑생성
계정관리,계정생성,높음,계획,개발팀,2,지갑 내 새 계정 생성,Web3.js/HD Wallet,지갑생성
계정관리,계정가져오기,중간,계획,개발팀,2,외부 계정 가져오기,Web3.js,계정생성
계정관리,계정이름변경,낮음,계획,개발팀,1,계정 별칭 설정,React/LocalStorage,계정생성
잔액조회,토큰잔액조회,높음,계획,개발팀,3,ERC-20/BEP-20 토큰 잔액,Web3.js/ERC20,계정관리
잔액조회,NFT조회,중간,계획,개발팀,4,보유 NFT 목록 조회,Web3.js/ERC721,계정관리
잔액조회,실시간잔액업데이트,중간,계획,개발팀,3,실시간 잔액 갱신,WebSocket/Web3.js,잔액조회
거래,토큰전송,높음,계획,개발팀,4,토큰 전송 기능,Web3.js/ERC20,잔액조회
거래,NFT전송,중간,계획,개발팀,3,NFT 전송 기능,Web3.js/ERC721,NFT조회
거래,거래내역조회,높음,계획,개발팀,3,과거 거래 내역 조회,Web3.js/Etherscan API,거래기능
거래,거래상태추적,중간,계획,개발팀,2,거래 진행 상태 확인,Web3.js,거래기능
거래,가스비최적화,중간,계획,개발팀,4,가스비 예측 및 최적화,Gas Oracle/Web3.js,거래기능
DeFi,스왑기능,중간,계획,개발팀,6,토큰 스왑 (DEX 연동),Uniswap SDK/1inch,거래기능
DeFi,유동성공급,중간,계획,개발팀,5,유동성 풀 참여,DeFi Protocol SDK,스왑기능
DeFi,스테이킹,중간,계획,개발팀,5,토큰 스테이킹,Staking Contract/Web3.js,DeFi
DeFi,수익률조회,낮음,계획,개발팀,3,DeFi 수익률 확인,DeFi Analytics API,DeFi기능
보안,개인키암호화,높음,계획,보안팀,3,개인키 로컬 암호화 저장,AES/bcrypt,지갑생성
보안,생체인증,높음,계획,개발팀,4,지문/얼굴 인식 잠금,Biometric API,개인키암호화
보안,PIN설정,높음,계획,개발팀,2,PIN 코드 설정,React/Crypto,생체인증
보안,자동잠금,중간,계획,개발팀,2,일정 시간 후 자동 잠금,React/Timer,PIN설정
보안,피싱방지,중간,계획,보안팀,3,악성 사이트 차단,Blacklist/Security,없음
네트워크,멀티체인지원,높음,계획,개발팀,8,다중 블록체인 네트워크 지원,Web3.js/Multi-RPC,지갑관리
네트워크,네트워크전환,높음,계획,개발팀,3,네트워크 간 전환,Web3.js,멀티체인지원
네트워크,커스텀RPC,중간,계획,개발팀,3,사용자 정의 RPC 추가,Web3.js,네트워크전환
네트워크,네트워크상태확인,중간,계획,개발팀,2,네트워크 연결 상태 확인,Web3.js,네트워크기능
주소록,주소추가,중간,계획,개발팀,2,자주 사용하는 주소 저장,React/LocalStorage,계정관리
주소록,주소편집,중간,계획,개발팀,1,저장된 주소 수정,React/LocalStorage,주소추가
주소록,주소삭제,중간,계획,개발팀,1,주소록에서 주소 삭제,React/LocalStorage,주소추가
주소록,QR코드스캔,중간,계획,개발팀,3,QR 코드로 주소 입력,QR Scanner/Camera,주소록
설정,언어설정,낮음,계획,개발팀,2,다국어 지원,React/i18n,없음
설정,통화설정,낮음,계획,개발팀,2,표시 통화 변경,Currency API,없음
설정,테마설정,낮음,계획,개발팀,2,다크/라이트 모드,React/CSS,없음
설정,알림설정,중간,계획,개발팀,2,거래 알림 설정,Push Notification,거래기능
백업복구,클라우드백업,중간,계획,개발팀,4,암호화된 클라우드 백업,Encryption/Cloud Storage,지갑백업
백업복구,로컬백업,중간,계획,개발팀,2,로컬 파일 백업,File System,지갑백업
백업복구,백업검증,중간,계획,개발팀,2,백업 파일 무결성 검증,Checksum/Hash,백업기능
분석,포트폴리오분석,낮음,계획,개발팀,5,자산 포트폴리오 분석,Chart.js/Analytics,잔액조회
분석,수익률계산,낮음,계획,개발팀,4,투자 수익률 계산,Price API/Chart.js,포트폴리오분석
분석,가격차트,낮음,계획,개발팀,4,토큰 가격 차트,CoinGecko API/Chart.js,분석
브라우저연동,dApp연결,중간,계획,개발팀,5,dApp과 지갑 연결,WalletConnect/Web3.js,지갑관리
브라우저연동,트랜잭션승인,중간,계획,개발팀,3,dApp 트랜잭션 승인,Web3.js,dApp연결
브라우저연동,메시지서명,중간,계획,개발팀,2,메시지 서명 기능,Web3.js,dApp연결
모바일,모바일앱,높음,계획,개발팀,15,모바일 네이티브 앱,React Native,웹지갑
모바일,푸시알림,중간,계획,개발팀,3,모바일 푸시 알림,Push Notification,모바일앱
모바일,오프라인모드,낮음,계획,개발팀,6,오프라인 기능 지원,Local Storage,모바일앱
고급기능,멀티시그지갑,낮음,계획,개발팀,10,다중 서명 지갑,Multisig Contract,지갑관리
고급기능,하드웨어지갑연동,낮음,계획,개발팅,8,Ledger/Trezor 연동,Hardware Wallet SDK,보안
고급기능,배치거래,낮음,계획,개발팀,6,여러 거래 일괄 처리,Batch Transaction,거래기능
지원,고객지원,중간,계획,개발팀,3,FAQ 및 고객 지원,React/Help Desk,없음
