카테고리,기능명,우선순위,상태,담당자,예상공수(일),설명,기술스택,의존성
사용자관리,회원가입,높음,완료,프론트엔드팀,5,사용자 계정 생성 및 이메일 인증,React Native,없음
사용자관리,로그인,높음,완료,프론트엔드팀,3,사용자 로그인 및 세션 관리,JWT/AsyncStorage,회원가입
사용자관리,프로필관리,높음,완료,프론트엔드팀,4,개인정보 수정 및 프로필 사진 업로드,React Native,로그인
사용자관리,비밀번호변경,중간,완료,프론트엔드팀,2,비밀번호 변경 및 재설정,React Native,프로필관리
사용자관리,계정삭제,낮음,진행중,프론트엔드팀,3,계정 삭제 및 데이터 정리,React Native,사용자관리
가계부,수입입력,높음,완료,프론트엔드팀,5,수입 내역 입력 및 카테고리 분류,React Native,사용자관리
가계부,지출입력,높음,완료,프론트엔드팀,5,지출 내역 입력 및 카테고리 분류,React Native,수입입력
가계부,거래내역조회,높음,완료,프론트엔드팀,4,월별/일별 거래 내역 조회,React Native,지출입력
가계부,거래수정,중간,완료,프론트엔드팀,3,입력된 거래 내역 수정,React Native,거래내역조회
가계부,거래삭제,중간,완료,프론트엔드팀,2,거래 내역 삭제 기능,React Native,거래수정
예산관리,예산설정,높음,완료,프론트엔드팀,6,월별 카테고리별 예산 설정,React Native,가계부
예산관리,예산조회,높음,완료,프론트엔드팀,3,설정된 예산 현황 조회,React Native,예산설정
예산관리,예산알림,중간,진행중,프론트엔드팀,4,예산 초과 시 알림 기능,Push Notification,예산조회
예산관리,예산분석,중간,계획,프론트엔드팀,5,예산 대비 실제 지출 분석,Chart.js,예산알림
예산관리,예산추천,낮음,계획,프론트엔드팀,7,AI 기반 예산 추천 시스템,ML/AI,예산분석
통계분석,월별통계,높음,완료,프론트엔드팀,6,월별 수입/지출 통계 차트,Chart.js,예산관리
통계분석,카테고리분석,높음,완료,프론트엔드팀,5,카테고리별 지출 분석 차트,Chart.js,월별통계
통계분석,연간통계,중간,진행중,프론트엔드팀,4,연간 재정 현황 분석,Chart.js,카테고리분석
통계분석,트렌드분석,중간,계획,프론트엔드팀,6,지출 패턴 및 트렌드 분석,Chart.js,연간통계
통계분석,비교분석,낮음,계획,프론트엔드팀,5,전월/전년 대비 분석,Chart.js,트렌드분석
목표관리,저축목표설정,높음,완료,프론트엔드팀,5,저축 목표 금액 및 기간 설정,React Native,통계분석
목표관리,목표진행률,높음,완료,프론트엔드팀,4,저축 목표 달성률 표시,React Native,저축목표설정
목표관리,목표알림,중간,진행중,프론트엔드팀,3,목표 달성 알림 및 격려 메시지,Push Notification,목표진행률
목표관리,목표수정,중간,완료,프론트엔드팀,3,설정된 목표 수정 기능,React Native,목표알림
목표관리,목표달성기록,낮음,계획,프론트엔드팀,4,목표 달성 이력 관리,React Native,목표수정
카테고리관리,기본카테고리,높음,완료,프론트엔드팀,3,기본 수입/지출 카테고리 제공,React Native,목표관리
카테고리관리,커스텀카테고리,높음,완료,프론트엔드팀,4,사용자 정의 카테고리 생성,React Native,기본카테고리
카테고리관리,카테고리편집,중간,완료,프론트엔드팀,3,카테고리 이름 및 아이콘 수정,React Native,커스텀카테고리
카테고리관리,카테고리삭제,중간,완료,프론트엔드팀,2,불필요한 카테고리 삭제,React Native,카테고리편집
카테고리관리,카테고리순서,낮음,진행중,프론트엔드팀,2,카테고리 표시 순서 변경,React Native,카테고리삭제
알림기능,거래알림,높음,완료,프론트엔드팀,4,거래 입력 완료 알림,Push Notification,카테고리관리
알림기능,예산알림,높음,진행중,프론트엔드팀,3,예산 초과 경고 알림,Push Notification,거래알림
알림기능,목표알림,중간,진행중,프론트엔드팀,3,저축 목표 관련 알림,Push Notification,예산알림
알림기능,정기알림,중간,계획,프론트엔드팀,4,정기적인 가계부 작성 알림,Push Notification,목표알림
알림기능,알림설정,중간,계획,프론트엔드팀,3,알림 on/off 및 시간 설정,React Native,정기알림
데이터관리,데이터백업,높음,완료,프론트엔드팀,5,클라우드 데이터 백업 기능,Firebase/iCloud,알림기능
데이터관리,데이터복원,높음,완료,프론트엔드팀,4,백업된 데이터 복원 기능,Firebase/iCloud,데이터백업
데이터관리,데이터내보내기,중간,진행중,프론트엔드팀,4,Excel/CSV 형태로 데이터 내보내기,File System,데이터복원
데이터관리,데이터가져오기,중간,계획,프론트엔드팀,5,외부 파일에서 데이터 가져오기,File System,데이터내보내기
데이터관리,데이터동기화,낮음,계획,프론트엔드팀,6,다중 기기 간 데이터 동기화,Firebase,데이터가져오기
보안기능,생체인증,높음,완료,프론트엔드팀,4,지문/얼굴 인식 로그인,Biometric,데이터관리
보안기능,PIN설정,높음,완료,프론트엔드팀,3,4자리 PIN 번호 설정,React Native,생체인증
보안기능,자동잠금,중간,진행중,프론트엔드팀,3,일정 시간 후 자동 잠금,React Native,PIN설정
보안기능,데이터암호화,높음,완료,백엔드팀,5,로컬 데이터 암호화 저장,Encryption,자동잠금
보안기능,보안설정,중간,계획,프론트엔드팀,3,보안 옵션 설정 화면,React Native,데이터암호화
UI/UX,메인대시보드,높음,완료,디자인팀,6,메인 화면 대시보드 디자인,React Native,보안기능
UI/UX,차트디자인,높음,완료,디자인팀,5,통계 차트 UI 디자인,Chart.js,메인대시보드
