번호,대분류,중분류,기능명,기능설명,우선순위,구현상태,관련파일,비고
1,사용자 관리,회원가입,이메일 회원가입,이메일과 비밀번호를 통한 회원가입 기능,High,구현완료,routes/login.js,Passport Local Strategy 사용
2,사용자 관리,회원가입,소셜 로그인,소셜 계정을 통한 간편 회원가입,High,구현완료,config/passport.js,Provider 필드로 구분
3,사용자 관리,로그인,이메일 로그인,이메일과 비밀번호로 로그인,High,구현완료,routes/login.js,세션 기반 인증
4,사용자 관리,로그인,자동 로그인,Remember-Me 기능으로 자동 로그인,Medium,구현완료,app.js,passport-remember-me 사용
5,사용자 관리,로그인,로그인 상태 유지,세션을 통한 로그인 상태 관리,High,구현완료,app.js,express-session 사용
6,사용자 관리,계정 찾기,아이디/비밀번호 찾기,이메일을 통한 계정 정보 찾기,Medium,구현완료,views/Login/Find.hbs,
7,사용자 관리,프로필,프로필 조회,사용자 프로필 정보 조회,High,구현완료,routes/myPage.js,
8,사용자 관리,프로필,프로필 수정,사용자 정보 수정 기능,High,구현완료,routes/myPage.js,썸네일 이미지 포함
9,사용자 관리,프로필,사용자명 표시,사용자명 또는 이메일 앞부분 표시,Low,구현완료,routes/lesson.js,username 우선 표시
10,사용자 관리,권한 관리,무료 사용자,기본 무료 사용자 권한,High,구현완료,app.js,
11,사용자 관리,권한 관리,유료 구독 사용자,구독 중인 유료 사용자 권한,High,구현완료,app.js,is_paid_user 플래그
12,사용자 관리,권한 관리,구버전 유료 사용자,이전 결제 방식 사용자 권한,Medium,구현완료,app.js,is_old_paid_user 플래그
13,학습 콘텐츠,레슨,오늘의 학습,오늘 추천되는 학습 콘텐츠,High,구현완료,routes/lesson.js - /Today,메인 학습 페이지
14,학습 콘텐츠,레슨,코스별 학습,체계적인 코스 단위 학습,High,구현완료,routes/lesson.js - /Courses,
15,학습 콘텐츠,레슨,테마별 학습,주제별 테마 학습,High,구현완료,routes/lesson.js - /Themes,
16,학습 콘텐츠,레슨,쇼츠 학습,짧은 영상 기반 학습,Medium,구현완료,routes/lesson.js - /Short,
17,학습 콘텐츠,레슨,브이로그 학습,브이로그 형식 콘텐츠 학습,Medium,구현완료,routes/lesson.js - /CourseVlogs,
18,학습 콘텐츠,레슨,크리에이터별 학습,크리에이터 기반 콘텐츠 탐색,Medium,구현완료,routes/lesson.js - /CourseCreators,l_creator 모델 사용
