카테고리,기능명,우선순위,상태,담당자,예상공수(일),설명,기술스택,의존성
API연결,인증시스템,높음,계획,API개발팀,4,LBank API 인증 구현,Python/Requests/HMAC,없음
API연결,REST클라이언트,높음,계획,API개발팀,5,REST API 클라이언트 구축,Python/aiohttp/asyncio,인증시스템
API연결,WebSocket연결,높음,계획,API개발팀,6,실시간 데이터 WebSocket 연결,Python/websockets/asyncio,REST클라이언트
API연결,연결관리,중간,계획,API개발팀,4,연결 상태 관리 및 재연결,Python/Connection Pool,WebSocket연결
API연결,에러핸들링,중간,계획,API개발팀,3,API 에러 처리 및 재시도,Python/Exception Handling,연결관리
거래기능,주문생성,높음,계획,거래팀,6,매수/매도 주문 생성,Python/Order Management,REST클라이언트
거래기능,주문조회,높음,계획,거래팀,4,주문 상태 및 히스토리 조회,Python/Query API,주문생성
거래기능,주문취소,높음,계획,거래팀,3,주문 취소 기능,Python/Cancel Order,주문조회
거래기능,포지션관리,중간,계획,거래팀,5,선물 포지션 관리,Python/Position API,주문생성
거래기능,잔액조회,중간,계획,거래팀,3,계정 잔액 실시간 조회,Python/Balance API,인증시스템
시장데이터,가격정보,높음,계획,데이터팀,5,실시간 가격 데이터 수집,Python/Market Data API,WebSocket연결
시장데이터,호가정보,높음,계획,데이터팀,4,주문서 호가 데이터,Python/Orderbook API,가격정보
시장데이터,거래내역,중간,계획,데이터팀,4,최근 거래 내역 조회,Python/Trade History,호가정보
시장데이터,캔들데이터,중간,계획,데이터팀,5,OHLCV 캔들 데이터,Python/Kline API,거래내역
시장데이터,24시간통계,중간,계획,데이터팀,3,24시간 거래 통계,Python/Ticker API,캔들데이터
데이터저장,데이터베이스,중간,계획,데이터팀,6,수집 데이터 저장,PostgreSQL/SQLAlchemy,없음
데이터저장,실시간저장,중간,계획,데이터팀,5,실시간 데이터 저장,Python/Database Insert,데이터베이스
데이터저장,배치처리,중간,계획,데이터팀,4,대량 데이터 배치 처리,Python/Batch Processing,실시간저장
데이터저장,데이터압축,낮음,계획,데이터팀,3,저장 데이터 압축,Python/Compression,배치처리
데이터저장,백업시스템,낮음,계획,데이터팀,4,데이터 백업 및 복구,Python/Backup Tools,데이터압축
분석도구,기술분석,중간,계획,분석팀,8,기술적 지표 계산,Python/TA-Lib/NumPy,캔들데이터
분석도구,차트생성,중간,계획,분석팀,6,가격 차트 시각화,Python/Plotly/Matplotlib,기술분석
분석도구,알림시스템,중간,계획,분석팀,5,가격 알림 및 신호,Python/Notification/Slack,차트생성
분석도구,백테스팅,중간,계획,분석팀,10,거래 전략 백테스팅,Python/Backtesting Framework,알림시스템
분석도구,성과분석,중간,계획,분석팀,5,거래 성과 분석,Python/Statistics/Pandas,백테스팅
자동거래,전략엔진,중간,계획,알고리즘팀,12,자동 거래 전략 엔진,Python/Strategy Pattern,분석도구
