ID,카테고리,기능명,상세설명,우선순위,상태,담당모듈,기술스택,입력,출력,비고
REQ-001,블록체인 코어,제네시스 블록 생성,블록체인 초기화 시 최초 블록(제네시스 블록) 자동 생성,High,완료,blockchain.js,crypto-js,없음,제네시스 블록 객체,timestamp와 previousHash='0'으로 생성
REQ-002,블록체인 코어,블록 해시 계산,블록의 고유 해시값을 SHA256으로 계산,High,완료,blockchain.js,crypto-js,"previousHash, timestamp, transactions, nonce",64자리 hex 해시,블록 무결성 검증의 핵심
REQ-003,블록체인 코어,작업 증명(PoW) 채굴,난이도에 맞는 해시를 찾을 때까지 nonce 증가,High,완료,blockchain.js,crypto-js,difficulty (기본값: 2),채굴된 블록,난이도 2 = 해시 앞 2자리가 00
REQ-004,블록체인 코어,블록 체인 연결,새 블록을 이전 블록과 해시로 연결하여 체인에 추가,High,완료,blockchain.js,없음,새 블록,업데이트된 체인,previousHash로 연결
REQ-005,블록체인 코어,체인 무결성 검증,전체 블록체인의 해시 연결과 트랜잭션 서명 검증,High,완료,blockchain.js,elliptic,체인 배열,boolean (유효/무효),isChainValid() 메서드
REQ-006,트랜잭션,트랜잭션 생성,발신자/수신자/금액 정보로 트랜잭션 객체 생성,High,완료,blockchain.js,없음,"fromAddress, toAddress, amount",Transaction 객체,timestamp 자동 생성
REQ-007,트랜잭션,트랜잭션 해시 계산,트랜잭션의 고유 해시값 계산,High,완료,blockchain.js,crypto-js,트랜잭션 데이터,64자리 hex 해시,서명 전 필수
REQ-008,트랜잭션,트랜잭션 서명,개인키로 트랜잭션에 ECDSA 디지털 서명,High,완료,blockchain.js,elliptic,개인키 객체,서명된 트랜잭션,위조 방지
REQ-009,트랜잭션,트랜잭션 서명 검증,공개키로 트랜잭션 서명의 유효성 검증,High,완료,blockchain.js,elliptic,트랜잭션 객체,boolean (유효/무효),isValid() 메서드
REQ-010,트랜잭션,트랜잭션 풀 관리,채굴 대기 중인 트랜잭션들을 pendingTransactions에 저장,High,완료,blockchain.js,없음,검증된 트랜잭션,업데이트된 풀,채굴 시 블록에 포함
REQ-011,트랜잭션,채굴 보상 지급,블록 채굴 시 채굴자에게 보상 트랜잭션 생성,High,완료,blockchain.js,없음,채굴자 주소,보상 트랜잭션,기본 보상: 100 코인
REQ-012,지갑,키 쌍 생성,secp256k1 곡선 기반 ECC 키 쌍(공개키/개인키) 생성,High,완료,keygenerator.js,elliptic,없음,"privateKey, publicKey (hex)",비트코인과 동일한 곡선
REQ-013,지갑,지갑 파일 저장,생성된 키 쌍을 JSON 파일로 wallets 디렉토리에 저장,High,완료,keygenerator.js,fs,키 쌍 객체,파일 경로,파일명: {name}.json
REQ-014,지갑,지갑 파일 로드,저장된 지갑 파일에서 키 쌍 정보 읽기,High,완료,keygenerator.js,fs,지갑 이름,키 쌍 객체,파일 없으면 자동 생성
REQ-015,지갑,EC 키 객체 변환,저장된 개인키를 elliptic EC 키 객체로 변환,Medium,완료,keygenerator.js,elliptic,개인키 hex,EC 키 객체,서명 시 사용
REQ-016,지갑,잔액 조회,특정 주소의 모든 트랜잭션을 분석하여 잔액 계산,High,완료,blockchain.js,없음,주소 (공개키),잔액 (숫자),UTXO 모델 아님
REQ-017,API 서버,HTTP 서버 시작,Express 기반 HTTP API 서버 시작,High,완료,api.js,express,포트 번호,서버 인스턴스,기본 포트: 3000
REQ-018,API 서버,CORS 설정,크로스 오리진 요청 허용 헤더 설정,Medium,완료,api.js,express,없음,CORS 헤더,모든 오리진 허용 (*)
REQ-019,API 서버,JSON 파싱,HTTP 요청 body를 JSON으로 파싱,High,완료,api.js,body-parser,HTTP 요청,파싱된 객체,Content-Type: application/json
REQ-020,API 서버,블록체인 조회 API,전체 블록체인 정보를 JSON으로 반환,High,완료,api.js,없음,GET /blockchain,블록체인 객체,chain + pendingTransactions
REQ-021,API 서버,트랜잭션 생성 API,새 트랜잭션 생성 및 네트워크 브로드캐스트,High,완료,api.js,elliptic,"POST /transaction {fromAddress, toAddress, amount, privateKey}",생성된 트랜잭션,개인키 검증 포함
REQ-022,API 서버,블록 채굴 API,대기 중인 트랜잭션을 포함한 블록 채굴,High,완료,api.js,없음,POST /mine {rewardAddress},채굴된 블록,PoW 수행
REQ-023,API 서버,잔액 조회 API,특정 주소의 잔액 조회,High,완료,api.js,없음,GET /balance/:address,잔액 정보,실시간 계산
REQ-024,API 서버,지갑 생성 API,새 지갑 생성 및 파일 저장,High,완료,api.js,keygenerator,POST /wallet {name?},"주소, 개인키, 파일경로",name은 선택사항
REQ-025,API 서버,지갑 조회 API,저장된 지갑 정보 조회,High,완료,api.js,keygenerator,GET /wallet/:name?,지갑 정보,name 없으면 기본 지갑
REQ-026,API 서버,피어 목록 조회 API,연결된 P2P 피어 목록 반환,Medium,완료,api.js,없음,GET /peers,피어 주소 배열,WebSocket 연결 정보
REQ-027,API 서버,피어 추가 API,새로운 P2P 피어 연결,Medium,완료,api.js,p2p,POST /peers {peer},연결 결과,WebSocket 주소 필요
REQ-028,API 서버,에러 처리,API 요청 실패 시 적절한 HTTP 상태 코드와 에러 메시지 반환,Medium,완료,api.js,없음,에러 객체,JSON 에러 응답,400/401/404/500 등
REQ-029,P2P 네트워크,WebSocket 서버 시작,P2P 통신을 위한 WebSocket 서버 시작,High,완료,p2p.js,ws,포트 번호,WebSocket 서버,기본 포트: 6001
REQ-030,P2P 네트워크,피어 연결 수립,다른 노드와 WebSocket 연결 수립,High,완료,p2p.js,ws,피어 주소,WebSocket 연결,환경변수 PEERS 사용
REQ-031,P2P 네트워크,소켓 연결 관리,연결된 소켓들을 배열로 관리,High,완료,p2p.js,없음,WebSocket 객체,소켓 배열,동적 추가/제거
REQ-032,P2P 네트워크,메시지 핸들러 초기화,수신 메시지 처리 핸들러 등록,High,완료,p2p.js,없음,WebSocket 객체,없음,message 이벤트 리스너
REQ-033,P2P 네트워크,에러 핸들러 초기화,연결 종료 및 에러 처리 핸들러 등록,High,완료,p2p.js,없음,WebSocket 객체,없음,close/error 이벤트
REQ-034,P2P 네트워크,최신 블록 요청,연결된 피어에게 최신 블록 요청,High,완료,p2p.js,없음,없음,QUERY_LATEST 메시지,연결 시 자동 실행
REQ-035,P2P 네트워크,전체 체인 요청,연결된 피어에게 전체 블록체인 요청,High,완료,p2p.js,없음,없음,QUERY_ALL 메시지,동기화 필요 시
REQ-036,P2P 네트워크,블록체인 응답,요청받은 블록체인 데이터 전송,High,완료,p2p.js,없음,블록 배열,RESPONSE_BLOCKCHAIN 메시지,JSON 직렬화
REQ-037,P2P 네트워크,트랜잭션 풀 요청,연결된 피어의 대기 트랜잭션 요청,Medium,완료,p2p.js,없음,없음,QUERY_TRANSACTION_POOL 메시지,연결 1초 후 실행
REQ-038,P2P 네트워크,트랜잭션 풀 응답,대기 중인 트랜잭션 목록 전송,Medium,완료,p2p.js,없음,트랜잭션 배열,RESPONSE_TRANSACTION_POOL 메시지,JSON 직렬화
REQ-039,P2P 네트워크,새 트랜잭션 브로드캐스트,생성된 트랜잭션을 모든 피어에게 전파,High,완료,p2p.js,없음,트랜잭션 객체,NEW_TRANSACTION 메시지,실시간 전파
REQ-040,P2P 네트워크,블록 브로드캐스트,채굴된 블록을 모든 피어에게 전파,High,완료,p2p.js,없음,블록 객체,RESPONSE_BLOCKCHAIN 메시지,채굴 완료 시
REQ-041,P2P 네트워크,체인 동기화,수신한 블록체인과 로컬 체인 비교 및 동기화,High,완료,p2p.js,없음,수신 블록 배열,업데이트된 체인,최장 체인 규칙
REQ-042,P2P 네트워크,체인 교체,더 긴 유효한 체인으로 로컬 체인 교체,High,완료,p2p.js,없음,새 체인,교체된 체인,길이 비교 기반
REQ-043,P2P 네트워크,메시지 브로드캐스트,모든 연결된 피어에게 메시지 전송,High,완료,p2p.js,없음,메시지 객체,없음,broadcast() 메서드
REQ-044,P2P 네트워크,소켓 연결 종료,피어 연결 종료 시 소켓 배열에서 제거,Medium,완료,p2p.js,없음,WebSocket 객체,업데이트된 배열,자동 정리
REQ-045,P2P 네트워크,노드 ID 생성,각 노드의 고유 식별자 생성,Low,완료,p2p.js,uuid,없음,UUID v4,현재 미사용
REQ-046,시스템,환경변수 처리,HTTP_PORT/P2P_PORT/PEERS 환경변수 읽기,High,완료,index.js,없음,환경변수,설정값,기본값 제공
REQ-047,시스템,노드 초기화,API 서버와 P2P 서버 동시 시작,High,완료,index.js,없음,포트 번호,실행 중인 노드,단일 진입점
REQ-048,시스템,시작 메시지 출력,노드 시작 시 사용 가능한 API 및 설정 정보 출력,Low,완료,index.js,없음,없음,콘솔 메시지,사용자 가이드
REQ-049,보안,개인키 검증,트랜잭션 생성 시 개인키와 발신자 주소 일치 확인,High,완료,api.js,elliptic,"privateKey, fromAddress",boolean,위조 방지
REQ-050,보안,서명 검증,트랜잭션 추가 전 디지털 서명 유효성 검증,High,완료,blockchain.js,elliptic,트랜잭션 객체,boolean,무결성 보장
REQ-051,보안,체인 검증,블록 추가/교체 시 체인 무결성 검증,High,완료,blockchain.js,없음,체인 배열,boolean,악의적 체인 방지
REQ-052,데이터 관리,메모리 저장,블록체인 데이터를 메모리에 저장,High,완료,blockchain.js,없음,블록체인 객체,없음,재시작 시 초기화
REQ-053,데이터 관리,지갑 파일 저장,지갑 정보를 JSON 파일로 영속 저장,High,완료,keygenerator.js,fs,키 쌍,파일,wallets/ 디렉토리
REQ-054,데이터 관리,디렉토리 자동 생성,wallets 디렉토리 없을 시 자동 생성,Medium,완료,keygenerator.js,fs,없음,디렉토리,recursive 옵션
REQ-055,성능,난이도 조절,채굴 난이도를 설정 가능,Medium,완료,blockchain.js,없음,difficulty 값,없음,기본값: 2
REQ-056,성능,채굴 시간 최적화,nonce 증가를 통한 효율적인 해시 탐색,Medium,완료,blockchain.js,없음,없음,없음,while 루프
REQ-057,로깅,채굴 로그,블록 채굴 완료 시 해시값 출력,Low,완료,blockchain.js,없음,블록 해시,콘솔 로그,디버깅 용도
REQ-058,로깅,연결 로그,피어 연결/종료 시 로그 출력,Low,완료,p2p.js,없음,연결 정보,콘솔 로그,네트워크 모니터링
