카테고리,기능명,우선순위,상태,담당자,예상공수(일),설명,기술스택,의존성
에디터코어,드래그앤드롭,높음,완료,프론트팀,6,컴포넌트 드래그 앤 드롭,GrapesJS/Drag&Drop API,없음
에디터코어,컴포넌트관리,높음,완료,프론트팀,5,웹 컴포넌트 관리 시스템,Component Manager,드래그앤드롭
에디터코어,레이어관리,높음,완료,프론트팀,4,레이어 구조 관리,Layer Manager,컴포넌트관리
에디터코어,선택도구,높음,완료,프론트팀,3,요소 선택 및 편집,Selection Tool,레이어관리
에디터코어,실행취소,중간,완료,프론트팀,4,실행 취소/다시 실행,Undo/Redo System,선택도구
컴포넌트,기본컴포넌트,높음,완료,프론트팀,5,텍스트/이미지/버튼 등 기본 요소,Basic Components,에디터코어
컴포넌트,레이아웃컴포넌트,높음,완료,프론트팀,6,컨테이너/그리드/플렉스 레이아웃,Layout Components,기본컴포넌트
컴포넌트,폼컴포넌트,중간,완료,프론트팀,5,입력 폼 관련 컴포넌트,Form Components,레이아웃컴포넌트
컴포넌트,미디어컴포넌트,중간,완료,프론트팀,4,비디오/오디오 컴포넌트,Media Components,폼컴포넌트
컴포넌트,커스텀컴포넌트,낮음,진행중,프론트팀,8,사용자 정의 컴포넌트,Custom Components,미디어컴포넌트
스타일편집,CSS편집기,높음,완료,프론트팀,6,시각적 CSS 편집기,Style Manager,컴포넌트
스타일편집,반응형편집,높음,완료,프론트팀,8,반응형 디자인 편집,Responsive Design,CSS편집기
스타일편집,애니메이션,중간,완료,프론트팀,6,CSS 애니메이션 편집,Animation Editor,반응형편집
스타일편집,그라디언트,중간,완료,프론트팀,4,그라디언트 편집 도구,Gradient Editor,애니메이션
스타일편집,그림자효과,낮음,완료,프론트팀,3,박스 섀도우 편집,Shadow Editor,그라디언트
에셋관리,이미지관리,높음,완료,프론트팀,5,이미지 업로드 및 관리,Asset Manager,없음
에셋관리,파일업로드,높음,완료,프론트팀,4,파일 업로드 시스템,File Upload,이미지관리
에셋관리,미디어라이브러리,중간,완료,프론트팀,5,미디어 파일 라이브러리,Media Library,파일업로드
에셋관리,외부링크,중간,완료,프론트팀,3,외부 이미지 링크 지원,External Assets,미디어라이브러리
에셋관리,에셋최적화,낮음,진행중,프론트팀,4,이미지 자동 최적화,Asset Optimization,외부링크
