번호,카테고리,우선순위,기능명,현재상태,상세설명,예상공수(일),담당자,비고
1,보안,긴급,환경변수 분리,미구현,"하드코딩된 DB 접속 정보(username, password, host) 및 네이버 로그인 정보를 .env 파일로 분리",2,개발팀,보안 취약점 해결 필수
2,보안,긴급,.gitignore 설정,미구현,"민감 정보 파일(.env, *.log, naver.db) Git 저장소 제외 설정",0.5,개발팀,즉시 적용 필요
3,보안,높음,AWS Secrets Manager 연동,미구현,프로덕션 환경에서 민감 정보 안전 관리,3,개발팀,Phase 1
4,크롤링,구현완료,네이버 스마트스토어 자동 로그인,구현완료,PyPerClip을 활용한 안전한 로그인 처리,0,개발팀,Mac/Windows 지원
5,크롤링,구현완료,리뷰 API 요청 인터셉트,구현완료,Selenium Wire를 통한 네트워크 요청 캡처,0,개발팀,정상 작동
6,크롤링,구현완료,Gzip 압축 해제,구현완료,API 응답 데이터 자동 압축 해제 및 JSON 파싱,0,개발팀,정상 작동
7,크롤링,높음,페이지네이션 처리,미구현,전체 페이지 리뷰 수집 기능 (현재 1페이지만 수집),5,개발팀,데이터 수집 확대 필요
8,크롤링,중간,동적 대기 조건,미구현,"time.sleep() 대신 WebDriverWait 활용한 동적 대기",2,개발팀,안정성 개선
9,크롤링,중간,다중 스토어 지원,미구현,여러 스마트스토어 계정 동시 크롤링,5,개발팀,Phase 4
10,데이터베이스,구현완료,중복 리뷰 필터링,구현완료,리뷰 ID 기반 중복 체크 및 신규 데이터만 저장,0,개발팀,정상 작동
11,데이터베이스,구현완료,MySQL 자동 저장,구현완료,SQLAlchemy ORM을 통한 안전한 데이터 저장,0,개발팀,정상 작동
12,데이터베이스,중간,데이터 검증 로직,미구현,"필수 필드 검증, 데이터 타입 체크, 이상치 탐지",3,개발팀,데이터 품질 향상
13,데이터베이스,중간,데이터 정제 기능,미구현,"HTML 태그 제거, 특수문자 처리, 텍스트 정규화",2,개발팀,데이터 품질 향상
14,데이터베이스,낮음,데이터 백업 자동화,미구현,주기적 데이터베이스 백업 및 복구 시스템,3,개발팀,Phase 2
15,에러처리,높음,예외 처리 강화,미구현,"네트워크 오류, 로그인 실패, API 오류 등 예외 처리",3,개발팀,안정성 필수
16,에러처리,높음,재시도 로직,미구현,"실패 시 자동 재시도 (최대 3회, exponential backoff)",2,개발팀,안정성 필수
17,에러처리,중간,에러 알림 시스템,미구현,"Slack/Email을 통한 에러 발생 시 실시간 알림",2,개발팀,모니터링 강화
18,로깅,높음,구조화된 로깅 시스템,미구현,"Python logging 모듈 활용, 로그 레벨 분리 (DEBUG/INFO/ERROR)",2,개발팀,디버깅 효율화
19,로깅,중간,로그 파일 관리,미구현,"로그 로테이션, 압축, 보관 정책 (30일)",1,개발팀,디스크 관리
20,로깅,중간,수집 진행률 표시,미구현,tqdm 라이브러리를 활용한 진행률 바 표시,1,개발팀,사용자 경험 개선
21,스케줄링,높음,주기적 자동 실행,미구현,"APScheduler를 활용한 스케줄링 (매일 새벽 2시)",3,개발팀,자동화 필수
22,스케줄링,중간,크론잡 설정,미구현,Linux cron 또는 Windows Task Scheduler 연동,1,개발팀,서버 환경 배포
23,스케줄링,낮음,실행 이력 관리,미구현,"실행 시간, 수집 건수, 성공/실패 이력 DB 저장",2,개발팀,모니터링
24,이미지처리,중간,이미지 다운로드,미구현,리뷰 첨부 이미지 로컬 저장 기능,3,개발팀,Phase 2
25,이미지처리,낮음,이미지 리사이징,미구현,저장 공간 절약을 위한 이미지 압축 및 리사이징,2,개발팀,Phase 2
26,이미지처리,낮음,이미지 OCR,미구현,이미지 내 텍스트 추출 (Tesseract),5,개발팀,Phase 3
27,데이터분석,중간,리뷰 감성 분석,미구현,"KoBERT/KoELECTRA를 활용한 긍정/부정 분류",7,데이터팀,Phase 3
28,데이터분석,중간,키워드 추출,미구현,TF-IDF 또는 TextRank 기반 핵심 키워드 추출,3,데이터팀,Phase 3
29,데이터분석,낮음,토픽 모델링,미구현,LDA를 활용한 리뷰 주제 분류,5,데이터팀,Phase 3
