구분,기능ID,기능명,상세설명,우선순위,현재상태,개선방안,비고
핵심기능,F001,자동 로그인,네이버 스마트스토어 계정 자동 로그인 기능,높음,구현완료,환경변수로 계정정보 이동 필요,보안 취약점 존재
핵심기능,F002,캡차 감지,로그인 시 캡차 발생 감지 및 대기 처리,높음,구현완료,자동 캡차 해결 또는 알림 기능 추가,현재 20초 수동 대기
핵심기능,F003,로그인 재시도,로그인 실패 시 자동 재시도 (최대 5회),중간,구현완료,재시도 횟수 설정 가능하도록 개선,하드코딩된 값
핵심기능,F004,팝업 창 제어,로그인 팝업 창 전환 및 제어,높음,구현완료,에러 핸들링 추가,정상 동작
핵심기능,F005,네트워크 요청 모니터링,Selenium-wire를 통한 API 요청 가로채기,높음,구현완료,특정 API만 필터링하도록 최적화,정상 동작
핵심기능,F006,리뷰 데이터 수집,스마트스토어 리뷰 API 응답 데이터 수집,높음,구현완료,페이지네이션 처리 추가,현재 1페이지만 수집
핵심기능,F007,데이터 압축 해제,gzip 압축된 API 응답 데이터 해제,높음,구현완료,에러 핸들링 추가,정상 동작
핵심기능,F008,JSON 파싱,API 응답 JSON 데이터 파싱,높음,구현완료,스키마 검증 추가,정상 동작
핵심기능,F009,첨부파일 URL 추출,리뷰 첨부 이미지/파일 URL 추출 및 결합,중간,구현완료,파일 타입별 분류 기능 추가,쉼표로 구분
핵심기능,F010,데이터 가공,수집된 리뷰 데이터 필드 정규화 및 가공,중간,구현완료,데이터 검증 로직 추가,maskedMemberId 매핑
핵심기능,F011,API 데이터 전송,가공된 데이터를 로컬 API로 전송,높음,구현완료,재시도 로직 및 에러 핸들링 추가,localhost:3013 의존
보안,S001,계정정보 보안,로그인 계정정보 안전한 관리,높음,미흡,환경변수(.env) 또는 설정파일 사용,현재 하드코딩
보안,S002,API 엔드포인트 보안,API URL 및 인증 정보 보안,중간,미흡,설정 파일로 분리,현재 하드코딩
보안,S003,민감정보 Git 제외,.gitignore 설정,높음,미확인,.env 및 config 파일 제외 설정 필요,확인 필요
설정관리,C001,설정 파일 지원,YAML/JSON 설정 파일 지원,중간,미구현,config.yaml 생성 및 로드 기능,신규 기능
설정관리,C002,환경변수 지원,.env 파일 지원,높음,미구현,python-dotenv 라이브러리 사용,신규 기능
설정관리,C003,로깅 설정,로깅 레벨 및 출력 형식 설정,중간,미구현,logging 모듈 설정,신규 기능
에러처리,E001,예외 처리,전체 프로세스 예외 처리,높음,미흡,try-except 블록 추가,현재 최소한의 처리
에러처리,E002,네트워크 에러 처리,API 통신 실패 시 처리,높음,미흡,재시도 로직 및 타임아웃 설정,현재 미처리
에러처리,E003,드라이버 에러 처리,Selenium 드라이버 오류 처리,높음,미흡,드라이버 초기화 실패 시 복구,현재 미처리
에러처리,E004,데이터 파싱 에러 처리,JSON 파싱 실패 시 처리,중간,미흡,스키마 검증 및 기본값 설정,현재 미처리
로깅,L001,실행 로그,프로그램 실행 과정 로깅,중간,부분구현,logging 모듈로 체계화,현재 print문 사용
로깅,L002,에러 로그,에러 발생 시 상세 로그 기록,높음,미구현,파일 로그 및 로그 레벨 설정,신규 기능
로깅,L003,데이터 수집 로그,수집된 데이터 통계 로깅,낮음,미구현,수집 건수 및 성공/실패 통계,신규 기능
데이터처리,D001,데이터 검증,수집 데이터 유효성 검증,중간,미구현,필수 필드 체크 및 타입 검증,신규 기능
데이터처리,D002,중복 데이터 처리,중복 리뷰 필터링,중간,미구현,리뷰 ID 기반 중복 체크,신규 기능
데이터처리,D003,데이터 변환,camelCase to snake_case 변환,낮음,구현완료,사용되지 않는 함수 제거 또는 활용,미사용 함수
데이터처리,D004,날짜 형식 변환,datetime 객체 ISO 형식 변환,중간,구현완료,타임존 처리 추가,정상 동작
성능,P001,페이지네이션,여러 페이지 리뷰 수집,높음,미구현,페이지 스크롤 또는 페이지 이동 기능,현재 1페이지만
성능,P002,배치 처리,대량 데이터 배치 전송,중간,미구현,일정 건수마다 묶어서 전송,현재 건별 전송
성능,P003,비동기 처리,데이터 수집과 전송 비동기 처리,낮음,미구현,asyncio 또는 멀티스레딩,신규 기능
성능,P004,드라이버 최적화,Chrome 드라이버 옵션 최적화,중간,부분구현,headless 모드 옵션 추가,현재 기본 설정
확장성,X001,멀티 계정 지원,여러 계정 순차 처리,중간,미구현,계정 목록 설정 및 순회,신규 기능
확장성,X002,스케줄링,주기적 자동 실행,중간,미구현,cron 또는 APScheduler 사용,신규 기능
확장성,X003,데이터베이스 직접 저장,API 없이 DB 직접 저장 옵션,낮음,미구현,SQLAlchemy 등 ORM 사용,신규 기능
확장성,X004,알림 기능,수집 완료 또는 에러 발생 시 알림,낮음,미구현,이메일/슬랙 알림,신규 기능
모니터링,M001,진행 상황 표시,수집 진행률 표시,낮음,미구현,tqdm 또는 프로그레스바,신규 기능
모니터링,M002,통계 리포트,수집 결과 통계 생성,낮음,미구현,수집 건수/시간/성공률 등,신규 기능
모니터링,M003,헬스체크,시스템 상태 체크,낮음,미구현,API 서버 연결 확인,신규 기능
문서화,DOC001,README 작성,프로젝트 설명 및 사용법 문서,높음,미흡,설치/실행/설정 가이드 작성,현재 기본 템플릿
문서화,DOC002,API 문서,로컬 API 명세 문서,중간,미구현,엔드포인트 및 데이터 스키마,신규 문서
문서화,DOC003,코드 주석,함수 및 클래스 docstring,중간,미흡,모든 함수에 docstring 추가,현재 최소한
문서화,DOC004,설정 가이드,환경 설정 가이드,중간,미구현,환경변수 및 config 설정 방법,신규 문서
의존성,DEP001,requirements.txt,Python 패키지 의존성 명세,높음,미구현,사용 라이브러리 및 버전 명시,신규 파일
의존성,DEP002,ChromeDriver 관리,ChromeDriver 자동 다운로드,중간,미구현,webdriver-manager 사용,현재 수동 관리
의존성,DEP003,Python 버전 명시,최소 Python 버전 명시,중간,미구현,pyproject.toml 또는 README,신규 정보
테스트,T001,단위 테스트,함수별 단위 테스트,중간,미구현,pytest 프레임워크 사용,신규 기능
테스트,T002,통합 테스트,전체 프로세스 통합 테스트,낮음,미구현,실제 수집 시나리오 테스트,신규 기능
테스트,T003,Mock 테스트,외부 의존성 Mock 테스트,낮음,미구현,API 응답 Mock,신규 기능
코드품질,Q001,함수 모듈화,기능별 함수 분리,높음,미흡,로그인/수집/전송 함수 분리,현재 단일 스크립트
코드품질,Q002,클래스 설계,OOP 구조로 리팩토링,중간,미구현,Crawler 클래스 설계,신규 구조
코드품질,Q003,타입 힌팅,함수 파라미터 및 반환값 타입 명시,중간,미구현,Type hints 추가,신규 개선
코드품질,Q004,린팅,코드 스타일 검사,낮음,미구현,pylint 또는 flake8,신규 도구
코드품질,Q005,포매팅,코드 자동 포매팅,낮음,미구현,black 또는 autopep8,신규 도구
배포,DEPLOY001,Docker 지원,Docker 컨테이너화,낮음,미구현,Dockerfile 작성,신규 기능
배포,DEPLOY002,CI/CD,자동 배포 파이프라인,낮음,미구현,GitHub Actions 등,신규 기능
배포,DEPLOY003,환경 분리,개발/운영 환경 분리,중간,미구현,환경별 설정 파일,신규 구조
