ID,카테고리,기능명,상세설명,우선순위,상태,담당모듈,의존성,비고
FR-001,네트워크,노드 시작,블록체인 네트워크 노드를 시작하고 Swift 프로토콜로 통신 초기화,High,구현완료,pkg/service/oracle.go,TLS 인증서,포트 9001-9002 사용
FR-002,네트워크,노드 중지,실행 중인 블록체인 노드를 안전하게 종료,High,구현완료,pkg/service/oracle.go,FR-001,Graceful shutdown 지원
FR-003,네트워크,노드 정보 조회,현재 노드의 블록 높이/피어 수/상태 정보 조회,Medium,구현완료,pkg/program/root.go,FR-001,JSON 형식 응답
FR-004,네트워크,네트워크 메트릭,네트워크 성능 메트릭(처리량/지연시간) 수집,Medium,구현완료,pkg/swift/metric.go,FR-001,모니터링용
FR-005,네트워크,레플리카 등록,백업 노드를 레플리카로 등록하여 데이터 동기화,Medium,구현완료,pkg/program/root.go,FR-001,고가용성 지원
FR-006,네트워크,피어 관리,P2P 네트워크의 피어 목록 관리 및 핸드셰이크,High,구현완료,pkg/swift/protocol.go,FR-001,자동 피어 발견
FR-007,네트워크,TLS 보안 통신,TLS 1.2+ 암호화 통신으로 노드 간 보안 연결,High,구현완료,pkg/swift/tls.go,인증서 파일,ECDHE 암호화 스위트
FR-008,지갑,지갑 생성,Ed25519 기반 새로운 지갑(공개키/개인키) 생성,High,구현완료,pkg/crypto/crypto.go,없음,주소 자동 파생
FR-009,지갑,지갑 설정,기본 사용 지갑을 개인키로 설정,High,구현완료,pkg/program/wallet.go,FR-008,암호화 저장
FR-010,지갑,잔액 조회,지정된 주소의 토큰 잔액 조회,High,구현완료,pkg/program/wallet.go,FR-001,E18 단위 변환
FR-011,지갑,키스토어 암호화,개인키를 암호화하여 안전하게 저장,High,구현완료,pkg/crypto/keystore.go,WALLET_PASSWORD,AES 암호화
FR-012,지갑,키스토어 복호화,암호화된 키스토어에서 개인키 추출,High,구현완료,pkg/crypto/keystore.go,FR-011,비밀번호 검증
