카테고리,기능ID,기능명,상세설명,우선순위,상태,담당영역,기술스택,예상공수(일)
공통,COM-001,반응형 레이아웃,모바일/태블릿/데스크톱 대응 반응형 디자인,높음,완료,Frontend,Tailwind CSS,3
공통,COM-002,디자인 시스템 구축,컬러 팔레트/타이포그래피/컴포넌트 스타일 정의,높음,완료,Frontend,Tailwind CSS,2
공통,COM-003,SEO 메타데이터 설정,페이지 제목/설명/OG 태그 설정,높음,완료,Frontend,Next.js,1
공통,COM-004,Google Fonts 최적화,Inter 폰트 로딩 최적화,중간,완료,Frontend,Next.js Font,0.5
공통,COM-005,스크롤 애니메이션,섹션별 스크롤 트리거 애니메이션,중간,완료,Frontend,Framer Motion,2
공통,COM-006,다크모드 지원,라이트/다크 테마 토글 기능,낮음,예정,Frontend,Tailwind CSS + React Context,3
공통,COM-007,다국어 지원(i18n),한국어/영어 언어 전환 기능,낮음,예정,Frontend,next-i18next,5
공통,COM-008,로딩 상태 관리,페이지 로딩 스피너 및 스켈레톤 UI,중간,예정,Frontend,React,2
헤더,HDR-001,로고 및 브랜딩,BlockChainPro 로고 표시,높음,완료,Frontend,Next.js Link,0.5
헤더,HDR-002,데스크톱 네비게이션,서비스/왜우리인가/프로세스/포트폴리오/문의 메뉴,높음,완료,Frontend,React,1
헤더,HDR-003,모바일 햄버거 메뉴,토글 가능한 모바일 메뉴,높음,완료,Frontend,React Hooks + React Icons,2
헤더,HDR-004,스크롤 시 헤더 고정,sticky 헤더 구현,중간,완료,Frontend,Tailwind CSS,0.5
헤더,HDR-005,스크롤 시 배경 변경,스크롤 위치에 따른 헤더 스타일 변경,낮음,예정,Frontend,React Hooks,1
헤더,HDR-006,활성 메뉴 하이라이트,현재 섹션에 해당하는 메뉴 강조,낮음,예정,Frontend,React Hooks,1.5
히어로,HRO-001,메인 헤드라인,블록체인 쉽고 빠르게 시작 메시지,높음,완료,Frontend,React,0.5
히어로,HRO-002,서브 헤드라인,3가지 서비스 소개 문구,높음,완료,Frontend,React,0.5
히어로,HRO-003,CTA 버튼,무료상담/서비스살펴보기 버튼,높음,완료,Frontend,React,0.5
히어로,HRO-004,페이드인 애니메이션,텍스트 fade-in + slide-up 효과,중간,완료,Frontend,Framer Motion,1
히어로,HRO-005,비주얼 요소,3D 효과의 카드 디자인,중간,완료,Frontend,Tailwind CSS,2
