대분류,중분류,기능ID,기능명,상세설명,우선순위,구현위치,관련파일,입력,출력,비고
시스템 초기화,애플리케이션 시작,INIT-001,데몬 초기화,"bitcoind 데몬의 기본 설정 및 초기화 수행",높음,src/init.cpp,"init.cpp, init.h, bitcoind.cpp","설정 파일, 명령행 인자","초기화 상태, 오류 메시지","데몬 모드로 실행 가능"
시스템 초기화,애플리케이션 시작,INIT-002,파라미터 파싱,"명령행 옵션 및 설정 파일 파싱",높음,src/common/args.cpp,"common/args.cpp, common/args.h","명령행 인자, bitcoin.conf 파일",파싱된 설정 객체,"다양한 옵션 지원 (-datadir, -conf 등)"
시스템 초기화,애플리케이션 시작,INIT-003,로깅 초기화,"로그 시스템 초기화 및 로그 레벨 설정",중간,src/logging.cpp,"logging.cpp, logging.h",로그 레벨 설정,로그 출력 스트림,"카테고리별 로그 레벨 지원"
시스템 초기화,애플리케이션 시작,INIT-004,디렉토리 잠금,"데이터 디렉토리 잠금으로 다중 인스턴스 방지",높음,src/init.cpp,init.cpp,데이터 디렉토리 경로,"잠금 파일 생성, 성공/실패 상태","중복 실행 방지"
시스템 초기화,애플리케이션 시작,INIT-005,Sanity 체크,"시스템 환경 및 기본 기능 검증",높음,src/kernel/checks.cpp,"kernel/checks.cpp, kernel/checks.h",시스템 환경 정보,검증 결과,"암호화 기능, 난수 생성 등 검증"
블록체인 관리,블록 처리,BLOCK-001,블록 검증,"새로운 블록의 유효성 검증 (PoW, 트랜잭션 등)",높음,src/validation.cpp,"validation.cpp, validation.h","블록 데이터, 체인 상태","검증 결과, 오류 정보","합의 규칙 준수 확인"
블록체인 관리,블록 처리,BLOCK-002,블록 수신,"P2P 네트워크로부터 블록 수신 및 처리",높음,src/net_processing.cpp,"net_processing.cpp, net_processing.h","네트워크 메시지, 블록 데이터","처리된 블록 정보, 상태 업데이트","Compact Block 지원"
블록체인 관리,블록 처리,BLOCK-003,블록 저장,"검증된 블록을 디스크에 저장",높음,src/node/blockstorage.cpp,"node/blockstorage.cpp, node/blockstorage.h","블록 데이터, 블록 위치 정보","저장 성공 여부, 블록 인덱스","블록 파일 관리"
블록체인 관리,블록 처리,BLOCK-004,블록 인덱싱,"블록의 빠른 조회를 위한 인덱스 생성",중간,src/txdb.cpp,"txdb.cpp, txdb.h","블록 해시, 높이",인덱스 데이터,"LevelDB 사용"
블록체인 관리,블록 처리,BLOCK-005,블록 필터,"블록 필터(BIP 157/158) 생성 및 관리",낮음,src/blockfilter.cpp,"blockfilter.cpp, blockfilter.h",블록 데이터,블록 필터 데이터,"경량 클라이언트 지원"
