카테고리,기능명,우선순위,상태,담당자,예상공수(일),설명,기술스택,의존성
사용자관리,회원가입,높음,완료,개발팀,4,직원 계정 생성,React/Node.js,없음
사용자관리,로그인,높음,완료,개발팀,3,사용자 로그인 인증,JWT/OAuth,회원가입
사용자관리,프로필관리,높음,완료,개발팀,5,직원 프로필 정보 관리,User Profile/Database,로그인
사용자관리,부서관리,높음,완료,개발팀,5,부서별 직원 관리,Department Management,프로필관리
사용자관리,직급관리,중간,완료,개발팀,4,직급별 권한 관리,Role Management,부서관리
연차관리,연차신청,높음,완료,개발팀,6,연차 휴가 신청,Leave Request,사용자관리
연차관리,연차승인,높음,완료,개발팀,6,관리자 연차 승인,Leave Approval,연차신청
연차관리,연차취소,중간,완료,개발팀,4,연차 신청 취소,Leave Cancel,연차승인
연차관리,연차조회,높음,완료,개발팀,4,연차 사용 내역 조회,Leave History,연차취소
연차관리,연차잔여,높음,완료,개발팀,4,잔여 연차 조회,Leave Balance,연차조회
휴가관리,병가신청,중간,완료,개발팀,5,병가 신청 기능,Sick Leave,연차관리
휴가관리,특별휴가,중간,완료,개발팀,5,특별 휴가 신청,Special Leave,병가신청
휴가관리,반차신청,높음,완료,개발팀,4,반차 신청 기능,Half Day Leave,특별휴가
휴가관리,휴가유형관리,중간,완료,개발팀,5,다양한 휴가 유형 관리,Leave Type Management,반차신청
휴가관리,휴가정책,중간,완료,개발팀,6,회사별 휴가 정책 설정,Leave Policy,휴가유형관리
승인워크플로,승인요청,높음,완료,개발팀,6,휴가 승인 요청,Approval Request,휴가관리
승인워크플로,승인처리,높음,완료,개발팀,5,관리자 승인 처리,Approval Process,승인요청
승인워크플로,반려처리,중간,완료,개발팀,4,휴가 신청 반려,Rejection Process,승인처리
승인워크플로,승인권한,중간,완료,개발팀,5,승인자 권한 관리,Approval Authority,반려처리
승인워크플로,다단계승인,낮음,완료,개발팀,8,다단계 승인 프로세스,Multi-level Approval,승인권한
캘린더,휴가캘린더,높음,완료,개발팀,8,휴가 일정 캘린더,Calendar View,승인워크플로
캘린더,팀캘린더,높음,완료,개발팀,6,팀별 휴가 현황,Team Calendar,휴가캘린더
캘린더,회사캘린더,중간,완료,개발팀,6,전사 휴가 현황,Company Calendar,팀캘린더
캘린더,공휴일관리,중간,완료,개발팀,5,공휴일 설정 관리,Holiday Management,회사캘린더
캘린더,일정동기화,낮음,완료,개발팀,6,외부 캘린더 동기화,Calendar Sync,공휴일관리
알림시스템,신청알림,높음,완료,개발팀,4,휴가 신청 알림,Request Notification,캘린더
알림시스템,승인알림,높음,완료,개발팀,4,승인 결과 알림,Approval Notification,신청알림
알림시스템,마감알림,중간,완료,개발팀,4,연차 사용 마감 알림,Deadline Notification,승인알림
알림시스템,이메일알림,중간,완료,개발팀,5,이메일 알림 발송,Email Notification,마감알림
알림시스템,푸시알림,중간,완료,개발팀,4,모바일 푸시 알림,Push Notification,이메일알림
보고서,연차사용보고서,중간,완료,개발팀,6,연차 사용 현황 보고서,Usage Report,알림시스템
보고서,부서별보고서,중간,완료,개발팀,5,부서별 휴가 현황,Department Report,연차사용보고서
보고서,개인보고서,중간,완료,개발팀,4,개인 휴가 사용 내역,Personal Report,부서별보고서
보고서,통계보고서,낮음,완료,개발팀,6,휴가 사용 통계,Statistics Report,개인보고서
보고서,보고서내보내기,낮음,완료,개발팀,4,보고서 Excel/PDF 내보내기,Report Export,통계보고서
관리자기능,직원관리,높음,완료,관리자팀,6,관리자 직원 관리,Employee Management,보고서
관리자기능,연차설정,높음,완료,관리자팀,5,연차 정책 설정,Leave Settings,직원관리
관리자기능,권한관리,높음,완료,관리자팀,5,사용자 권한 관리,Permission Management,연차설정
관리자기능,시스템설정,중간,완료,관리자팀,6,시스템 환경 설정,System Settings,권한관리
관리자기능,백업관리,중간,완료,관리자팀,5,데이터 백업 관리,Backup Management,시스템설정
API,연차API,높음,완료,개발팀,6,연차 관련 API,Leave API,관리자기능
API,사용자API,높음,완료,개발팀,5,사용자 관련 API,User API,연차API
API,승인API,중간,완료,개발팀,5,승인 관련 API,Approval API,사용자API
API,보고서API,중간,완료,개발팀,5,보고서 관련 API,Report API,승인API
API,캘린더API,낮음,완료,개발팀,5,캘린더 관련 API,Calendar API,보고서API
연동기능,HR시스템연동,중간,완료,개발팀,8,HR 시스템 연동,HR Integration,API
연동기능,급여시스템연동,중간,완료,개발팀,6,급여 시스템 연동,Payroll Integration,HR시스템연동
연동기능,근태시스템연동,중간,완료,개발팀,6,근태 관리 시스템 연동,Attendance Integration,급여시스템연동
연동기능,이메일연동,낮음,완료,개발팀,5,이메일 시스템 연동,Email Integration,근태시스템연동
연동기능,SSO연동,낮음,완료,개발팀,6,Single Sign-On 연동,SSO Integration,이메일연동
모바일지원,모바일웹,높음,완료,모바일팀,8,모바일 웹 지원,Mobile Web,연동기능
모바일지원,반응형디자인,높음,완료,프론트엔드팀,6,반응형 웹 디자인,Responsive Design,모바일웹
모바일지원,터치최적화,중간,완료,프론트엔드팀,4,터치 인터페이스 최적화,Touch Optimization,반응형디자인
