카테고리,기능명,우선순위,상태,담당자,예상공수(일),설명,기술스택,의존성
사용자관리,학생가입,높음,계획,개발팀,3,학생 계정 생성,React/Node.js,없음
사용자관리,강사가입,높음,계획,개발팀,3,강사 계정 생성 및 인증,React/Node.js,없음
사용자관리,로그인,높음,계획,개발팀,2,사용자 인증 및 로그인,JWT/bcrypt,사용자가입
사용자관리,프로필관리,중간,계획,개발팀,3,사용자 프로필 편집,React/Node.js,로그인
사용자관리,권한관리,높음,계획,개발팀,3,학생/강사/관리자 권한 구분,Node.js/JWT,로그인
강의관리,강의생성,높음,계획,개발팀,4,새 강의 코스 생성,React/Node.js,강사가입
강의관리,강의편집,높음,계획,개발팀,3,기존 강의 정보 수정,React/Node.js,강의생성
강의관리,강의삭제,중간,계획,개발팀,1,강의 삭제 및 비활성화,Node.js,강의생성
강의관리,강의공개설정,중간,계획,개발팀,2,공개/비공개/유료 설정,React/Node.js,강의생성
강의관리,강의카테고리,중간,계획,개발팀,2,강의 분류 및 태그,React/Node.js,강의생성
콘텐츠관리,동영상업로드,높음,계획,개발팀,5,강의 동영상 업로드,Multer/AWS S3/FFmpeg,강의생성
콘텐츠관리,동영상스트리밍,높음,계획,개발팀,4,적응형 비트레이트 스트리밍,HLS/DASH,동영상업로드
콘텐츠관리,자료업로드,중간,계획,개발팀,2,PDF/문서 자료 업로드,Multer/AWS S3,강의생성
콘텐츠관리,퀴즈생성,중간,계획,개발팀,4,객관식/주관식 퀴즈,React/Node.js,강의생성
콘텐츠관리,과제생성,중간,계획,개발팀,3,과제 출제 및 제출,React/Node.js,강의생성
학습관리,강의수강,높음,계획,개발팀,3,동영상 시청 및 진도 관리,React/Video.js,콘텐츠관리
학습관리,진도추적,높음,계획,개발팀,3,학습 진도율 추적,React/Node.js,강의수강
학습관리,북마크,중간,계획,개발팀,2,중요 구간 북마크,React/Node.js,강의수강
학습관리,노트작성,중간,계획,개발팀,3,강의별 개인 노트,React/Node.js,강의수강
학습관리,재생속도조절,중간,계획,개발팀,1,동영상 재생 속도 변경,Video.js,강의수강
평가시스템,퀴즈응시,높음,계획,개발팀,3,온라인 퀴즈 응시,React/Node.js,퀴즈생성
평가시스템,과제제출,높음,계획,개발팀,3,과제 파일 제출,React/Multer,과제생성
평가시스템,자동채점,중간,계획,개발팀,4,객관식 자동 채점,Node.js,퀴즈응시
평가시스템,성적관리,중간,계획,개발팀,3,성적 조회 및 통계,React/Chart.js,평가시스템
평가시스템,피드백,중간,계획,개발팀,2,강사 피드백 시스템,React/Node.js,과제제출
토론,토론게시판,중간,계획,개발팀,4,강의별 토론 공간,React/Node.js,강의관리
토론,질문답변,중간,계획,개발팀,3,Q&A 시스템,React/Node.js,토론게시판
토론,댓글시스템,중간,계획,개발팀,2,댓글 및 대댓글,React/Node.js,토론게시판
라이브,라이브강의,중간,계획,개발팀,8,실시간 온라인 강의,WebRTC/Socket.io,강의관리
라이브,화면공유,중간,계획,개발팀,3,강사 화면 공유,WebRTC,라이브강의
라이브,채팅,중간,계획,개발팀,2,실시간 채팅,Socket.io,라이브강의
라이브,녹화,낮음,계획,개발팀,4,라이브 강의 녹화,FFmpeg,라이브강의
결제,강의구매,높음,계획,개발팀,5,유료 강의 결제,Stripe/PayPal,강의관리
결제,구독시스템,중간,계획,개발팀,4,월간/연간 구독,Stripe Subscription,강의구매
결제,쿠폰시스템,중간,계획,개발팀,3,할인 쿠폰 적용,Node.js,강의구매
결제,환불처리,중간,계획,개발팀,3,결제 환불 프로세스,Stripe API,강의구매
인증서,수료증발급,중간,계획,개발팀,4,강의 수료증 생성,Node.js/PDFKit,학습관리
인증서,인증서검증,낮음,계획,개발팀,2,수료증 진위 확인,QR Code/Blockchain,수료증발급
검색,강의검색,높음,계획,개발팀,3,키워드 기반 강의 검색,Elasticsearch,강의관리
검색,필터링,중간,계획,개발팀,3,카테고리/가격/난이도 필터,React/Node.js,강의검색
검색,추천시스템,낮음,계획,개발팀,5,개인화 강의 추천,ML/Python,학습관리
알림,학습알림,중간,계획,개발팀,3,학습 일정 알림,Nodemailer/Push,학습관리
알림,과제알림,중간,계획,개발팀,2,과제 마감일 알림,Nodemailer,과제생성
알림,공지사항,중간,계획,개발팀,2,강의별 공지사항,React/Node.js,강의관리
대시보드,학생대시보드,높음,계획,개발팀,4,학습 현황 대시보드,React/Chart.js,학습관리
대시보드,강사대시보드,높음,계획,개발팀,4,강의 통계 대시보드,React/Chart.js,강의관리
대시보드,관리자대시보드,중간,계획,개발팀,4,전체 플랫폼 통계,React/Chart.js,없음
모바일,모바일앱,낮음,계획,개발팀,15,React Native 모바일 앱,React Native,웹플랫폼
모바일,오프라인시청,낮음,계획,개발팀,6,동영상 다운로드 시청,React Native,모바일앱
분석,학습분석,중간,계획,개발팀,4,학습 패턴 분석,Google Analytics,학습관리
분석,강의분석,중간,계획,개발팀,3,강의 인기도 분석,Node.js/MongoDB,강의관리
보안,콘텐츠보호,높음,계획,보안팀,5,동영상 DRM 보호,DRM/Encryption,동영상스트리밍
보안,접근제어,높음,계획,개발팀,3,강의별 접근 권한,JWT/Node.js,결제시스템
보안,데이터백업,중간,계획,인프라팀,2,정기적 데이터 백업,AWS Backup,없음
