카테고리,기능명,우선순위,상태,담당자,예상공수(일),설명,기술스택,의존성
Web3기본,지갑연결,높음,계획,Web3개발팀,3,MetaMask 지갑 연결,JavaScript/Web3.js/MetaMask,없음
Web3기본,네트워크감지,높음,계획,Web3개발팀,2,현재 네트워크 감지,JavaScript/Web3.js,지갑연결
Web3기본,계정정보,높음,계획,Web3개발팀,2,연결된 계정 정보 표시,JavaScript/Web3.js,네트워크감지
Web3기본,잔액조회,높음,계획,Web3개발팀,3,ETH 잔액 조회,JavaScript/Web3.js,계정정보
Web3기본,네트워크전환,중간,계획,Web3개발팀,3,네트워크 전환 기능,JavaScript/Web3.js,잔액조회
스마트컨트랙트,컨트랙트배포,높음,계획,스마트컨트랙트팀,5,간단한 컨트랙트 배포,Solidity/Truffle/Hardhat,없음
스마트컨트랙트,컨트랙트연결,높음,계획,스마트컨트랙트팀,3,배포된 컨트랙트 연결,JavaScript/Web3.js/ABI,컨트랙트배포
스마트컨트랙트,함수호출,높음,계획,스마트컨트랙트팀,4,컨트랙트 함수 호출,JavaScript/Web3.js,컨트랙트연결
스마트컨트랙트,이벤트리스닝,중간,계획,스마트컨트랙트팀,4,컨트랙트 이벤트 모니터링,JavaScript/Web3.js/Events,함수호출
스마트컨트랙트,상태조회,중간,계획,스마트컨트랙트팀,3,컨트랙트 상태 변수 조회,JavaScript/Web3.js,이벤트리스닝
트랜잭션,ETH전송,높음,계획,Web3개발팀,4,ETH 전송 기능,JavaScript/Web3.js,잔액조회
트랜잭션,트랜잭션서명,높음,계획,Web3개발팀,3,트랜잭션 서명,JavaScript/Web3.js,ETH전송
트랜잭션,트랜잭션전송,높음,계획,Web3개발팀,3,서명된 트랜잭션 전송,JavaScript/Web3.js,트랜잭션서명
트랜잭션,트랜잭션조회,중간,계획,Web3개발팀,3,트랜잭션 상태 조회,JavaScript/Web3.js,트랜잭션전송
트랜잭션,가스추정,중간,계획,Web3개발팀,3,가스 사용량 추정,JavaScript/Web3.js,트랜잭션조회
토큰,ERC20토큰,중간,계획,토큰개발팀,6,ERC-20 토큰 컨트랙트,Solidity/OpenZeppelin,컨트랙트배포
토큰,토큰잔액,중간,계획,토큰개발팀,3,토큰 잔액 조회,JavaScript/Web3.js/ERC20,ERC20토큰
토큰,토큰전송,중간,계획,토큰개발팀,4,토큰 전송 기능,JavaScript/Web3.js/ERC20,토큰잔액
토큰,토큰승인,중간,계획,토큰개발팀,3,토큰 사용 승인,JavaScript/Web3.js/ERC20,토큰전송
토큰,토큰정보,낮음,계획,토큰개발팀,2,토큰 메타데이터 조회,JavaScript/Web3.js/ERC20,토큰승인
