카테고리,기능명,우선순위,상태,담당자,예상공수(일),설명,기술스택,의존성
블록조회,블록검색,높음,계획,Qt개발팀,4,블록 번호/해시로 블록 검색,Qt/C++/JSON-RPC,없음
블록조회,블록상세정보,높음,계획,Qt개발팀,5,블록 상세 정보 표시,Qt/Blockchain API/C++,블록검색
블록조회,최신블록목록,높음,계획,Qt개발팀,4,최신 블록 목록 표시,Qt/WebSocket/Timer,블록상세정보
블록조회,블록타임라인,중간,계획,Qt개발팀,6,블록 생성 타임라인,Qt Charts/QML,최신블록목록
블록조회,블록통계,중간,계획,Qt개발팀,5,블록 생성 통계 분석,Qt Charts/Statistics,블록타임라인
거래조회,거래검색,높음,계획,Qt개발팀,4,거래 해시로 거래 검색,Qt/JSON-RPC/C++,없음
거래조회,거래상세정보,높음,계획,Qt개발팀,5,거래 상세 정보 표시,Qt/Blockchain API/C++,거래검색
거래조회,거래목록,높음,계획,Qt개발팀,4,최신 거래 목록 표시,Qt/WebSocket/Model,거래상세정보
거래조회,거래상태추적,중간,계획,Qt개발팀,4,거래 상태 실시간 추적,Qt/WebSocket/Timer,거래상세정보
거래조회,내부거래조회,중간,계획,Qt개발팀,6,컨트랙트 내부 거래 추적,Qt/Trace API/C++,거래상세정보
주소조회,주소검색,높음,계획,Qt개발팀,3,주소로 계정 정보 검색,Qt/JSON-RPC/C++,없음
주소조회,주소상세정보,높음,계획,Qt개발팀,5,주소 잔액 및 거래 내역,Qt/Token API/SQLite,주소검색
주소조회,토큰보유현황,중간,계획,Qt개발팀,5,주소별 토큰 보유 현황,Qt/ERC20/Token Registry,주소상세정보
주소조회,NFT보유현황,중간,계획,Qt개발팀,5,주소별 NFT 보유 현황,Qt/ERC721/IPFS,주소상세정보
주소조회,거래히스토리,높음,계획,Qt개발팀,6,주소별 거래 히스토리,Qt/SQLite/Pagination,주소상세정보
UI/UX,메인대시보드,높음,계획,Qt UI팀,8,메인 탐색기 대시보드,Qt Widgets/QML,기본기능
UI/UX,검색인터페이스,높음,계획,Qt UI팀,6,통합 검색 인터페이스,Qt Widgets/QML,메인대시보드
UI/UX,상세정보패널,높음,계획,Qt UI팀,7,블록/거래 상세 패널,Qt Widgets/QML,검색인터페이스
UI/UX,차트시각화,중간,계획,Qt UI팀,8,데이터 차트 시각화,Qt Charts/QML,상세정보패널
UI/UX,테마지원,낮음,계획,Qt UI팀,4,다크/라이트 테마,Qt Style/QML,UI기본
토큰분석,토큰정보,중간,계획,Qt개발팀,5,토큰 기본 정보 및 메타데이터,Qt/ERC20/Token Registry,없음
토큰분석,토큰홀더분석,중간,계획,Qt개발팀,7,토큰 홀더 분포 분석,Qt Charts/Analytics,토큰정보
토큰분석,토큰전송내역,중간,계획,Qt개발팀,5,토큰 전송 내역 추적,Qt/ERC20 Events/SQLite,토큰정보
토큰분석,토큰통계,낮음,계획,Qt개발팀,6,토큰 거래량/가격 통계,Qt Charts/Price API,토큰분석
컨트랙트,컨트랙트조회,높음,계획,Qt개발팀,5,스마트 컨트랙트 정보 조회,Qt/Contract ABI/C++,주소조회
컨트랙트,컨트랙트소스코드,중간,계획,Qt개발팀,4,검증된 컨트랙트 소스 코드,Qt/Syntax Highlight/Text Editor,컨트랙트조회
컨트랙트,컨트랙트이벤트,중간,계획,Qt개발팀,5,컨트랙트 이벤트 로그,Qt/Event Logs/Model,컨트랙트조회
컨트랙트,컨트랙트상호작용,낮음,계획,Qt개발팀,8,컨트랙트 함수 호출 인터페이스,Qt/ABI/Form Generator,컨트랙트소스코드
네트워크통계,네트워크개요,높음,계획,Qt개발팀,5,네트워크 전체 통계,Qt Charts/Blockchain API,없음
네트워크통계,해시레이트,중간,계획,Qt개발팀,4,네트워크 해시레이트,Qt Charts/Mining API,네트워크개요
네트워크통계,난이도조정,중간,계획,Qt개발팀,4,채굴 난이도 변화,Qt Charts/Blockchain API,네트워크개요
네트워크통계,가스가격통계,중간,계획,Qt개발팀,4,가스 가격 통계 및 예측,Qt Charts/Gas Oracle,네트워크개요
네트워크통계,노드분포,낮음,계획,Qt개발팀,6,네트워크 노드 지리적 분포,Qt/Map Widget/Node API,네트워크통계
검색,통합검색,높음,계획,Qt개발팀,6,블록/거래/주소 통합 검색,Qt/Search Engine/SQLite,기본조회기능
검색,자동완성,중간,계획,Qt개발팀,4,검색어 자동완성,Qt/Completer/Model,통합검색
검색,검색기록,낮음,계획,Qt개발팀,3,사용자 검색 기록,Qt/SQLite/History,통합검색
검색,고급검색,낮음,계획,Qt개발팀,5,필터 기반 고급 검색,Qt/Filter Widget/Search,통합검색
실시간데이터,실시간블록,높음,계획,Qt개발팀,5,실시간 블록 생성 모니터링,Qt/WebSocket/Timer,블록조회
실시간데이터,실시간거래,높음,계획,Qt개발팀,5,실시간 거래 모니터링,Qt/WebSocket/Model,거래조회
실시간데이터,실시간가격,중간,계획,Qt개발팀,4,실시간 토큰 가격,Qt/Price WebSocket/Charts,토큰분석
실시간데이터,실시간알림,중간,계획,Qt개발팀,4,실시간 이벤트 알림,Qt/System Notification/WebSocket,실시간데이터
데이터관리,로컬캐시,높음,계획,Qt개발팀,5,로컬 데이터 캐싱,Qt/SQLite/Cache Manager,기본기능
데이터관리,데이터동기화,중간,계획,Qt개발팀,6,블록체인 데이터 동기화,Qt/Network/Sync Manager,로컬캐시
데이터관리,데이터압축,중간,계획,Qt개발팀,4,데이터 압축 저장,Qt/Compression/Storage,데이터관리
데이터관리,데이터정리,낮음,계획,Qt개발팀,3,오래된 데이터 정리,Qt/Cleanup/Scheduler,데이터관리
성능최적화,메모리최적화,중간,계획,Qt개발팀,5,메모리 사용량 최적화,Qt/C++/Memory Pool,없음
성능최적화,CPU최적화,중간,계획,Qt개발팀,6,CPU 사용량 최적화,Qt/Threading/Worker,메모리최적화
성능최적화,네트워크최적화,중간,계획,Qt개발팀,5,네트워크 요청 최적화,Qt/Network/Connection Pool,네트워크기능
성능최적화,렌더링최적화,중간,계획,Qt개발팀,5,UI 렌더링 최적화,Qt/Graphics/OpenGL,UI최적화
플랫폼지원,Windows지원,높음,계획,Qt개발팀,4,Windows 플랫폼 지원,Qt/Windows SDK,기본기능
플랫폼지원,macOS지원,높음,계획,Qt개발팀,5,macOS 플랫폼 지원,Qt/macOS SDK,기본기능
플랫폼지원,Linux지원,중간,계획,Qt개발팀,5,Linux 플랫폼 지원,Qt/Linux SDK,기본기능
플랫폼지원,패키징,중간,계획,Qt개발팀,6,각 플랫폼별 패키징,Qt Installer/Platform Tools,플랫폼지원
설정,언어설정,낮음,계획,Qt개발팀,3,다국어 지원,Qt/i18n/Translation,없음
설정,네트워크설정,중간,계획,Qt개발팀,4,네트워크 연결 설정,Qt/Network/Config,네트워크기능
설정,표시설정,낮음,계획,Qt개발팀,3,데이터 표시 설정,Qt/Settings/UI,설정기본
설정,알림설정,중간,계획,Qt개발팀,3,이벤트 알림 설정,Qt/Notification/Settings,설정기본
보안,입력검증,높음,계획,Qt개발팀,3,사용자 입력 검증,Qt/Validation/Security,없음
보안,XSS방어,높음,계획,Qt개발팀,3,XSS 공격 방어,Qt/Input Sanitization,입력검증
보안,DDoS방어,중간,계획,보안팀,5,DDoS 공격 방어,Qt/Network/Rate Limiting,네트워크보안
보안,데이터암호화,중간,계획,보안팀,4,민감 데이터 암호화,Qt/Crypto/AES,데이터보안
테스트,단위테스트,높음,계획,Qt개발팀,8,Qt 단위 테스트,Qt Test/C++,개발완료
테스트,통합테스트,높음,계획,Qt개발팀,10,시스템 통합 테스트,Qt Test/Automation,단위테스트
테스트,UI테스트,중간,계획,Qt개발팀,8,사용자 인터페이스 테스트,Qt Test/UI Automation,통합테스트
테스트,성능테스트,중간,계획,Qt개발팀,6,시스템 성능 테스트,Qt/Benchmark/Profiler,테스트기본
배포,설치프로그램,중간,계획,Qt개발팀,6,설치 프로그램 제작,Qt Installer Framework,패키징
배포,자동업데이트,중간,계획,Qt개발팀,7,자동 업데이트 시스템,Qt/Network/Updater,설치프로그램
배포,디지털서명,높음,계획,보안팀,4,실행 파일 디지털 서명,Code Signing/Certificate,배포준비
모니터링,시스템모니터링,중간,계획,Qt개발팀,5,시스템 상태 모니터링,Qt/System Monitor/Metrics,없음
