카테고리,기능명,우선순위,상태,담당자,예상공수(일),설명,기술스택,의존성
에디터코어,텍스트편집기,높음,완료,개발팀,8,리치 텍스트 편집기,Rich Text Editor/Quill,없음
에디터코어,드래그앤드롭,높음,완료,개발팀,6,요소 드래그앤드롭,Drag & Drop API,텍스트편집기
에디터코어,실행취소,높음,완료,개발팀,5,실행취소/다시실행,Undo/Redo System,드래그앤드롭
에디터코어,자동저장,높음,완료,개발팀,4,자동 저장 기능,Auto Save,실행취소
에디터코어,버전관리,중간,완료,개발팀,6,문서 버전 관리,Version Control,자동저장
이미지관리,이미지업로드,높음,완료,개발팀,5,이미지 파일 업로드,Image Upload/S3,에디터코어
이미지관리,이미지편집,높음,완료,개발팀,8,이미지 크롭/리사이즈,Image Editor/Canvas,이미지업로드
이미지관리,이미지최적화,중간,완료,개발팀,5,이미지 압축/최적화,Image Optimization,이미지편집
이미지관리,이미지갤러리,중간,완료,개발팀,6,이미지 갤러리 관리,Image Gallery,이미지최적화
이미지관리,이미지검색,낮음,완료,개발팀,4,이미지 검색 기능,Image Search,이미지갤러리
레이아웃편집,레이아웃템플릿,높음,완료,개발팀,8,미리 정의된 레이아웃,Layout Templates,이미지관리
레이아웃편집,그리드시스템,높음,완료,개발팀,6,그리드 기반 레이아웃,Grid System,레이아웃템플릿
레이아웃편집,반응형편집,높음,완료,개발팀,8,반응형 레이아웃 편집,Responsive Design,그리드시스템
레이아웃편집,레이아웃미리보기,중간,완료,개발팀,5,레이아웃 미리보기,Layout Preview,반응형편집
레이아웃편집,레이아웃저장,중간,완료,개발팀,4,레이아웃 저장/불러오기,Layout Save,레이아웃미리보기
스타일편집,CSS편집기,높음,완료,개발팀,8,CSS 스타일 편집,CSS Editor,레이아웃편집
스타일편집,색상선택기,높음,완료,개발팀,4,색상 선택 도구,Color Picker,CSS편집기
스타일편집,폰트관리,높음,완료,개발팀,5,폰트 선택/관리,Font Manager,색상선택기
스타일편집,스타일프리셋,중간,완료,개발팀,6,미리 정의된 스타일,Style Presets,폰트관리
스타일편집,테마관리,중간,완료,개발팀,6,테마 생성/관리,Theme Manager,스타일프리셋
컴포넌트관리,기본컴포넌트,높음,완료,개발팀,10,기본 UI 컴포넌트,Basic Components,스타일편집
컴포넌트관리,커스텀컴포넌트,중간,완료,개발팀,8,사용자 정의 컴포넌트,Custom Components,기본컴포넌트
컴포넌트관리,컴포넌트라이브러리,중간,완료,개발팀,6,컴포넌트 라이브러리,Component Library,커스텀컴포넌트
컴포넌트관리,컴포넌트검색,낮음,완료,개발팀,4,컴포넌트 검색 기능,Component Search,컴포넌트라이브러리
컴포넌트관리,컴포넌트미리보기,낮음,완료,개발팀,4,컴포넌트 미리보기,Component Preview,컴포넌트검색
상품정보편집,상품명편집,높음,완료,개발팀,4,상품명 편집 기능,Product Name Edit,컴포넌트관리
상품정보편집,상품설명편집,높음,완료,개발팀,6,상품 설명 편집,Product Description,상품명편집
상품정보편집,가격정보편집,높음,완료,개발팀,4,가격 정보 편집,Price Edit,상품설명편집
상품정보편집,옵션관리,중간,완료,개발팀,6,상품 옵션 관리,Product Options,가격정보편집
상품정보편집,카테고리설정,중간,완료,개발팀,4,상품 카테고리 설정,Category Setting,옵션관리
미디어관리,동영상업로드,중간,완료,개발팀,6,동영상 파일 업로드,Video Upload,상품정보편집
미디어관리,동영상편집,중간,완료,개발팀,8,동영상 편집 기능,Video Editor,동영상업로드
미디어관리,미디어라이브러리,중간,완료,개발팀,5,미디어 파일 관리,Media Library,동영상편집
미디어관리,미디어검색,낮음,완료,개발팀,4,미디어 파일 검색,Media Search,미디어라이브러리
미디어관리,미디어최적화,낮음,완료,개발팀,5,미디어 파일 최적화,Media Optimization,미디어검색
코드편집,HTML편집,중간,완료,개발팀,6,HTML 코드 편집,HTML Editor,미디어관리
코드편집,CSS편집,중간,완료,개발팀,6,CSS 코드 편집,CSS Code Editor,HTML편집
코드편집,JavaScript편집,낮음,완료,개발팀,6,JavaScript 코드 편집,JS Editor,CSS편집
코드편집,코드하이라이팅,낮음,완료,개발팀,4,코드 구문 강조,Syntax Highlighting,JavaScript편집
코드편집,코드자동완성,낮음,완료,개발팀,5,코드 자동 완성,Code Autocomplete,코드하이라이팅
미리보기,실시간미리보기,높음,완료,개발팀,8,실시간 편집 미리보기,Live Preview,코드편집
미리보기,디바이스미리보기,높음,완료,개발팀,6,다양한 디바이스 미리보기,Device Preview,실시간미리보기
미리보기,브라우저미리보기,중간,완료,개발팀,5,브라우저별 미리보기,Browser Preview,디바이스미리보기
미리보기,미리보기설정,중간,완료,개발팀,4,미리보기 옵션 설정,Preview Settings,브라우저미리보기
미리보기,미리보기공유,낮음,완료,개발팀,4,미리보기 링크 공유,Preview Share,미리보기설정
저장발행,저장기능,높음,완료,개발팀,5,문서 저장 기능,Save Function,미리보기
저장발행,발행기능,높음,완료,개발팀,6,상품 정보 발행,Publish Function,저장기능
저장발행,버전관리,중간,완료,개발팀,6,발행 버전 관리,Version Management,발행기능
저장발행,백업복원,중간,완료,개발팀,5,데이터 백업/복원,Backup/Restore,버전관리
저장발행,내보내기,낮음,완료,개발팀,5,다양한 형식으로 내보내기,Export Function,백업복원
사용자관리,사용자인증,높음,완료,개발팀,5,사용자 로그인/인증,User Authentication,저장발행
사용자관리,권한관리,높음,완료,개발팀,6,사용자 권한 관리,Permission Management,사용자인증
사용자관리,사용자프로필,중간,완료,개발팀,4,사용자 프로필 관리,User Profile,권한관리
사용자관리,팀관리,중간,완료,개발팀,5,팀 단위 관리,Team Management,사용자프로필
사용자관리,활동로그,낮음,완료,개발팀,4,사용자 활동 로그,Activity Log,팀관리
협업기능,실시간협업,중간,완료,개발팀,10,실시간 공동 편집,Real-time Collaboration,사용자관리
협업기능,댓글시스템,중간,완료,개발팀,6,편집 요소별 댓글,Comment System,실시간협업
협업기능,변경추적,중간,완료,개발팀,6,변경 사항 추적,Change Tracking,댓글시스템
협업기능,승인워크플로,낮음,완료,개발팀,8,승인 워크플로우,Approval Workflow,변경추적
협업기능,알림시스템,낮음,완료,개발팀,5,협업 관련 알림,Notification System,승인워크플로
API,편집API,높음,완료,개발팀,8,편집 기능 API,Editor API,협업기능
API,상품API,높음,완료,개발팀,6,상품 정보 API,Product API,편집API
API,미디어API,중간,완료,개발팀,6,미디어 관리 API,Media API,상품API
API,사용자API,중간,완료,개발팀,5,사용자 관리 API,User API,미디어API
API,통계API,낮음,완료,개발팀,5,사용 통계 API,Analytics API,사용자API
보안,데이터암호화,높음,완료,보안팀,6,편집 데이터 암호화,Data Encryption,API
보안,접근제어,높음,완료,보안팀,5,시스템 접근 제어,Access Control,데이터암호화
보안,세션관리,높음,완료,보안팀,4,사용자 세션 관리,Session Management,접근제어
보안,파일보안,중간,완료,보안팀,5,업로드 파일 보안,File Security,세션관리
보안,보안로그,중간,완료,보안팀,4,보안 이벤트 로깅,Security Logging,파일보안
성능최적화,로딩최적화,중간,완료,개발팀,6,에디터 로딩 최적화,Loading Optimization,보안
성능최적화,캐싱시스템,중간,완료,개발팀,6,데이터 캐싱,Caching System,로딩최적화
성능최적화,이미지최적화,중간,완료,개발팀,5,이미지 로딩 최적화,Image Optimization,캐싱시스템
성능최적화,메모리관리,중간,완료,개발팀,5,메모리 사용 최적화,Memory Management,이미지최적화
성능최적화,성능모니터링,낮음,완료,개발팀,4,성능 모니터링,Performance Monitoring,메모리관리
모바일지원,터치지원,높음,완료,프론트엔드팀,6,터치 인터페이스 지원,Touch Support,성능최적화
모바일지원,반응형UI,높음,완료,프론트엔드팀,8,모바일 반응형 UI,Responsive UI,터치지원
모바일지원,모바일최적화,중간,완료,프론트엔드팀,6,모바일 성능 최적화,Mobile Optimization,반응형UI
모바일지원,제스처지원,중간,완료,프론트엔드팀,5,터치 제스처 지원,Gesture Support,모바일최적화
모바일지원,오프라인지원,낮음,진행중,프론트엔드팀,8,오프라인 편집 지원,Offline Support,제스처지원
분석기능,사용통계,중간,완료,데이터팀,5,에디터 사용 통계,Usage Analytics,모바일지원
분석기능,성능분석,중간,완료,데이터팀,5,에디터 성능 분석,Performance Analytics,사용통계
분석기능,사용자행동분석,낮음,완료,데이터팀,6,사용자 행동 분석,User Behavior Analytics,성능분석
