카테고리,기능명,우선순위,상태,담당자,예상공수(일),설명,기술스택,의존성
사용자관리,환자가입,높음,계획,개발팀,3,환자 계정 생성,React/Node.js,없음
사용자관리,의료진가입,높음,계획,개발팀,4,의사/간호사 계정 생성 및 인증,React/Node.js,없음
사용자관리,로그인,높음,계획,개발팀,2,사용자 인증 및 로그인,JWT/bcrypt,사용자가입
사용자관리,프로필관리,높음,계획,개발팀,3,개인정보 및 의료정보 관리,React/Node.js,로그인
사용자관리,권한관리,높음,계획,개발팀,3,환자/의료진/관리자 권한,Node.js/JWT,로그인
건강기록,기본정보입력,높음,계획,개발팀,3,키/몸무게/혈액형 등 기본 정보,React/Node.js,사용자관리
건강기록,생체신호기록,높음,계획,개발팀,4,혈압/맥박/체온 기록,React/Chart.js,기본정보입력
건강기록,운동기록,중간,계획,개발팀,3,운동량 및 활동 기록,React/Node.js,생체신호기록
건강기록,식단기록,중간,계획,개발팀,4,음식 섭취 및 칼로리 기록,React/Node.js,건강기록
건강기록,수면기록,중간,계획,개발팀,3,수면 시간 및 질 기록,React/Chart.js,건강기록
건강기록,복용약물,높음,계획,개발팀,3,복용 중인 약물 관리,React/Node.js,기본정보입력
증상관리,증상기록,높음,계획,개발팀,4,증상 발생 및 정도 기록,React/Node.js,건강기록
증상관리,증상분석,중간,계획,개발팀,4,증상 패턴 분석,Chart.js/ML,증상기록
증상관리,알레르기관리,높음,계획,개발팀,2,알레르기 정보 관리,React/Node.js,건강기록
예약시스템,병원검색,높음,계획,개발팀,3,병원/의원 검색,React/Google Maps,없음
예약시스템,의료진검색,높음,계획,개발팀,3,전문의 검색 및 정보,React/Node.js,병원검색
예약시스템,예약신청,높음,계획,개발팀,4,진료 예약 신청,React/Node.js,의료진검색
예약시스템,예약확인,높음,계획,개발팀,2,예약 현황 확인,React/Node.js,예약신청
예약시스템,예약변경,중간,계획,개발팀,2,예약 일정 변경,React/Node.js,예약신청
예약시스템,예약취소,중간,계획,개발팀,2,예약 취소 처리,Node.js,예약신청
원격진료,화상진료,높음,계획,개발팀,8,실시간 화상 진료,WebRTC/Socket.io,예약시스템
원격진료,채팅상담,중간,계획,개발팀,4,텍스트 기반 상담,Socket.io/React,화상진료
원격진료,파일공유,중간,계획,개발팀,3,의료 자료 공유,Multer/AWS S3,화상진료
원격진료,처방전발급,높음,계획,개발팀,4,전자 처방전 발급,Node.js/PDF,화상진료
의료기록,진료기록,높음,계획,개발팀,4,진료 내용 기록,React/Node.js,원격진료
의료기록,검사결과,높음,계획,개발팀,3,검사 결과 업로드/조회,React/AWS S3,진료기록
의료기록,영상자료,중간,계획,개발팀,4,X-ray/CT/MRI 이미지 관리,DICOM/React,검사결과
의료기록,의료기록공유,중간,계획,개발팀,3,의료진 간 기록 공유,Node.js/권한관리,진료기록
알림,복용알림,높음,계획,개발팀,3,약물 복용 시간 알림,Push Notification,복용약물
알림,예약알림,높음,계획,개발팀,2,진료 예약 알림,Push/Email,예약시스템
알림,건강체크알림,중간,계획,개발팀,2,정기 건강 체크 알림,Push Notification,건강기록
응급상황,응급신고,높음,계획,개발팀,4,응급상황 신고 시스템,React/GPS/SMS,사용자관리
응급상황,응급연락처,높음,계획,개발팀,2,응급 연락처 관리,React/Node.js,사용자관리
응급상황,위치추적,높음,계획,개발팀,3,GPS 기반 위치 전송,GPS/Google Maps,응급신고
건강분석,건강지표분석,중간,계획,개발팀,5,종합 건강 상태 분석,Chart.js/ML,건강기록
건강분석,위험도평가,중간,계획,개발팀,4,질병 위험도 평가,ML/Python,건강지표분석
건강분석,건강보고서,중간,계획,개발팀,3,주기적 건강 보고서,PDF/Chart.js,건강지표분석
건강분석,개선제안,낮음,계획,개발팀,4,개인 맞춤 건강 개선 제안,ML/React,위험도평가
웨어러블연동,스마트워치연동,중간,계획,개발팀,6,Apple Watch/Galaxy Watch 연동,HealthKit/Samsung Health,건강기록
웨어러블연동,피트니스트래커,중간,계획,개발팀,5,Fitbit/Garmin 등 연동,API Integration,웨어러블연동
웨어러블연동,자동데이터수집,중간,계획,개발팀,4,자동 건강 데이터 수집,Background Sync,웨어러블연동
보험연동,보험정보관리,중간,계획,개발팀,4,건강보험 정보 관리,React/Node.js,사용자관리
보험연동,보험청구,중간,계획,개발팀,5,의료비 보험 청구,API/Node.js,보험정보관리
가족관리,가족계정연결,중간,계획,개발팀,3,가족 구성원 계정 연결,React/Node.js,사용자관리
가족관리,가족건강모니터링,중간,계획,개발팀,4,가족 건강 상태 모니터링,React/Chart.js,가족계정연결
교육콘텐츠,건강정보제공,낮음,계획,개발팀,3,질병별 건강 정보,React/CMS,없음
교육콘텐츠,운동가이드,낮음,계획,개발팀,4,운동 방법 가이드,React/Video,건강정보제공
교육콘텐츠,식단가이드,낮음,계획,개발팀,3,건강한 식단 가이드,React/Node.js,건강정보제공
데이터보안,개인정보암호화,높음,계획,보안팀,3,민감 의료 정보 암호화,AES/bcrypt,없음
데이터보안,접근로그,높음,계획,보안팀,2,의료 정보 접근 기록,Node.js/MongoDB,개인정보암호화
데이터보안,HIPAA준수,높음,계획,보안팀,5,의료 정보 보호 규정 준수,Compliance Framework,데이터보안
백업복구,자동백업,중간,계획,인프라팀,3,정기적 데이터 백업,AWS Backup,없음
백업복구,데이터복구,중간,계획,인프라팀,2,백업 데이터 복구,AWS/Node.js,자동백업
관리자,사용자관리,중간,계획,개발팀,3,전체 사용자 관리,React/Node.js,없음
관리자,시스템모니터링,중간,계획,개발팀,4,시스템 상태 모니터링,Grafana/Prometheus,사용자관리
관리자,통계대시보드,중간,계획,개발팀,4,사용자/진료 통계,React/Chart.js,시스템모니터링
