카테고리,기능명,우선순위,상태,담당자,예상공수(일),설명,기술스택,의존성
사용자관리,지갑연결,높음,계획,개발팀,3,MetaMask/WalletConnect 연결,Web3.js/WalletConnect,없음
사용자관리,프로필생성,중간,계획,개발팀,2,사용자 프로필 설정,React/IPFS,지갑연결
사용자관리,KYC인증,중간,계획,개발팀,5,신원 확인 프로세스,KYC API/Compliance,프로필생성
토큰관리,토큰목록,높음,계획,개발팀,3,지원 토큰 목록 표시,Token Registry/Web3.js,지갑연결
토큰관리,토큰추가,중간,계획,개발팀,2,커스텀 토큰 추가,ERC20/Contract ABI,토큰목록
토큰관리,토큰정보조회,중간,계획,개발팀,3,토큰 상세 정보 표시,CoinGecko API/Web3.js,토큰목록
스왑,토큰스왑,높음,계획,개발팀,6,토큰 간 교환,AMM/Uniswap SDK,토큰관리
스왑,가격조회,높음,계획,개발팀,3,실시간 토큰 가격,Price Oracle/API,토큰스왑
스왑,슬리피지설정,중간,계획,개발팀,2,슬리피지 허용치 설정,React/Smart Contract,토큰스왑
스왑,가스비예측,중간,계획,개발팀,3,거래 가스비 예측,Gas Oracle/Web3.js,토큰스왑
스왑,MEV보호,낮음,계획,개발팀,5,MEV 공격 방지,Flashbots/Private Mempool,토큰스왑
유동성,유동성공급,높음,계획,개발팀,5,유동성 풀에 토큰 공급,AMM/Smart Contract,스왑
유동성,유동성제거,높음,계획,개발팀,3,유동성 풀에서 토큰 회수,AMM/Smart Contract,유동성공급
유동성,LP토큰관리,중간,계획,개발팀,3,LP 토큰 조회 및 관리,ERC20/Web3.js,유동성공급
유동성,수수료수익조회,중간,계획,개발팀,3,유동성 공급 수익 확인,Smart Contract/Analytics,유동성공급
유동성,임페어먼트로스계산,낮음,계획,개발팀,4,비영구적 손실 계산,Price Analytics/Math,유동성공급
스테이킹,토큰스테이킹,높음,계획,개발팀,5,토큰 스테이킹,Staking Contract/Web3.js,토큰관리
스테이킹,스테이킹보상조회,높음,계획,개발팀,3,스테이킹 보상 확인,Smart Contract/Web3.js,토큰스테이킹
스테이킹,언스테이킹,중간,계획,개발팀,3,스테이킹 해제,Smart Contract/Web3.js,토큰스테이킹
스테이킹,복합스테이킹,중간,계획,개발팀,4,자동 복리 스테이킹,Auto-compound Contract,스테이킹보상조회
스테이킹,락업기간관리,중간,계획,개발팀,2,스테이킹 락업 기간 표시,Smart Contract/Timer,토큰스테이킹
대출,담보대출,중간,계획,개발팀,8,담보 기반 대출,Lending Protocol/Oracle,토큰관리
