카테고리,기능명,우선순위,상태,담당자,예상공수(일),설명,기술스택,의존성
상품관리,상품등록,높음,계획,개발팀,3,새 상품 정보 등록,React/Node.js,없음
상품관리,상품편집,높음,계획,개발팀,2,기존 상품 정보 수정,React/Node.js,상품등록
상품관리,상품삭제,중간,계획,개발팀,1,상품 삭제 및 비활성화,Node.js,상품등록
상품관리,재고관리,높음,계획,개발팀,4,실시간 재고 추적 및 알림,Node.js/MongoDB,상품등록
상품관리,카테고리관리,중간,계획,개발팀,3,상품 카테고리 생성/편집,React/Node.js,없음
상품관리,상품이미지,높음,계획,개발팀,3,상품 이미지 업로드/관리,Multer/AWS S3,상품등록
사용자관리,회원가입,높음,계획,개발팀,3,신규 회원 가입 프로세스,React/Node.js,없음
사용자관리,로그인,높음,계획,개발팀,2,사용자 인증 및 로그인,JWT/bcrypt,회원가입
사용자관리,프로필관리,중간,계획,개발팀,2,사용자 프로필 편집,React/Node.js,로그인
사용자관리,비밀번호재설정,중간,계획,개발팀,2,이메일 기반 비밀번호 재설정,Nodemailer,회원가입
장바구니,상품추가,높음,계획,개발팀,2,장바구니에 상품 추가,React/Redux,상품관리
장바구니,수량변경,높음,계획,개발팀,1,장바구니 상품 수량 조절,React/Redux,상품추가
장바구니,상품삭제,중간,계획,개발팀,1,장바구니에서 상품 제거,React/Redux,상품추가
장바구니,장바구니저장,중간,계획,개발팀,2,로그인 사용자 장바구니 저장,Node.js/MongoDB,로그인
주문관리,주문생성,높음,계획,개발팀,4,새 주문 생성 프로세스,Node.js/MongoDB,장바구니
주문관리,주문조회,높음,계획,개발팀,2,주문 내역 조회,React/Node.js,주문생성
주문관리,주문상태변경,중간,계획,개발팀,2,주문 상태 업데이트,Node.js,주문생성
주문관리,주문취소,중간,계획,개발팀,3,주문 취소 및 환불 처리,Node.js,주문생성
결제,결제처리,높음,계획,개발팀,5,다양한 결제 수단 지원,Stripe/PayPal API,주문생성
결제,결제확인,높음,계획,개발팀,2,결제 완료 확인 및 알림,Node.js/Webhook,결제처리
결제,환불처리,중간,계획,개발팀,3,결제 환불 프로세스,Stripe API,결제처리
배송,배송정보입력,높음,계획,개발팀,2,배송지 정보 관리,React/Node.js,주문생성
배송,배송추적,중간,계획,개발팀,3,실시간 배송 상태 추적,외부API/Node.js,배송정보입력
배송,배송비계산,중간,계획,개발팀,2,지역별 배송비 자동 계산,Node.js,배송정보입력
검색,상품검색,높음,계획,개발팀,3,키워드 기반 상품 검색,Elasticsearch,상품관리
검색,필터링,중간,계획,개발팀,3,가격/카테고리/브랜드 필터,React/Node.js,상품검색
검색,정렬기능,중간,계획,개발팀,2,가격/인기도/평점 정렬,React,상품검색
리뷰,리뷰작성,중간,계획,개발팀,3,구매 후 상품 리뷰 작성,React/Node.js,주문생성
리뷰,리뷰조회,중간,계획,개발팀,2,상품별 리뷰 목록 표시,React/Node.js,리뷰작성
리뷰,평점시스템,중간,계획,개발팀,2,5점 평점 시스템,React/MongoDB,리뷰작성
위시리스트,상품추가,낮음,계획,개발팀,2,관심 상품 위시리스트 추가,React/Node.js,로그인
위시리스트,목록관리,낮음,계획,개발팀,2,위시리스트 조회/삭제,React/Node.js,상품추가
쿠폰,쿠폰생성,중간,계획,개발팀,3,할인 쿠폰 생성 및 관리,Node.js/MongoDB,없음
쿠폰,쿠폰적용,중간,계획,개발팀,2,주문 시 쿠폰 할인 적용,Node.js,쿠폰생성
관리자,대시보드,중간,계획,개발팀,4,매출/주문/재고 현황 대시보드,React/Chart.js,없음
관리자,매출통계,중간,계획,개발팀,3,일/월/년 매출 분석,Node.js/MongoDB,대시보드
관리자,사용자관리,중간,계획,개발팀,3,회원 정보 조회/관리,React/Node.js,없음
보안,데이터암호화,높음,계획,보안팀,2,민감 정보 암호화,bcrypt/crypto,없음
보안,SQL인젝션방지,높음,계획,개발팀,1,SQL 인젝션 공격 방어,Mongoose/Validation,없음
보안,XSS방지,높음,계획,개발팀,1,크로스 사이트 스크립팅 방어,DOMPurify,없음
