번호,대분류,중분류,기능명,기능설명,우선순위,현재상태,담당자,비고
1,사용자 인터페이스,메인 페이지,페이지 렌더링,메인 페이지 접속 시 업로드 인터페이스 표시,High,완료,,
2,사용자 인터페이스,메인 페이지,한국 전통 테마 디자인,한지 배경과 민화 장식 요소가 포함된 UI,High,완료,,
3,사용자 인터페이스,메인 페이지,반응형 디자인,모바일/태블릿/데스크톱 화면 크기 대응,High,완료,,"768px 브레이크포인트"
4,사용자 인터페이스,메인 페이지,민화 애니메이션,배경 민화 요소의 부유 애니메이션 효과,Medium,완료,,
5,이미지 업로드,파일 선택,파일 선택 버튼,클릭하여 파일 선택 다이얼로그 열기,High,완료,,
6,이미지 업로드,파일 선택,드래그 앤 드롭,이미지 파일을 드래그하여 업로드 영역에 드롭,High,완료,,
7,이미지 업로드,파일 선택,업로드 영역 클릭,업로드 영역 전체 클릭 시 파일 선택,Medium,완료,,
8,이미지 업로드,파일 검증,파일 형식 검증,PNG/JPG/JPEG/GIF/BMP/WEBP 형식만 허용,High,완료,,
9,이미지 업로드,파일 검증,파일 크기 제한,클라이언트 10MB/서버 16MB 크기 제한,High,완료,,
10,이미지 업로드,파일 검증,MIME 타입 체크,이미지 파일 타입 검증,High,완료,,
11,이미지 업로드,미리보기,이미지 미리보기,업로드 전 이미지 미리보기 표시,Medium,완료,,
12,이미지 업로드,미리보기,로딩 상태 표시,분석 중 로딩 애니메이션 및 메시지,High,완료,,
13,얼굴 분석,얼굴 검출,Haar Cascade 로드,OpenCV Haar Cascade 모델 로드,High,완료,,
14,얼굴 분석,얼굴 검출,얼굴 영역 검출,이미지에서 얼굴 영역 자동 검출,High,완료,,"scaleFactor=1.1, minNeighbors=5"
15,얼굴 분석,얼굴 검출,다중 얼굴 처리,여러 얼굴 검출 시 가장 큰 얼굴 선택,Medium,완료,,
16,얼굴 분석,얼굴 검출,얼굴 미검출 처리,얼굴이 없을 경우 사용자 친화적 오류 메시지,High,완료,,
17,얼굴 분석,특징 추출,얼굴 비율 계산,얼굴 가로/세로 비율 계산,High,완료,,
18,얼굴 분석,특징 추출,얼굴형 분류,둥근형/긴형/타원형 분류,High,완료,,"비율 기준: >0.85, <0.75"
19,얼굴 분석,특징 추출,얼굴 크기 분류,큰편/보통/작은편 분류,Medium,완료,,"면적 기준: >20000, <10000"
20,얼굴 분석,특징 추출,이마 영역 분석,얼굴 상단 1/3 이마 비율 계산,Medium,완료,,
21,얼굴 분석,특징 추출,눈 영역 추정,얼굴 중앙 1/3 눈 영역 추정,Low,완료,,
22,얼굴 분석,특징 추출,입 영역 추정,얼굴 하단 1/3 입 영역 추정,Low,완료,,
23,관상 해석,성격 분석,얼굴형별 성격,얼굴형에 따른 성격 특성 해석,High,완료,,
24,관상 해석,성격 분석,얼굴 크기별 추가 해석,얼굴 크기에 따른 성격 보정,Medium,완료,,
25,관상 해석,운세 분석,전체 운세,복/재물운/명예운 종합 운세,High,완료,,
26,관상 해석,운세 분석,직업운,적합한 직업 분야 추천,High,완료,,
27,관상 해석,운세 분석,건강운,건강 관리 조언 제공,High,완료,,
28,관상 해석,운세 분석,지혜운,이마 비율 기반 학업/지적 능력 해석,Medium,완료,,
29,관상 해석,행운 요소,행운의 색상,얼굴형별 행운의 색상 제공,Medium,완료,,
30,관상 해석,행운 요소,행운의 방향,얼굴형별 행운의 방향 제공,Medium,완료,,
31,관상 해석,행운 요소,행운의 숫자,얼굴형별 행운의 숫자 제공,Medium,완료,,
32,관상 해석,행운 요소,행운의 보석,얼굴형별 행운의 보석 제공,Medium,완료,,
33,관상 해석,인생 조언,맞춤형 조언,얼굴형별 개인 맞춤 인생 조언 리스트,Medium,완료,,"4-5개 조언 제공"
34,결과 표시,결과 페이지,결과 페이지 렌더링,분석 결과를 카드 형식으로 표시,High,완료,,
35,결과 표시,결과 페이지,성격 카드,성격 및 기질 분석 결과 표시,High,완료,,
36,결과 표시,결과 페이지,운세 카드,전체 운세 분석 결과 표시,High,완료,,
37,결과 표시,결과 페이지,직업운 카드,직업 및 사업운 결과 표시,High,완료,,
38,결과 표시,결과 페이지,건강운 카드,건강운 결과 표시,High,완료,,
39,결과 표시,결과 페이지,지혜운 카드,지혜 및 학업운 결과 표시,High,완료,,
40,결과 표시,결과 페이지,행운 요소 카드,행운의 색상/방향/숫자/보석 표시,Medium,완료,,
41,결과 표시,결과 페이지,인생 조언 카드,인생 조언 리스트 표시,Medium,완료,,
42,결과 표시,결과 페이지,분석 정보 카드,얼굴형/크기/비율 등 분석 데이터 표시,Low,완료,,
43,결과 표시,애니메이션,카드 진입 애니메이션,결과 카드 순차적 페이드인 효과,Medium,완료,,"0.1s 간격 딜레이"
44,결과 표시,애니메이션,카드 호버 효과,마우스 오버 시 카드 상승 및 그림자 효과,Low,완료,,
45,사용자 액션,네비게이션,다시 분석하기,메인 페이지로 돌아가기 버튼,High,완료,,
46,사용자 액션,공유,결과 공유하기,Web Share API 또는 URL 복사,Medium,완료,,
47,사용자 액션,공유,클립보드 복사,공유 미지원 브라우저에서 URL 복사,Medium,완료,,
48,API,엔드포인트,GET / (메인),메인 페이지 렌더링 엔드포인트,High,완료,,
49,API,엔드포인트,POST /analyze,이미지 분석 요청 엔드포인트,High,완료,,
50,API,엔드포인트,GET /result,분석 결과 페이지 엔드포인트,High,완료,,
51,API,응답 형식,JSON 성공 응답,분석 성공 시 JSON 형식 응답,High,완료,,
52,API,응답 형식,JSON 실패 응답,분석 실패 시 에러 메시지 응답,High,완료,,
53,에러 처리,서버 에러,Haar Cascade 로드 실패,모델 로드 실패 시 에러 로그 및 응답,High,완료,,
54,에러 처리,서버 에러,이미지 처리 오류,이미지 분석 중 예외 처리,High,완료,,
55,에러 처리,클라이언트 에러,파일 형식 오류,잘못된 파일 형식 업로드 시 알림,High,완료,,
56,에러 처리,클라이언트 에러,파일 크기 초과,파일 크기 초과 시 알림,High,완료,,
57,에러 처리,클라이언트 에러,네트워크 오류,서버 통신 실패 시 알림,High,완료,,
58,보안,파일 보안,파일명 보안 처리,secure_filename() 사용,High,완료,,
59,보안,파일 보안,허용 확장자 제한,화이트리스트 기반 확장자 검증,High,완료,,
60,보안,파일 보안,파일 크기 제한,서버 측 MAX_CONTENT_LENGTH 설정,High,완료,,
61,배포,Render,빌드 설정,pip 및 의존성 설치 명령,High,완료,,
62,배포,Render,시작 설정,Gunicorn WSGI 서버 실행,High,완료,,
63,배포,Render,환경 변수,Python 버전 설정,High,완료,,"Python 3.11.0"
64,성능,이미지 처리,메모리 처리,파일을 메모리에서 직접 처리,Medium,완료,,"디스크 I/O 최소화"
65,성능,이미지 처리,이미지 변환,PIL과 OpenCV 간 이미지 형식 변환,Medium,완료,,
66,개선 필요,코드 품질,analysis.py 정리,미사용 analysis.py 파일 제거 또는 통합,Medium,미완료,,"코드 중복 존재"
67,개선 필요,코드 품질,함수 모듈화,코드 구조 개선 및 모듈 분리,Medium,미완료,,
68,개선 필요,모델,딥러닝 모델 적용,dlib/MediaPipe 등 고급 모델 적용,Low,미완료,,"현재 Haar Cascade만 사용"
69,개선 필요,모델,얼굴 랜드마크 검출,68개 얼굴 랜드마크 정밀 검출,Low,미완료,,"shape_predictor 모델 미사용"
70,개선 필요,기능,데이터베이스 추가,분석 결과 저장 및 히스토리 관리,Low,미완료,,
71,개선 필요,기능,사용자 인증,소셜 로그인 및 회원 관리,Low,미완료,,
72,개선 필요,기능,결과 이미지 저장,분석 결과를 이미지로 저장,Low,미완료,,
73,개선 필요,기능,다국어 지원,영어/중국어 등 다국어 UI,Low,미완료,,
74,개선 필요,성능,이미지 리사이징,업로드 이미지 자동 리사이징,Medium,미완료,,"성능 최적화"
75,개선 필요,성능,캐싱 전략,분석 결과 캐싱,Low,미완료,,
76,개선 필요,테스트,단위 테스트,함수별 단위 테스트 작성,Medium,미완료,,
77,개선 필요,테스트,통합 테스트,API 엔드포인트 통합 테스트,Medium,미완료,,
78,개선 필요,모니터링,에러 모니터링,Sentry 등 에러 추적 도구 통합,Low,미완료,,
79,개선 필요,모니터링,성능 모니터링,응답 시간 및 리소스 사용량 모니터링,Low,미완료,,
80,확장 기능,프리미엄,상세 분석,더 정밀한 얼굴 분석 및 해석,Low,미완료,,
81,확장 기능,프리미엄,PDF 리포트,분석 결과 PDF 다운로드,Low,미완료,,
82,확장 기능,커뮤니티,결과 공유 게시판,사용자 간 결과 공유 및 댓글,Low,미완료,,
83,확장 기능,API,외부 API 제공,RESTful API로 외부 서비스 연동,Low,미완료,,
