카테고리,기능명,우선순위,상태,담당자,예상공수(일),설명,기술스택,의존성
사용자관리,회원가입,높음,완료,개발팀,4,사용자 회원가입 시스템,React/Node.js,없음
사용자관리,로그인,높음,완료,개발팀,3,사용자 로그인 인증,JWT/OAuth,회원가입
사용자관리,소셜로그인,높음,완료,개발팀,5,SNS 계정 연동 로그인,Social OAuth,로그인
사용자관리,프로필관리,높음,완료,개발팀,5,사용자 프로필 정보 관리,User Profile/Database,소셜로그인
사용자관리,위시리스트,높음,완료,개발팀,6,사용자 위시리스트 관리,Wishlist System,프로필관리
상품관리,상품등록,높음,완료,개발팀,6,선물 상품 등록,Product Registration,사용자관리
상품관리,상품조회,높음,완료,개발팀,4,상품 상세 정보 조회,Product View,상품등록
상품관리,상품검색,높음,완료,개발팀,6,상품 검색 기능,Product Search/Elasticsearch,상품조회
상품관리,상품필터,높음,완료,개발팀,5,가격/카테고리별 필터,Product Filter,상품검색
상품관리,상품추천,중간,완료,개발팀,8,개인화된 상품 추천,ML/Recommendation,상품필터
카테고리관리,카테고리생성,중간,완료,개발팀,4,상품 카테고리 생성,Category Management,상품관리
카테고리관리,카테고리편집,중간,완료,개발팀,3,카테고리 수정/삭제,Category Edit,카테고리생성
카테고리관리,카테고리트리,중간,완료,개발팀,5,계층형 카테고리 구조,Category Tree,카테고리편집
카테고리관리,인기카테고리,낮음,완료,개발팀,4,인기 카테고리 표시,Popular Category,카테고리트리
카테고리관리,카테고리검색,낮음,완료,개발팀,4,카테고리별 상품 검색,Category Search,인기카테고리
선물기능,선물보내기,높음,완료,개발팀,8,선물 발송 기능,Gift Send,상품관리
선물기능,선물받기,높음,완료,개발팀,6,선물 수령 기능,Gift Receive,선물보내기
선물기능,선물메시지,높음,완료,개발팀,5,선물과 함께 메시지 전송,Gift Message,선물받기
선물기능,예약선물,중간,완료,개발팀,6,예약 발송 기능,Scheduled Gift,선물메시지
선물기능,그룹선물,중간,완료,개발팀,8,여러 명이 함께 선물,Group Gift,예약선물
결제시스템,결제처리,높음,완료,개발팀,8,결제 처리 시스템,Payment Gateway,선물기능
결제시스템,결제수단,높음,완료,개발팀,6,다양한 결제 수단 지원,Payment Methods,결제처리
결제시스템,결제내역,높음,완료,개발팀,4,결제 내역 조회,Payment History,결제수단
결제시스템,환불처리,중간,완료,개발팀,6,결제 취소/환불 처리,Refund Processing,결제내역
결제시스템,할인쿠폰,중간,완료,개발팀,6,할인 쿠폰 시스템,Coupon System,환불처리
배송관리,배송정보,높음,완료,개발팀,5,배송지 정보 관리,Shipping Info,결제시스템
배송관리,배송추적,높음,완료,개발팀,6,배송 상태 추적,Delivery Tracking,배송정보
배송관리,배송업체연동,중간,완료,개발팀,8,택배업체 API 연동,Courier API,배송추적
배송관리,배송알림,중간,완료,개발팀,4,배송 상태 알림,Delivery Notification,배송업체연동
배송관리,배송옵션,중간,완료,개발팀,5,배송 옵션 선택,Delivery Options,배송알림
