카테고리,기능ID,기능명,상세설명,우선순위,상태,담당모듈,관련API,비고
사용자인증,AUTH-001,회원가입,사용자명/비밀번호/닉네임/지갑주소로 회원가입,높음,구현완료,Authentication,POST /auth/register,bcrypt 해싱 적용
사용자인증,AUTH-002,로그인,JWT 토큰 기반 로그인,높음,구현완료,Authentication,POST /auth/login,토큰 유효기간 1일
사용자인증,AUTH-003,토큰 인증,보호된 API 접근 시 JWT 검증,높음,구현완료,Middleware,authenticateToken,Bearer 토큰 방식
사용자인증,AUTH-004,계정 활성화,첫 입금 시 PENDING → ACTIVE 전환,중간,구현완료,Event Listener,USDT Transfer Event,자동 활성화
잔액관리,BAL-001,잔액 조회,사용자 USDT 잔액 조회,높음,구현완료,Balance,GET /balance/:address,실시간 조회
잔액관리,BAL-002,입금 처리,블록체인 Transfer 이벤트 감지 및 잔액 증가,높음,구현완료,Event Listener,USDT Transfer Event,자동 처리
잔액관리,BAL-003,출금 요청,사용자 출금 요청 생성,높음,구현완료,Withdrawal,POST /withdrawals/request,잔액 즉시 차감
잔액관리,BAL-004,출금 승인,관리자 출금 승인 및 온체인 전송,높음,구현완료,Withdrawal,POST /admin/withdrawals/approve,Vault 컨트랙트 호출
잔액관리,BAL-005,출금 목록,모든 출금 요청 조회,중간,구현완료,Withdrawal,GET /admin/withdrawals,상태별 정렬
잔액관리,BAL-006,거래내역,사용자별 모든 거래 내역 조회,중간,구현완료,Transaction,GET /transactions/:address,시간순 정렬
복권게임,LOT-001,게임룸 조회,4개 티켓 가격대별 룸 목록,높음,구현완료,Lottery,GET /rooms,1/10/50/100 USDT
복권게임,LOT-002,룸 상태 조회,각 룸의 현재 참가자 수,높음,구현완료,Lottery,GET /rooms/status,실시간 업데이트
복권게임,LOT-003,복권 상태 조회,특정 룸의 상세 상태 및 로그,높음,구현완료,Lottery,GET /lottery-status/:roomId,플레이어/로그 포함
복권게임,LOT-004,게임 참가,티켓 구매로 게임 참가,높음,구현완료,Lottery,POST /participate/:roomId,잔액 차감 및 참가 기록
복권게임,LOT-005,글로벌 라운드 생성,1시간 단위 글로벌 라운드 자동 생성,높음,구현완료,Round Management,createNewGlobalRound(),서버 시작 시 체크
복권게임,LOT-006,자동 추첨,마감 시간 도달 시 전체 룸 자동 추첨,높음,구현완료,Draw System,autoStartDrawAll(),만료 라운드 감지
복권게임,LOT-007,당첨자 선정,랜덤 알고리즘으로 당첨자 결정,높음,구현완료,Draw System,Math.random(),균등 확률
복권게임,LOT-008,룰렛 애니메이션,100회 스핀 로그 생성,중간,구현완료,Draw System,logs 테이블,시각적 효과
복권게임,LOT-009,배당금 지급,상금 풀의 98% 당첨자에게 지급,높음,구현완료,Draw System,user_balances 업데이트,2% 수수료
복권게임,LOT-010,라운드 종료,7초 후 DRAWING → CLOSED 전환,중간,구현완료,Round Management,setTimeout(),자동 처리
복권게임,LOT-011,다음 라운드 시작,모든 룸 종료 시 새 라운드 자동 생성,높음,구현완료,Round Management,autoOpenNextRound(),10초 후 실행
복권게임,LOT-012,수동 추첨,관리자 수동 추첨 트리거,낮음,구현완료,Admin,POST /start-draw-all,테스트/긴급용
