대분류,중분류,소분류,기능ID,기능명,기능설명,우선순위,사용자역할,입력,출력,비고
인증,로그인,기본로그인,AUTH-001,사용자 로그인,이메일과 비밀번호를 통한 로그인 기능,높음,"user,leader,admin","이메일, 비밀번호","인증 토큰, 사용자 정보",토큰 기반 인증
인증,로그인,자동로그인,AUTH-002,자동 로그인 유지,토큰을 통한 자동 로그인 상태 유지,높음,"user,leader,admin",저장된 토큰,로그인 상태 유지,Redux Persist 사용
인증,로그아웃,로그아웃,AUTH-003,로그아웃,사용자 로그아웃 및 토큰 삭제,높음,"user,leader,admin",로그아웃 요청,로그인 페이지 리다이렉트,
인증,회원가입,개인회원가입,AUTH-004,개인 회원가입,개인 사용자 회원가입,높음,guest,"이름, 이메일, 비밀번호, 소속",회원가입 완료,
인증,회원가입,회사등록,AUTH-005,회사 등록,새로운 회사 등록 및 관리자 계정 생성,높음,guest,"회사명, 관리자 정보, 회사 정보",회사 및 관리자 계정 생성,
인증,비밀번호,비밀번호찾기,AUTH-006,비밀번호 찾기,이메일을 통한 비밀번호 재설정 링크 발송,중간,guest,이메일,재설정 링크 이메일 발송,
인증,비밀번호,비밀번호재설정,AUTH-007,비밀번호 재설정,토큰을 통한 비밀번호 재설정,중간,guest,"재설정 토큰, 새 비밀번호",비밀번호 변경 완료,
인증,권한관리,역할기반접근제어,AUTH-008,역할 기반 접근 제어,사용자 역할에 따른 페이지 접근 권한 제어,높음,"user,leader,admin",사용자 역할,접근 가능한 페이지 목록,"user, leader, admin 역할"
연차관리,연차신청,연차신청,ANNUAL-001,연차 신청,전일 연차 신청,높음,"user,leader",날짜 선택,연차 신청 완료,
연차관리,연차신청,월차신청,ANNUAL-002,월차 신청,월차 신청,중간,"user,leader",날짜 선택,월차 신청 완료,
연차관리,연차신청,오전반차신청,ANNUAL-003,오전 반차 신청,오전 반차 신청,높음,"user,leader",날짜 선택,오전 반차 신청 완료,
연차관리,연차신청,오후반차신청,ANNUAL-004,오후 반차 신청,오후 반차 신청,높음,"user,leader",날짜 선택,오후 반차 신청 완료,
연차관리,연차신청,경조사신청,ANNUAL-005,경조사 휴가 신청,경조사 휴가 신청,중간,"user,leader","날짜 선택, 경조사 사유",경조사 휴가 신청 완료,
연차관리,연차신청,병가신청,ANNUAL-006,병가 신청,병가 신청,중간,"user,leader","날짜 선택, 병가 사유",병가 신청 완료,
연차관리,연차신청,기타휴가신청,ANNUAL-007,기타 휴가 신청,기타 사유 휴가 신청,낮음,"user,leader","날짜 선택, 사유",기타 휴가 신청 완료,
연차관리,연차신청,파일첨부,ANNUAL-008,신청서 파일 첨부,연차 신청 시 증빙 파일 첨부,중간,"user,leader",파일 업로드,파일 첨부 완료,FilePond 사용
연차관리,연차승인,연차승인,ANNUAL-009,연차 승인,팀장/관리자의 연차 승인,높음,"leader,admin",신청 내역 선택,승인 완료,1차 승인 상태로 변경
