카테고리,기능ID,기능명,상세설명,우선순위,현재상태,담당영역,기술스택,비고
랜딩페이지,LP-001,헤더 네비게이션,5개 섹션으로 이동하는 네비게이션 메뉴 (HOME/ABOUT/HOW TO GET/TOKENOMICS/ROADMAP),High,완료,Frontend,"React, Tailwind CSS",스무스 스크롤 구현
랜딩페이지,LP-002,반응형 레이아웃,PC와 모바일 환경에 최적화된 레이아웃 제공,High,완료,Frontend,Tailwind CSS,640px 브레이크포인트
랜딩페이지,LP-003,Section 1 - HOME,브랜드 로고와 메인 비주얼 표시,High,완료,Frontend,"React, Next.js Image",배경 애니메이션 포함
랜딩페이지,LP-004,Section 2 - ABOUT,Fire Chicken 코인 소개 및 스토리,High,완료,Frontend,React,브랜드 정보 전달
랜딩페이지,LP-005,Section 3 - HOW TO GET,토큰 구매 방법 안내 및 Raydium 연동,High,완료,Frontend,"React, External Link",Raydium DEX 바로가기
랜딩페이지,LP-006,Section 4 - TOKENOMICS,토큰 경제학 및 분배 정보 표시,High,완료,Frontend,React,토큰 분배 차트
랜딩페이지,LP-007,Section 5 - ROADMAP,프로젝트 로드맵 타임라인 표시,High,완료,Frontend,React,마일스톤 시각화
랜딩페이지,LP-008,스냅 스크롤,섹션별 전체 화면 스냅 스크롤 기능,Medium,완료,Frontend,CSS Snap Scroll,PC 버전만 적용
랜딩페이지,LP-009,커스텀 애니메이션,10가지 Tailwind 커스텀 애니메이션 (fadeIn/grow/flyOut/shake 등),Medium,완료,Frontend,Tailwind CSS,tailwind.config.ts 정의
랜딩페이지,LP-010,호버 효과,네비게이션 및 버튼 호버 시 스케일 변환,Low,완료,Frontend,Tailwind CSS,UX 개선
랜딩페이지,LP-011,모바일 통합 섹션,모바일 전용 단일 스크롤 페이지,High,완료,Frontend,React,SectionMobile 컴포넌트
랜딩페이지,LP-012,브랜드 이미지 최적화,WebP 포맷 및 적절한 크기의 이미지 제공,Medium,완료,Frontend,Next.js Image,성능 최적화
랜딩페이지,LP-013,배경 비디오 애니메이션,섹션별 WebM 포맷 배경 비디오,Low,완료,Frontend,HTML5 Video,시각적 효과
지갑연동,WL-001,Phantom 지갑 연결,Phantom 지갑 Provider를 통한 지갑 연결,High,완료,Blockchain,@phantom/wallet-sdk,멀티센드 필수 기능
지갑연동,WL-002,지갑 연결 상태 관리,연결된 지갑의 공개키 상태 관리,High,완료,Blockchain,"React Hooks, @solana/web3.js",useState로 관리
지갑연동,WL-003,지갑 연결 해제,사용자 요청 시 지갑 연결 해제,Medium,완료,Blockchain,@phantom/wallet-sdk,disconnect 함수
