대분류,중분류,기능명,기능 설명,우선순위,상태,API 엔드포인트,HTTP 메서드,비고
인증/권한,로그인,사용자 로그인,사용자 ID와 비밀번호로 로그인하여 JWT 토큰 발급,높음,구현완료,/auth/login,POST,RS256 알고리즘 사용
인증/권한,비밀번호 찾기,비밀번호 재설정 요청,이메일로 비밀번호 재설정 링크 발송,높음,구현완료,/auth/forgot_password,GET,UUID 토큰 15분 유효
인증/권한,토큰 검증,액세스 토큰 유효성 확인,비밀번호 재설정 토큰의 유효성 검증,높음,구현완료,/auth/valid-token,GET,만료 여부 확인
인증/권한,비밀번호 재설정,새 비밀번호 설정,토큰을 사용하여 비밀번호 변경,높음,구현완료,/auth/reset-password,POST,bcrypt 해싱
인증/권한,Bearer 인증,API 접근 권한 확인,모든 API 요청에 대한 토큰 기반 인증,높음,구현완료,-,ALL,Passport.js 사용
인증/권한,권한 관리,역할 기반 접근 제어,관리자/팀장/부서장 권한 분리,높음,구현완료,-,-,is_admin/team_leader/part_leader
사용자 관리,사용자 등록,신규 사용자 생성,사용자 정보 입력 및 조직 배치,높음,구현완료,/auth/,POST,팀/부서/회사 연결
사용자 관리,사용자 정보 수정,사용자 정보 업데이트,사용자 프로필 및 정보 변경,높음,구현완료,/auth/:id,PUT,-
사용자 관리,사용자 조회,사용자 정보 조회,사용자 목록 및 상세 정보 조회,높음,구현완료,/user/*,GET,-
사용자 관리,사용자 차단,퇴사자 계정 차단,차단된 사용자 로그인 방지,중간,구현완료,-,-,blocked 필드 사용
연차 관리,연차 계산,자동 연차 계산,입사일 기준 연차 자동 계산,높음,구현완료,-,-,입사 1년 미만: 월별 부여
연차 관리,연차 신청,연차 사용 신청,직원의 연차 사용 신청 및 승인,높음,구현완료,/annual/*,POST,-
연차 관리,연차 조회,연차 현황 조회,사용/잔여 연차 조회,높음,구현완료,/annual/*,GET,-
연차 관리,연차 수정,연차 정보 수정,연차 신청 내역 수정,중간,구현완료,/annual/*,PUT,-
연차 관리,연차 삭제,연차 신청 취소,연차 신청 취소 및 삭제,중간,구현완료,/annual/*,DELETE,-
연차 관리,보상 연차,보상 연차 관리,추가 보상 연차 부여 및 관리,중간,구현완료,-,-,Reward 모델 사용
연차 관리,연차 통지서,연차 통지서 발송,미사용 연차 및 사용 시기 지정 통지서 자동 발송,높음,구현완료,/auth/test_batch,GET,HTML 템플릿 사용
연차 관리,배치 작업,연차 배치 처리,정기적인 연차 계산 및 통지,높음,구현완료,/auth/batch,GET,node-schedule 사용
조직 관리,회사 관리,회사 정보 관리,회사 등록 및 정보 관리,중간,구현완료,/auth/register_company,POST,로고 파일 업로드 지원
조직 관리,부서 관리,부서 CRUD,부서 생성/조회/수정/삭제,중간,구현완료,/department/*,ALL,-
조직 관리,팀 관리,팀 CRUD,팀 생성/조회/수정/삭제,중간,구현완료,/team/*,ALL,-
조직 관리,조직도,조직 계층 구조,회사-부서-팀-사용자 계층 관리,중간,구현완료,-,-,Sequelize 관계 설정
회의실 예약,회의실 등록,회의실 정보 등록,회의실 생성 및 정보 관리,중간,구현완료,/meetingRoom/*,POST,-
회의실 예약,회의실 조회,회의실 목록 조회,전체 회의실 목록 및 상세 정보,중간,구현완료,/meetingRoom/*,GET,-
회의실 예약,예약 생성,회의실 예약,회의실 예약 신청,높음,구현완료,/meetingRoom/*,POST,시간 중복 체크
회의실 예약,예약 조회,예약 현황 조회,회의실 예약 내역 조회,높음,구현완료,/meetingRoom/*,GET,-
회의실 예약,예약 수정,예약 정보 수정,예약 시간 및 정보 변경,중간,구현완료,/meetingRoom/*,PUT,-
회의실 예약,예약 취소,예약 삭제,회의실 예약 취소,중간,구현완료,/meetingRoom/*,DELETE,-
요가 예약,요가 클래스 관리,요가 클래스 등록,요가 클래스 스케줄 등록,중간,구현완료,/yoga/*,POST,-
요가 예약,요가 조회,요가 클래스 조회,요가 클래스 목록 및 스케줄 조회,중간,구현완료,/yoga/*,GET,-
요가 예약,요가 예약,요가 클래스 예약,직원의 요가 클래스 예약,중간,구현완료,/yoga/*,POST,-
요가 예약,예약 조회,요가 예약 현황,요가 예약 내역 조회,중간,구현완료,/yoga/*,GET,-
요가 예약,예약 취소,요가 예약 취소,요가 예약 삭제,중간,구현완료,/yoga/*,DELETE,-
요가 예약,자동 스케줄링,요가 스케줄 자동화,요가 클래스 자동 스케줄링,낮음,구현완료,-,-,yoga.js 유틸리티
경비 관리,경비 신청,경비 사용 신청,경비 사용 내역 등록 및 신청,높음,구현완료,/expenses/*,POST,파일 첨부 가능
경비 관리,경비 조회,경비 내역 조회,경비 사용 내역 조회,높음,구현완료,/expenses/*,GET,-
경비 관리,경비 수정,경비 정보 수정,경비 신청 내역 수정,중간,구현완료,/expenses/*,PUT,-
경비 관리,경비 삭제,경비 신청 취소,경비 신청 삭제,중간,구현완료,/expenses/*,DELETE,-
경비 관리,경비 승인,경비 승인 처리,관리자의 경비 승인/반려,높음,구현완료,/expenses/*,PUT,권한 체크 필요
경비 관리,증빙 파일,증빙 서류 첨부,영수증 등 증빙 파일 업로드,중간,구현완료,-,-,Multer 사용
파일 관리,파일 업로드,파일 업로드,이미지 및 문서 파일 업로드,중간,구현완료,/uploads/*,POST,Multer 미들웨어
파일 관리,파일 저장,파일 저장 관리,업로드된 파일 저장 및 관리,중간,구현완료,-,-,/public/uploads/ 경로
파일 관리,파일 조회,파일 다운로드,업로드된 파일 조회 및 다운로드,중간,구현완료,/uploads/*,GET,정적 파일 서빙
파일 관리,MIME 타입 검증,파일 형식 검증,업로드 파일의 MIME 타입 확인,중간,구현완료,-,-,mime-types 라이브러리
이메일,이메일 발송,이메일 전송,시스템 이메일 발송,높음,구현완료,-,-,nodemailer 사용
이메일,HTML 템플릿,HTML 이메일,HTML 형식의 이메일 발송,중간,구현완료,-,-,템플릿 바인딩
이메일,연차 통지서 발송,연차 통지서 이메일,연차 통지서 자동 이메일 발송,높음,구현완료,-,-,배치 작업 연동
이메일,비밀번호 재설정 링크,재설정 링크 발송,비밀번호 재설정 링크 이메일 발송,높음,구현완료,-,-,UUID 토큰 포함
설정,시스템 설정,시스템 설정 관리,시스템 전반 설정 관리,중간,구현완료,/setting/*,ALL,-
설정,환경 변수,환경 설정,개발/프로덕션 환경 설정,높음,구현완료,-,-,ecosystem.config.js
API,공통 API,기타 API,범용 API 엔드포인트,낮음,구현완료,/api/*,ALL,-
보안,CORS,CORS 설정,Cross-Origin Resource Sharing 설정,높음,구현완료,-,-,cors 미들웨어
보안,RSA 암호화,RSA 키 관리,JWT 서명용 RSA 키 쌍 관리,높음,구현완료,-,-,private.key/public.key
보안,비밀번호 해싱,비밀번호 암호화,bcrypt를 통한 비밀번호 해싱,높음,구현완료,-,-,bcrypt 라이브러리
보안,토큰 만료,JWT 만료 관리,토큰 만료 시간 설정 (1일),높음,구현완료,-,-,expiresIn: '1d'
배포,PM2 관리,프로세스 관리,PM2를 통한 프로세스 관리,높음,구현완료,-,-,ecosystem.config.js
배포,자동 배포,CI/CD 파이프라인,GitLab CI/CD 자동 배포,높음,구현완료,-,-,.gitlab-ci.yml
배포,파일 감시,자동 재시작,파일 변경 시 자동 재시작,중간,구현완료,-,-,PM2 watch 모드
배포,로깅,애플리케이션 로깅,Morgan을 통한 HTTP 로깅,중간,구현완료,-,-,morgan 미들웨어
스케줄링,배치 작업,정기 작업 실행,스케줄 기반 배치 작업,높음,구현완료,-,-,node-schedule
스케줄링,연차 배치,연차 자동 처리,연차 계산 및 통지 자동화,높음,구현완료,-,-,schedule.js
스케줄링,요가 배치,요가 스케줄 자동화,요가 클래스 자동 스케줄링,중간,구현완료,-,-,yoga.js
데이터베이스,ORM,Sequelize ORM,데이터베이스 ORM 관리,높음,구현완료,-,-,Sequelize 6.31.1
데이터베이스,마이그레이션,DB 마이그레이션,데이터베이스 스키마 관리,중간,구현완료,-,-,Sequelize CLI
데이터베이스,관계 설정,모델 관계,모델 간 관계 설정 (1:N, N:M),높음,구현완료,-,-,associate 메서드
데이터베이스,트랜잭션,트랜잭션 관리,데이터 일관성 보장,중간,구현완료,-,-,Sequelize 트랜잭션
유틸리티,공통 함수,공통 유틸리티,재사용 가능한 공통 함수,중간,구현완료,-,-,common.js
유틸리티,날짜 처리,날짜/시간 처리,Moment.js를 통한 날짜 처리,높음,구현완료,-,-,moment 라이브러리
유틸리티,UUID 생성,고유 ID 생성,UUID v4 생성,중간,구현완료,-,-,uuid 라이브러리
유틸리티,동적 라우팅,자동 라우트 로딩,routes 폴더 파일 자동 로드,중간,구임완료,-,-,glob 라이브러리
