카테고리,프로젝트명,기능ID,기능명,상세설명,우선순위,상태,담당자,예상공수(일),시작일,완료일,의존성,비고
핵심인프라,saseulgold-network,A-1-1,블록 생성 및 검증,SASEUL Gold 블록체인의 블록 생성과 검증 기능,높음,계획,개발팀,30,2025-02-01,2025-03-03,,
핵심인프라,saseulgold-network,A-1-2,트랜잭션 처리,트랜잭션 검증 및 처리 시스템,높음,계획,개발팀,25,2025-02-01,2025-02-26,,
핵심인프라,saseulgold-network,A-1-3,네트워크 동기화,노드 간 데이터 동기화 메커니즘,높음,계획,개발팀,20,2025-02-15,2025-03-07,A-1-1,
핵심인프라,saseulgold-network,A-1-4,합의 알고리즘 실행,분산 합의 알고리즘 구현,높음,계획,개발팀,35,2025-02-01,2025-03-08,,
핵심인프라,qt-mainnet,A-2-1,양자 저항 암호화,양자 컴퓨팅 공격에 대한 저항성,높음,계획,보안팀,40,2025-02-15,2025-03-26,,
핵심인프라,qt-mainnet,A-2-2,스마트 컨트랙트 실행,Quantum 블록체인 스마트 컨트랙트 엔진,높음,계획,개발팀,45,2025-03-01,2025-04-15,,
핵심인프라,qt-mainnet,A-2-3,크로스체인 브릿지,다른 블록체인과의 연결 기능,중간,계획,개발팀,60,2025-04-01,2025-05-30,A-2-2,
익스플로러,saseul-gold-explorer,B-1-1,블록 정보 조회,블록 데이터 검색 및 상세 조회,높음,계획,프론트엔드팀,15,2025-03-01,2025-03-16,A-1-1,
익스플로러,saseul-gold-explorer,B-1-2,트랜잭션 검색,트랜잭션 해시로 거래 내역 검색,높음,계획,프론트엔드팀,12,2025-03-01,2025-03-13,A-1-2,
익스플로러,saseul-gold-explorer,B-1-3,주소별 잔액 조회,지갑 주소의 잔액 및 거래 내역,높음,계획,프론트엔드팀,18,2025-03-10,2025-03-28,B-1-2,
익스플로러,saseul-gold-explorer,B-1-4,네트워크 통계,실시간 네트워크 상태 대시보드,중간,계획,프론트엔드팀,20,2025-03-15,2025-04-04,B-1-1,
익스플로러,saseul-gold-explorer,B-1-5,실시간 모니터링,실시간 트랜잭션 및 블록 모니터링,중간,계획,프론트엔드팀,25,2025-03-20,2025-04-14,B-1-4,
익스플로러,qcc-explorer,B-2-1,스마트 컨트랙트 조회,컨트랙트 상태 및 이벤트 조회,높음,계획,프론트엔드팀,22,2025-04-01,2025-04-23,A-2-2,
익스플로러,qcc-explorer,B-2-2,토큰 전송 추적,토큰 이동 경로 및 내역 추적,높음,계획,프론트엔드팀,18,2025-04-10,2025-04-28,B-2-1,
익스플로러,qcc-explorer,B-2-3,검증자 노드 정보,네트워크 검증자 상태 및 성능,중간,계획,프론트엔드팀,15,2025-04-15,2025-04-30,A-2-1,
지갑,sasuel-wallet,C-1-1,지갑 생성 및 복구,니모닉 기반 지갑 생성/복구 기능,높음,계획,모바일팀,20,2025-03-15,2025-04-04,,
지갑,sasuel-wallet,C-1-2,다중 계정 관리,여러 계정 동시 관리 기능,높음,계획,모바일팀,15,2025-04-01,2025-04-16,C-1-1,
지갑,sasuel-wallet,C-1-3,토큰 전송 및 수신,암호화폐 송금 및 수신 기능,높음,계획,모바일팀,25,2025-04-05,2025-04-30,C-1-2,
지갑,sasuel-wallet,C-1-4,거래 내역 조회,과거 거래 기록 조회 및 필터링,중간,계획,모바일팀,12,2025-04-20,2025-05-02,C-1-3,
지갑,sasuel-wallet,C-1-5,QR 코드 스캔,QR 코드를 통한 주소 입력,중간,계획,모바일팀,8,2025-04-25,2025-05-03,C-1-3,
지갑,wallet-web,C-2-1,MetaMask 연동,MetaMask 지갑 연결 기능,높음,계획,웹팀,10,2025-04-01,2025-04-11,,
지갑,wallet-web,C-2-2,WalletConnect 지원,다양한 지갑 연결 프로토콜,높음,계획,웹팀,15,2025-04-10,2025-04-25,C-2-1,
지갑,wallet-web,C-2-3,DApp 브라우저,분산 앱 브라우저 기능,중간,계획,웹팀,30,2025-04-20,2025-05-20,C-2-2,
지갑,wallet-web,C-2-4,스테이킹 기능,토큰 스테이킹 및 보상 관리,중간,계획,웹팀,25,2025-05-01,2025-05-26,C-2-3,
DeFi,saseul-gold-swap,D-1-1,토큰 페어 생성,새로운 토큰 쌍 생성 및 관리,높음,계획,DeFi팀,20,2025-05-01,2025-05-21,,
DeFi,saseul-gold-swap,D-1-2,유동성 공급,유동성 풀에 토큰 공급 기능,높음,계획,DeFi팀,18,2025-05-10,2025-05-28,D-1-1,
DeFi,saseul-gold-swap,D-1-3,스왑 실행,토큰 간 교환 기능,높음,계획,DeFi팀,22,2025-05-15,2025-06-06,D-1-2,
DeFi,saseul-gold-swap,D-1-4,수수료 분배,거래 수수료 분배 시스템,중간,계획,DeFi팀,15,2025-05-25,2025-06-09,D-1-3,
DeFi,saseul-gold-swap,D-1-5,슬리피지 보호,가격 변동 보호 메커니즘,중간,계획,DeFi팀,12,2025-06-01,2025-06-13,D-1-3,
DeFi,arrangement-transactions,D-2-1,트랜잭션 순서 최적화,MEV 방지를 위한 거래 순서 조정,높음,계획,DeFi팀,25,2025-06-01,2025-06-26,,
DeFi,arrangement-transactions,D-2-2,가스비 예측,최적 가스비 예측 알고리즘,중간,계획,DeFi팀,20,2025-06-10,2025-06-30,D-2-1,
DeFi,arrangement-transactions,D-2-3,프론트러닝 방지,선행 거래 방지 메커니즘,높음,계획,DeFi팀,30,2025-06-15,2025-07-15,D-2-1,
개발도구,qt-cli,E-1-1,지갑 관리 명령어,CLI를 통한 지갑 생성/관리,중간,계획,개발팀,15,2025-03-01,2025-03-16,,
개발도구,qt-cli,E-1-2,트랜잭션 생성,명령줄에서 트랜잭션 생성/전송,중간,계획,개발팀,18,2025-03-10,2025-03-28,E-1-1,
개발도구,qt-cli,E-1-3,스마트 컨트랙트 배포,CLI를 통한 컨트랙트 배포,중간,계획,개발팀,20,2025-03-20,2025-04-09,E-1-2,
개발도구,qt_backend,E-2-1,RESTful API,블록체인 데이터 REST API,높음,계획,백엔드팀,25,2025-02-15,2025-03-12,,
개발도구,qt_backend,E-2-2,WebSocket 실시간,실시간 데이터 스트리밍,중간,계획,백엔드팀,20,2025-03-01,2025-03-21,E-2-1,
개발도구,qt_backend,E-2-3,인증 및 권한,API 접근 제어 시스템,높음,계획,백엔드팀,18,2025-03-10,2025-03-28,E-2-1,
웹사이트,maxpia_website,F-1-1,프로젝트 소개,프로젝트 개요 및 비전 소개,높음,계획,마케팅팀,10,2025-02-01,2025-02-11,,
웹사이트,maxpia_website,F-1-2,팀 소개,팀원 및 어드바이저 소개,중간,계획,마케팅팀,8,2025-02-10,2025-02-18,F-1-1,
웹사이트,maxpia_website,F-1-3,뉴스 및 공지,최신 소식 및 공지사항,중간,계획,마케팅팀,12,2025-02-15,2025-02-27,F-1-1,
웹사이트,quantum-landing-page,F-2-1,기술 특징 소개,Quantum 기술의 차별점,높음,계획,마케팅팀,12,2025-03-01,2025-03-13,,
웹사이트,quantum-landing-page,F-2-2,토큰 이코노미,토큰 경제 모델 설명,높음,계획,마케팅팀,10,2025-03-10,2025-03-20,F-2-1,
웹사이트,quantum-landing-page,F-2-3,로드맵,개발 로드맵 및 마일스톤,중간,계획,마케팅팀,8,2025-03-15,2025-03-23,F-2-2,
