카테고리,기능ID,기능명,상세설명,우선순위,구현상태,담당영역,기술스택,비고
사용자인증,AUTH-001,지갑 연결 - 키 파일,QCC 키 파일(.qcc)을 업로드하여 지갑 연결,높음,완료,Frontend,React + TweetNaCl,파일 업로드 UI 구현
사용자인증,AUTH-002,지갑 연결 - 복구 구문,12단어 니모닉 구문으로 지갑 복구 및 연결,높음,완료,Frontend,BIP39 + React,니모닉 검증 로직 포함
사용자인증,AUTH-003,지갑 잔액 조회,연결된 지갑의 QCC 잔액 실시간 조회,높음,완료,Frontend + Blockchain,Axios + Quantum Chain API,블록체인 API 연동
사용자인증,AUTH-004,지갑 연결 상태 관리,지갑 연결 상태를 전역으로 관리,높음,완료,Frontend,Jotai,Context API 대신 Jotai 사용
사용자인증,AUTH-005,지갑 사이드바,연결된 지갑 정보 표시 사이드바,중간,완료,Frontend,React + Tailwind CSS,주소/잔액/연결 해제 버튼
스테이킹신청,STAKE-001,스테이킹 기간 선택,30일/90일/180일/365일 중 선택,높음,완료,Frontend,React Hook Form,라디오 버튼 UI
스테이킹신청,STAKE-002,스테이킹 금액 입력,스테이킹할 QCC 수량 입력 및 검증,높음,완료,Frontend,React Hook Form,최소/최대 금액 검증
스테이킹신청,STAKE-003,예상 수익 계산,선택한 기간과 금액으로 예상 수익 실시간 계산,높음,완료,Frontend,Decimal.js,정밀 계산 라이브러리 사용
스테이킹신청,STAKE-004,이자율 자동 표시,선택한 기간의 APY 자동 표시,중간,완료,Frontend,React State,API에서 이자율 가져오기
스테이킹신청,STAKE-005,스테이킹 지갑 주소 표시,스테이킹 지갑 주소 표시 및 복사 기능,높음,완료,Frontend,React + Clipboard API,복사 버튼 포함
스테이킹신청,STAKE-006,QR 코드 생성,스테이킹 지갑 주소 QR 코드 생성,중간,완료,Frontend,qrcode.react,모바일 전송 편의성
스테이킹신청,STAKE-007,블록체인 트랜잭션 전송,QCC를 스테이킹 지갑으로 전송,높음,완료,Frontend + Blockchain,TweetNaCl + Quantum Chain,서명 및 전송 로직
스테이킹신청,STAKE-008,트랜잭션 해시 저장,전송 완료 후 트랜잭션 해시 저장,높음,완료,Frontend + Backend,Axios,DB에 해시 저장
스테이킹신청,STAKE-009,스테이킹 신청 완료 알림,신청 완료 시 사용자 친화적 알림 표시,중간,완료,Frontend,React Hot Toast,커스텀 토스트 UI
스테이킹신청,STAKE-010,입력 유효성 검증,모든 입력값에 대한 유효성 검증,높음,완료,Frontend,React Hook Form,실시간 에러 메시지
대시보드,DASH-001,스테이킹 현황 카드,총 스테이킹 금액/수익/활성 개수 표시,높음,완료,Frontend,React + Recharts,통계 카드 UI
대시보드,DASH-002,스테이킹 목록 테이블,사용자의 모든 스테이킹 내역 테이블,높음,완료,Frontend,React Table,정렬/필터링 기능
대시보드,DASH-003,상태별 필터링,대기중/진행중/완료 상태별 필터,중간,완료,Frontend,React State,탭 UI로 구현
대시보드,DASH-004,진행률 표시,각 스테이킹의 진행률 시각화,중간,완료,Frontend,Progress Bar,날짜 기반 계산
대시보드,DASH-005,차트 시각화,스테이킹 데이터 차트로 시각화,낮음,완료,Frontend,Recharts,파이/바 차트
대시보드,DASH-006,실시간 데이터 갱신,스테이킹 데이터 자동 갱신,중간,완료,Frontend,React Query,폴링 또는 수동 갱신
이자율정보,RATE-001,기간별 이자율 표시,모든 스테이킹 기간의 APY 표시,높음,완료,Frontend,React,카드 형태 UI
이자율정보,RATE-002,수익 계산기,금액과 기간 입력 시 예상 수익 계산,중간,완료,Frontend,Decimal.js,인터랙티브 계산기
이자율정보,RATE-003,스테이킹 가이드,스테이킹 방법 및 주의사항 안내,낮음,완료,Frontend,Markdown,정적 콘텐츠
관리자인증,ADMIN-001,관리자 로그인,비밀번호 기반 관리자 로그인,높음,완료,Backend,bcrypt + JWT,세션 관리
관리자인증,ADMIN-002,관리자 세션 관리,JWT 토큰 기반 세션 유지,높음,완료,Backend,jsonwebtoken,토큰 검증 미들웨어
관리자인증,ADMIN-003,비밀번호 변경,관리자 비밀번호 변경 기능,중간,완료,Backend,bcrypt,현재 비밀번호 확인
관리자인증,ADMIN-004,로그아웃,관리자 로그아웃 및 세션 종료,중간,완료,Frontend + Backend,JWT,토큰 무효화
관리자대시보드,ADMIN-005,전체 스테이킹 목록,모든 사용자의 스테이킹 내역 조회,높음,완료,Backend,SQLite,페이징 처리
관리자대시보드,ADMIN-006,스테이킹 상태 업데이트,스테이킹 상태 수동 변경,높음,완료,Backend,SQLite,관리자 권한 필요
관리자대시보드,ADMIN-007,이자율 설정,기간별 이자율 조정,높음,완료,Backend,SQLite,실시간 반영
관리자대시보드,ADMIN-008,통계 대시보드,전체 스테이킹 통계 표시,중간,완료,Frontend + Backend,React + Express,총액/사용자 수 등
관리자대시보드,ADMIN-009,스테이킹 검색,지갑 주소/날짜로 스테이킹 검색,중간,완료,Backend,SQLite,LIKE 쿼리
관리자대시보드,ADMIN-010,스테이킹 삭제,특정 스테이킹 삭제 (관리자),낮음,완료,Backend,SQLite,소프트 삭제 권장
대량전송,BULK-001,CSV 파일 업로드,대량 전송용 CSV 파일 업로드,높음,완료,Frontend,PapaParse,파일 검증
대량전송,BULK-002,CSV 파싱 및 검증,업로드된 CSV 파싱 및 형식 검증,높음,완료,Frontend,PapaParse,주소/금액 검증
대량전송,BULK-003,전송 목록 미리보기,전송할 주소와 금액 미리보기,중간,완료,Frontend,React Table,확인 UI
대량전송,BULK-004,개인키 입력,전송자의 개인키 입력 (보안),높음,완료,Frontend,Input + 암호화,메모리에서만 처리
대량전송,BULK-005,대량 전송 실행,여러 주소로 순차적 QCC 전송,높음,완료,Frontend + Blockchain,Axios + Quantum Chain,1초 간격 전송
대량전송,BULK-006,실시간 진행률 표시,전송 진행 상황 실시간 표시,높음,완료,Frontend,React State,Progress Bar
대량전송,BULK-007,개별 전송 상태 추적,각 전송의 성공/실패 상태 추적,높음,완료,Frontend,React State,대기/처리중/성공/실패
대량전송,BULK-008,오류 처리,실패한 전송에 대한 오류 메시지,높음,완료,Frontend,Try-Catch,상세 에러 표시
대량전송,BULK-009,결과 CSV 다운로드,전송 결과를 CSV로 다운로드,중간,완료,Frontend,PapaParse,성공/실패 포함
대량전송,BULK-010,전송 취소,진행 중인 대량 전송 취소,낮음,미구현,Frontend,React State,향후 추가 예정
백엔드API,API-001,스테이킹 생성 API,새 스테이킹 생성 엔드포인트,높음,완료,Backend,Express + SQLite,POST /api/staking
백엔드API,API-002,스테이킹 조회 API,스테이킹 목록 조회 엔드포인트,높음,완료,Backend,Express + SQLite,GET /api/staking
백엔드API,API-003,지갑별 스테이킹 조회,특정 지갑의 스테이킹 조회,높음,완료,Backend,Express + SQLite,GET /api/staking/wallet/:address
백엔드API,API-004,스테이킹 업데이트 API,스테이킹 정보 업데이트,높음,완료,Backend,Express + SQLite,PUT /api/staking/:id
백엔드API,API-005,스테이킹 삭제 API,스테이킹 삭제 엔드포인트,중간,완료,Backend,Express + SQLite,DELETE /api/staking/:id
백엔드API,API-006,이자율 조회 API,이자율 목록 조회,높음,완료,Backend,Express + SQLite,GET /api/staking/rates
백엔드API,API-007,이자율 업데이트 API,이자율 업데이트 (관리자),높음,완료,Backend,Express + SQLite,PUT /api/staking/rates
백엔드API,API-008,통계 API,전체 스테이킹 통계 조회,중간,완료,Backend,Express + SQLite,GET /api/stats
백엔드API,API-009,헬스체크 API,서버 상태 확인 엔드포인트,중간,완료,Backend,Express,GET /health
백엔드API,API-010,에러 핸들링,통합 에러 핸들링 미들웨어,높음,완료,Backend,Express,전역 에러 처리
데이터베이스,DB-001,Users 테이블,사용자 정보 저장,높음,완료,Backend,SQLite,wallet_address 유니크
데이터베이스,DB-002,Stakings 테이블,스테이킹 정보 저장,높음,완료,Backend,SQLite,트랜잭션 해시 포함
데이터베이스,DB-003,InterestRates 테이블,이자율 정보 저장,높음,완료,Backend,SQLite,기간별 APY
데이터베이스,DB-004,AdminAuth 테이블,관리자 인증 정보 저장,높음,완료,Backend,SQLite,비밀번호 해시
데이터베이스,DB-005,인덱스 생성,성능 최적화를 위한 인덱스,중간,완료,Backend,SQLite,wallet_address/status
데이터베이스,DB-006,외래키 제약,테이블 간 관계 설정,중간,완료,Backend,SQLite,user_id FK
데이터베이스,DB-007,트랜잭션 처리,데이터 일관성 보장,높음,완료,Backend,SQLite,BEGIN/COMMIT
블록체인연동,CHAIN-001,지갑 주소 생성,니모닉으로 지갑 주소 생성,높음,완료,Frontend,BIP39 + Ed25519,Quantum Chain 호환
블록체인연동,CHAIN-002,트랜잭션 서명,개인키로 트랜잭션 서명,높음,완료,Frontend,TweetNaCl,Ed25519 서명
블록체인연동,CHAIN-003,트랜잭션 전송,서명된 트랜잭션 블록체인 전송,높음,완료,Frontend,Axios,Quantum Chain API
블록체인연동,CHAIN-004,잔액 조회,지갑 주소의 QCC 잔액 조회,높음,완료,Frontend,Axios,실시간 조회
블록체인연동,CHAIN-005,트랜잭션 상태 확인,트랜잭션 해시로 상태 확인,중간,완료,Frontend,Axios,성공/실패 확인
블록체인연동,CHAIN-006,네트워크 연결 확인,블록체인 네트워크 연결 상태,중간,완료,Frontend,Axios,헬스체크
자동화,AUTO-001,만기 체크 스크립트,만기된 스테이킹 자동 체크,높음,완료,Backend,Node.js,checkExpiredStakings.js
자동화,AUTO-002,Cron Job 설정,매일 자동으로 만기 체크 실행,높음,완료,Backend,Cron,cron-manager.sh
자동화,AUTO-003,상태 자동 업데이트,만기된 스테이킹 상태 자동 변경,높음,완료,Backend,SQLite,pending → completed
자동화,AUTO-004,만기 예정 알림,만기 7일 전 알림 (선택),낮음,미구현,Backend,이메일/푸시,향후 추가 예정
자동화,AUTO-005,자동 출금 처리,만기 시 자동 출금 (선택),낮음,미구현,Backend + Blockchain,트랜잭션 전송,향후 추가 예정
보안,SEC-001,JWT 인증,JWT 토큰 기반 인증 시스템,높음,완료,Backend,jsonwebtoken,Bearer 토큰
보안,SEC-002,비밀번호 해싱,bcrypt로 비밀번호 해싱,높음,완료,Backend,bcrypt,Salt 10 rounds
보안,SEC-003,CORS 설정,허용된 도메인만 API 접근,높음,완료,Backend,CORS,Vercel/localhost 허용
보안,SEC-004,Helmet 보안 헤더,보안 HTTP 헤더 설정,높음,완료,Backend,Helmet,XSS/Clickjacking 방지
보안,SEC-005,입력 검증,모든 사용자 입력 검증,높음,완료,Frontend + Backend,React Hook Form,SQL Injection 방지
보안,SEC-006,개인키 보안,개인키 메모리에서만 처리,높음,완료,Frontend,메모리 관리,저장하지 않음
보안,SEC-007,HTTPS 통신,모든 통신 HTTPS 암호화,높음,완료,배포,Vercel/Render,자동 SSL
보안,SEC-008,Rate Limiting,API 요청 속도 제한,중간,미구현,Backend,express-rate-limit,향후 추가 예정
보안,SEC-009,환경 변수 관리,민감 정보 환경 변수로 관리,높음,완료,배포,.env,하드코딩 금지
보안,SEC-010,감사 로그,중요 작업 로그 기록,낮음,미구현,Backend,Winston/Morgan,향후 추가 예정
UI/UX,UI-001,반응형 디자인,모바일/태블릿/데스크톱 대응,높음,완료,Frontend,Tailwind CSS,Breakpoints 설정
UI/UX,UI-002,로딩 상태 표시,API 호출 시 로딩 인디케이터,높음,완료,Frontend,React State,스피너/스켈레톤
