카테고리,기능명,우선순위,상태,담당자,예상공수(일),설명,기술스택,의존성
사용자관리,회원가입,높음,계획,개발팀,3,개발자 회원가입,React/Node.js/JWT,없음
사용자관리,로그인,높음,계획,개발팀,2,사용자 인증 및 로그인,JWT/OAuth,회원가입
사용자관리,프로필관리,중간,계획,개발팀,3,개발자 프로필 관리,React/Database,로그인
사용자관리,스킬태그,중간,계획,개발팀,3,프로그래밍 언어 스킬 태그,Tag System/Database,프로필관리
사용자관리,소셜로그인,중간,계획,개발팀,4,GitHub/Google 로그인,OAuth/Social API,로그인
문제관리,문제생성,높음,계획,개발팀,6,새 코딩 문제 생성,React/Database,사용자관리
문제관리,문제편집,높음,계획,개발팀,4,문제 내용 수정,React/Database,문제생성
문제관리,문제삭제,중간,계획,개발팀,2,문제 삭제 기능,Database,문제편집
문제관리,문제분류,중간,계획,개발팀,4,알고리즘/자료구조별 분류,Category/Database,문제생성
문제관리,난이도설정,중간,계획,개발팀,3,문제 난이도 레벨,Difficulty/Database,문제생성
코드에디터,온라인에디터,높음,계획,개발팀,8,웹 기반 코드 에디터,Monaco Editor/CodeMirror,없음
코드에디터,언어지원,높음,계획,개발팀,6,다양한 프로그래밍 언어 지원,Multi-language/Compiler,온라인에디터
코드에디터,자동완성,중간,계획,개발팀,5,코드 자동완성 기능,IntelliSense/LSP,온라인에디터
코드에디터,문법하이라이팅,중간,계획,개발팀,3,문법 강조 표시,Syntax Highlighting,온라인에디터
코드에디터,테마설정,낮음,계획,개발팀,2,에디터 테마 변경,Theme/CSS,온라인에디터
실행환경,코드실행,높음,계획,개발팀,10,코드 실행 엔진,Docker/Sandbox,코드에디터
실행환경,테스트케이스,높음,계획,개발팀,6,자동 테스트 케이스 실행,Test Runner/Judge,코드실행
실행환경,디버깅,중간,계획,개발팀,8,코드 디버깅 도구,Debugger/Breakpoint,코드실행
실행환경,성능측정,중간,계획,개발팀,5,실행 시간/메모리 측정,Performance Monitor,코드실행
실행환경,보안샌드박스,높음,계획,보안팀,8,안전한 코드 실행 환경,Security Sandbox/Docker,실행환경
채점시스템,자동채점,높음,계획,개발팀,8,자동 채점 시스템,Judge System/Comparison,실행환경
채점시스템,부분점수,중간,계획,개발팀,4,부분 점수 계산,Partial Scoring,자동채점
채점시스템,채점결과,높음,계획,개발팀,4,채점 결과 표시,Result Display/React,자동채점
채점시스템,오답분석,중간,계획,개발팀,5,틀린 부분 분석,Error Analysis,채점결과
채점시스템,시간제한,중간,계획,개발팀,3,실행 시간 제한,Time Limit/Timeout,채점시스템
대회시스템,대회생성,중간,계획,개발팀,6,코딩 대회 생성,Contest/Database,문제관리
