카테고리,기능명,우선순위,상태,담당자,예상공수(일),설명,기술스택,의존성
사용자관리,회원가입,높음,계획,개발팀,3,신규 사용자 가입 프로세스,React/Node.js,없음
사용자관리,로그인,높음,계획,개발팀,2,사용자 인증 및 로그인,JWT/bcrypt,회원가입
사용자관리,소셜로그인,중간,계획,개발팀,4,Google/Facebook/Twitter 로그인,OAuth 2.0,로그인
사용자관리,프로필관리,높음,계획,개발팀,3,사용자 프로필 편집,React/Node.js,로그인
사용자관리,프로필사진,중간,계획,개발팀,2,프로필 이미지 업로드/변경,Multer/AWS S3,프로필관리
사용자관리,계정설정,중간,계획,개발팀,2,개인정보 및 보안 설정,React/Node.js,프로필관리
게시물,포스트작성,높음,계획,개발팀,3,텍스트/이미지 게시물 작성,React/Node.js,로그인
게시물,포스트편집,중간,계획,개발팀,2,기존 게시물 수정,React/Node.js,포스트작성
게시물,포스트삭제,중간,계획,개발팀,1,게시물 삭제,Node.js,포스트작성
게시물,이미지업로드,높음,계획,개발팀,3,다중 이미지 업로드,Multer/AWS S3,포스트작성
게시물,동영상업로드,중간,계획,개발팀,4,동영상 파일 업로드 및 스트리밍,FFmpeg/AWS S3,이미지업로드
게시물,해시태그,중간,계획,개발팀,2,해시태그 기능,React/Node.js,포스트작성
피드,타임라인,높음,계획,개발팀,4,개인화된 피드 타임라인,React/Node.js,팔로우시스템
피드,무한스크롤,중간,계획,개발팀,3,무한 스크롤 피드,React/Intersection Observer,타임라인
피드,피드정렬,중간,계획,개발팀,2,최신순/인기순 정렬,React/Node.js,타임라인
피드,새로고침,중간,계획,개발팀,2,Pull-to-refresh 기능,React,타임라인
상호작용,좋아요,높음,계획,개발팀,2,게시물 좋아요/취소,React/Node.js,포스트작성
상호작용,댓글,높음,계획,개발팀,3,댓글 작성/편집/삭제,React/Node.js,포스트작성
상호작용,대댓글,중간,계획,개발팀,2,댓글에 대한 답글,React/Node.js,댓글
상호작용,공유,중간,계획,개발팀,2,게시물 공유 기능,React/Web Share API,포스트작성
상호작용,신고,중간,계획,개발팀,2,부적절한 콘텐츠 신고,React/Node.js,포스트작성
팔로우시스템,팔로우,높음,계획,개발팀,2,다른 사용자 팔로우,React/Node.js,사용자관리
팔로우시스템,언팔로우,높음,계획,개발팀,1,팔로우 취소,React/Node.js,팔로우
팔로우시스템,팔로워목록,중간,계획,개발팀,2,팔로워/팔로잉 목록 조회,React/Node.js,팔로우
팔로우시스템,팔로우요청,중간,계획,개발팀,3,비공개 계정 팔로우 요청,React/Node.js,팔로우
검색,사용자검색,높음,계획,개발팀,3,사용자명/이름으로 검색,Elasticsearch,사용자관리
검색,해시태그검색,중간,계획,개발팀,2,해시태그 기반 검색,Elasticsearch,해시태그
검색,콘텐츠검색,중간,계획,개발팀,3,게시물 내용 검색,Elasticsearch,포스트작성
검색,인기검색어,낮음,계획,개발팀,2,실시간 인기 검색어,Redis/Node.js,검색기능
메시징,다이렉트메시지,중간,계획,개발팀,5,1:1 개인 메시지,Socket.io/React,사용자관리
메시징,그룹채팅,낮음,계획,개발팀,6,다중 사용자 채팅,Socket.io/React,다이렉트메시지
메시징,메시지삭제,중간,계획,개발팀,1,메시지 삭제 기능,Socket.io,다이렉트메시지
메시징,읽음표시,중간,계획,개발팀,2,메시지 읽음 상태 표시,Socket.io,다이렉트메시지
알림,푸시알림,중간,계획,개발팀,4,실시간 알림 시스템,Web Push API,없음
알림,이메일알림,중간,계획,개발팀,3,이메일 알림 설정,Nodemailer,푸시알림
알림,알림설정,중간,계획,개발팀,2,알림 유형별 on/off 설정,React/Node.js,푸시알림
알림,알림목록,중간,계획,개발팀,2,알림 내역 조회,React/Node.js,푸시알림
스토리,스토리작성,낮음,계획,개발팀,4,24시간 임시 콘텐츠,React/Node.js,포스트작성
스토리,스토리조회,낮음,계획,개발팀,3,스토리 뷰어,React,스토리작성
스토리,스토리삭제,낮음,계획,개발팀,1,스토리 수동 삭제,Node.js,스토리작성
라이브,라이브스트리밍,낮음,계획,개발팀,8,실시간 방송 기능,WebRTC/Node.js,포스트작성
라이브,라이브채팅,낮음,계획,개발팀,3,라이브 중 실시간 채팅,Socket.io,라이브스트리밍
개인정보,프라이버시설정,중간,계획,개발팀,3,계정 공개/비공개 설정,React/Node.js,사용자관리
개인정보,차단기능,중간,계획,개발팀,2,특정 사용자 차단,React/Node.js,사용자관리
개인정보,데이터다운로드,낮음,계획,개발팀,3,개인 데이터 내보내기,Node.js,사용자관리
관리자,콘텐츠관리,중간,계획,개발팀,4,부적절한 콘텐츠 관리,React/Node.js,없음
관리자,사용자관리,중간,계획,개발팀,3,사용자 계정 관리,React/Node.js,콘텐츠관리
관리자,통계대시보드,중간,계획,개발팀,4,사용자/콘텐츠 통계,React/Chart.js,사용자관리
분석,사용자분석,낮음,계획,개발팀,3,사용자 행동 분석,Google Analytics,없음
분석,콘텐츠분석,낮음,계획,개발팀,3,인기 콘텐츠 분석,Node.js/MongoDB,사용자분석
보안,스팸방지,중간,계획,보안팀,3,스팸 콘텐츠 자동 탐지,ML/Node.js,없음
보안,데이터암호화,높음,계획,보안팀,2,민감 정보 암호화,bcrypt/crypto,없음
보안,2단계인증,중간,계획,개발팀,3,2FA 보안 인증,TOTP/SMS,로그인
