대분류,중분류,기능명,기능 설명,우선순위,구현 상태,관련 모델,관련 라우트,비고
인증/권한,회원 관리,회원 가입,새로운 회원 등록 및 정보 저장,High,구현완료,Member,/member,Passport.js 사용
인증/권한,회원 관리,로그인,이메일/비밀번호 기반 로그인,High,구현완료,Member,/login,Local Strategy
인증/권한,회원 관리,로그아웃,세션 종료 및 로그아웃 처리,High,구현완료,Member,/login,
인증/권한,회원 관리,회원 정보 조회,회원 상세 정보 조회,Medium,구현완료,Member,/member,
인증/권한,회원 관리,회원 정보 수정,회원 정보 업데이트,Medium,구현완료,Member,/member,
인증/권한,회원 관리,회원 상태 관리,정상/대기/거부/삭제/차단/휴면/탈퇴 상태 관리,High,구현완료,Member,/member,Enum 정의됨
인증/권한,권한 관리,권한 체크,사용자 권한 확인 미들웨어,High,구현완료,Member,/common,authCheck.js
인증/권한,권한 관리,관리자 권한,관리자 전용 기능 접근 제어,High,구현완료,Member,/common,
인증/권한,권한 관리,배송자 권한,배송자 전용 기능 접근 제어,High,구현완료,Member,/common,
인증/권한,본인인증,NICE 본인인증,휴대폰 본인인증 연동,High,구현완료,Member,/userApp/nice,niceMobileModule.js
주문 관리,주문 접수,주문 등록,새로운 주문 생성,High,구현완료,Order,/order,
주문 관리,주문 접수,주문 일괄 등록,엑셀 파일을 통한 주문 일괄 업로드,High,구현완료,Order,/excel,excel4node 사용
주문 관리,주문 조회,주문 목록 조회,주문 리스트 조회 및 필터링,High,구현완료,Order,/order,DataTable 지원
주문 관리,주문 조회,주문 상세 조회,개별 주문 상세 정보 조회,High,구현완료,Order,/order,
주문 관리,주문 수정,주문 정보 수정,주문 정보 업데이트,Medium,구현완료,Order,/order,
주문 관리,주문 삭제,주문 삭제,주문 데이터 삭제,Low,구현완료,Order,/order,
주문 관리,주문 상태,주문 상태 관리,주문접수/허브도착/물류집하/배송중/배송완료 등 상태 관리,High,구현완료,Order,/order,12개 상태 정의
주문 관리,주문 추적,송장 번호 추적,송장 번호로 주문 추적,High,구현완료,Order,/tracking,
주문 관리,엑셀 처리,주문 엑셀 다운로드,주문 데이터 엑셀 다운로드,Medium,구현완료,Order,/excel,exceljs 사용
배송 관리,배송 처리,배송 시작,배송 시작 처리,High,구현완료,DeliverySituation,/delivery,
배송 관리,배송 처리,배송 완료,배송 완료 처리,High,구현완료,DeliverySituation,/delivery,
배송 관리,배송 상태,배송 상태 조회,실시간 배송 상태 확인,High,구현완료,DeliverySituation,/delivery,
배송 관리,배송 상태,배송 상태 자동 변경,스케줄러를 통한 자동 상태 변경,Medium,구현완료,DeliverySituation,/delivery,deliveryAutoStatusChange.js
배송 관리,배송 이슈,배송 이슈 등록,배송 중 발생한 이슈 등록,High,구현완료,DeliveryIssue,/deliveryIssue,
배송 관리,배송 이슈,배송 이슈 조회,이슈 목록 및 상세 조회,High,구현완료,DeliveryIssue,/deliveryIssue,
배송 관리,배송 이슈,이슈 원인 관리,파손/배송지연/수취인불명/기상악화/기타,Medium,구현완료,DeliveryIssue,/deliveryIssue,Enum 정의
