카테고리,기능명,우선순위,상태,담당자,예상공수(일),설명,기술스택,의존성
사용자관리,회원가입,높음,계획,개발팀,3,이메일/소셜 로그인 회원가입,React/Node.js/JWT,없음
사용자관리,로그인,높음,계획,개발팀,2,사용자 인증 및 로그인,JWT/OAuth,회원가입
사용자관리,프로필관리,중간,계획,개발팀,3,사용자 프로필 정보 관리,React/Database,로그인
사용자관리,비밀번호관리,중간,계획,개발팀,2,비밀번호 변경/재설정,bcrypt/Email,로그인
사용자관리,계정삭제,낮음,계획,개발팀,2,사용자 계정 삭제,Database/GDPR,프로필관리
계좌관리,계좌등록,높음,계획,개발팀,4,은행 계좌 연동 및 등록,Open Banking API,사용자관리
계좌관리,계좌조회,높음,계획,개발팀,3,등록된 계좌 목록 조회,Banking API/React,계좌등록
계좌관리,잔액조회,높음,계획,개발팀,3,실시간 계좌 잔액 조회,Banking API,계좌조회
계좌관리,계좌삭제,중간,계획,개발팀,2,등록된 계좌 삭제,Database/API,계좌조회
계좌관리,다중계좌지원,중간,계획,개발팀,4,여러 은행 계좌 지원,Multi-bank API,계좌등록
거래내역,거래조회,높음,계획,개발팀,4,거래 내역 조회,Banking API/React,계좌관리
거래내역,거래분류,높음,계획,개발팀,5,거래 자동 분류,ML/Category API,거래조회
거래내역,거래검색,중간,계획,개발팀,3,거래 내역 검색,Search/Filter,거래조회
거래내역,거래편집,중간,계획,개발팀,3,거래 정보 수정,React/Database,거래분류
거래내역,거래삭제,낮음,계획,개발팀,2,거래 내역 삭제,Database,거래편집
예산관리,예산설정,높음,계획,개발팀,4,카테고리별 예산 설정,React/Database,거래분류
예산관리,예산추적,높음,계획,개발팀,4,예산 사용 현황 추적,Chart.js/Analytics,예산설정
예산관리,예산알림,중간,계획,개발팀,3,예산 초과 알림,Push Notification,예산추적
예산관리,예산분석,중간,계획,개발팀,4,예산 사용 패턴 분석,Analytics/Chart.js,예산추적
예산관리,예산조정,중간,계획,개발팀,3,예산 금액 조정,React/Database,예산설정
카테고리관리,기본카테고리,높음,계획,개발팀,3,기본 지출 카테고리 제공,Database/Seed Data,없음
카테고리관리,사용자정의카테고리,중간,계획,개발팀,3,사용자 맞춤 카테고리,React/Database,기본카테고리
