카테고리,기능명,우선순위,상태,담당자,예상공수(일),설명,기술스택,의존성
사용자관리,회원가입,높음,완료,백엔드팀,5,이메일/소셜 로그인 회원가입,Node.js/Express,없음
사용자관리,로그인,높음,완료,백엔드팀,3,사용자 로그인 및 세션 관리,JWT/OAuth,회원가입
사용자관리,프로필관리,높음,완료,백엔드팀,4,개인 프로필 정보 관리,Node.js/Express,로그인
사용자관리,프로필사진,중간,완료,백엔드팀,3,프로필 사진 업로드 및 관리,Multer/AWS S3,프로필관리
사용자관리,계정설정,중간,완료,백엔드팀,3,계정 설정 및 개인정보 수정,Node.js/Express,프로필사진
소셜기능,친구추가,높음,완료,백엔드팀,5,친구 요청 및 수락 기능,Node.js/Express,사용자관리
소셜기능,친구목록,높음,완료,백엔드팀,3,친구 목록 조회 및 관리,Node.js/Express,친구추가
소셜기능,친구검색,중간,완료,백엔드팀,4,사용자 검색 및 친구 찾기,Elasticsearch,친구목록
소셜기능,팔로우,중간,완료,백엔드팀,4,사용자 팔로우/언팔로우 기능,Node.js/Express,친구검색
소셜기능,차단기능,중간,진행중,백엔드팀,3,사용자 차단 및 신고 기능,Node.js/Express,팔로우
게시물관리,게시물작성,높음,완료,백엔드팀,6,텍스트/이미지 게시물 작성,Node.js/Express,소셜기능
게시물관리,게시물수정,높음,완료,백엔드팀,4,작성된 게시물 수정 기능,Node.js/Express,게시물작성
게시물관리,게시물삭제,높음,완료,백엔드팀,3,게시물 삭제 기능,Node.js/Express,게시물수정
게시물관리,이미지업로드,높음,완료,백엔드팀,5,다중 이미지 업로드 및 압축,Multer/Sharp,게시물삭제
게시물관리,동영상업로드,중간,진행중,백엔드팀,6,동영상 업로드 및 스트리밍,FFmpeg/AWS S3,이미지업로드
피드시스템,타임라인,높음,완료,백엔드팀,7,개인화된 피드 타임라인,Node.js/Redis,게시물관리
피드시스템,피드알고리즘,중간,진행중,백엔드팀,8,AI 기반 피드 추천 알고리즘,ML/Python,타임라인
피드시스템,실시간피드,중간,계획,백엔드팀,6,실시간 피드 업데이트,WebSocket,피드알고리즘
피드시스템,피드필터,중간,계획,백엔드팀,4,피드 내용 필터링 옵션,Node.js/Express,실시간피드
피드시스템,피드검색,낮음,계획,백엔드팀,5,피드 내 게시물 검색,Elasticsearch,피드필터
상호작용,좋아요,높음,완료,백엔드팀,4,게시물 좋아요/취소 기능,Node.js/Redis,피드시스템
상호작용,댓글,높음,완료,백엔드팀,5,댓글 작성/수정/삭제 기능,Node.js/Express,좋아요
상호작용,대댓글,중간,완료,백엔드팀,4,댓글에 대한 답글 기능,Node.js/Express,댓글
상호작용,공유,중간,진행중,백엔드팀,4,게시물 공유 기능,Node.js/Express,대댓글
상호작용,저장,중간,계획,백엔드팀,3,게시물 북마크 저장 기능,Node.js/Express,공유
메시징,개인메시지,높음,완료,백엔드팀,7,1:1 개인 메시지 기능,WebSocket/Socket.io,상호작용
메시징,그룹채팅,중간,진행중,백엔드팀,8,그룹 채팅방 생성 및 관리,WebSocket/Socket.io,개인메시지
메시징,파일전송,중간,진행중,백엔드팀,5,메시지 내 파일 전송,Multer/AWS S3,그룹채팅
메시징,메시지검색,낮음,계획,백엔드팀,4,메시지 내용 검색 기능,Elasticsearch,파일전송
메시징,읽음표시,중간,계획,백엔드팀,3,메시지 읽음/안읽음 표시,WebSocket,메시지검색
그룹기능,그룹생성,중간,완료,백엔드팀,6,관심사 기반 그룹 생성,Node.js/Express,메시징
그룹기능,그룹가입,중간,완료,백엔드팀,4,그룹 가입 신청 및 승인,Node.js/Express,그룹생성
그룹기능,그룹관리,중간,진행중,백엔드팀,5,그룹 설정 및 멤버 관리,Node.js/Express,그룹가입
그룹기능,그룹이벤트,낮음,계획,백엔드팀,6,그룹 내 이벤트 생성 및 관리,Node.js/Express,그룹관리
그룹기능,그룹피드,중간,계획,백엔드팀,5,그룹 전용 피드 시스템,Node.js/Express,그룹이벤트
알림시스템,푸시알림,높음,완료,백엔드팀,5,모바일 푸시 알림 발송,FCM/APNS,그룹기능
알림시스템,이메일알림,중간,완료,백엔드팀,4,이메일 알림 발송,Nodemailer,푸시알림
알림시스템,알림설정,중간,진행중,백엔드팀,3,개인별 알림 설정 관리,Node.js/Express,이메일알림
알림시스템,알림이력,낮음,계획,백엔드팀,3,알림 수신 이력 관리,Node.js/Express,알림설정
알림시스템,실시간알림,중간,계획,백엔드팀,4,실시간 알림 표시,WebSocket,알림이력
검색기능,사용자검색,높음,완료,백엔드팀,5,사용자 이름/이메일 검색,Elasticsearch,알림시스템
검색기능,게시물검색,높음,완료,백엔드팀,5,게시물 내용 검색,Elasticsearch,사용자검색
검색기능,해시태그검색,중간,진행중,백엔드팀,4,해시태그 기반 검색,Elasticsearch,게시물검색
검색기능,위치검색,낮음,계획,백엔드팀,5,위치 기반 검색,Geolocation API,해시태그검색
검색기능,고급검색,낮음,계획,백엔드팀,6,필터 기반 고급 검색,Elasticsearch,위치검색
콘텐츠관리,스토리,중간,진행중,백엔드팀,7,24시간 임시 스토리 기능,Node.js/Cron,검색기능
콘텐츠관리,라이브스트리밍,낮음,계획,백엔드팀,10,실시간 라이브 방송 기능,WebRTC/Streaming,스토리
콘텐츠관리,콘텐츠필터,중간,계획,백엔드팀,5,부적절한 콘텐츠 필터링,AI/ML,라이브스트리밍
