카테고리,기능명,우선순위,상태,담당자,예상공수(일),설명,기술스택,의존성
지갑관리,지갑생성,높음,계획,SG개발팀,4,SG 기반 새 블록체인 지갑 생성,React/SG SDK/Web3.js,없음
지갑관리,지갑복구,높음,계획,SG개발팀,3,니모닉/개인키로 지갑 복구,SG SDK/BIP39/Web3.js,지갑생성
지갑관리,지갑백업,높음,계획,SG개발팀,2,니모닉 구문 백업,SG SDK/BIP39,지갑생성
지갑관리,지갑삭제,중간,계획,SG개발팀,1,지갑 삭제 및 데이터 정리,React/SG Storage,지갑생성
지갑관리,다중지갑지원,중간,계획,SG개발팀,3,여러 지갑 동시 관리,React/SG SDK/Multi-Wallet,지갑생성
계정관리,계정생성,높음,계획,SG개발팀,2,지갑 내 새 계정 생성,SG SDK/HD Wallet,지갑생성
계정관리,계정가져오기,중간,계획,SG개발팀,2,외부 계정 가져오기,SG SDK/Import,계정생성
계정관리,계정이름변경,낮음,계획,SG개발팀,1,계정 별칭 설정,React/SG Storage,계정생성
잔액조회,토큰잔액조회,높음,계획,SG개발팀,3,SG 토큰 및 ERC-20 잔액,SG SDK/Token API,계정관리
잔액조회,NFT조회,중간,계획,SG개발팀,4,보유 NFT 목록 조회,SG SDK/NFT API,계정관리
잔액조회,실시간잔액업데이트,중간,계획,SG개발팀,3,실시간 잔액 갱신,SG WebSocket/SDK,잔액조회
거래,토큰전송,높음,계획,SG개발팀,4,SG 토큰 전송 기능,SG SDK/Transaction,잔액조회
거래,NFT전송,중간,계획,SG개발팀,3,NFT 전송 기능,SG SDK/NFT Transfer,NFT조회
거래,거래내역조회,높음,계획,SG개발팀,3,과거 거래 내역 조회,SG SDK/History API,거래기능
거래,거래상태추적,중간,계획,SG개발팀,2,거래 진행 상태 확인,SG SDK/Status API,거래기능
거래,가스비최적화,중간,계획,SG개발팀,4,SG 네트워크 수수료 최적화,SG SDK/Fee Optimizer,거래기능
DeFi,스왑기능,중간,계획,SG개발팀,6,SG DEX 토큰 스왑,SG DEX SDK/Swap API,거래기능
DeFi,유동성공급,중간,계획,SG개발팀,5,SG 유동성 풀 참여,SG DeFi SDK/Liquidity,스왑기능
