구분,기능ID,기능명,상세설명,우선순위,현재상태,담당모듈,관련API/기술,입력,출력,비고
인증,AUTH-001,Cafe24 OAuth 인증,Cafe24 앱스토어를 통한 OAuth 2.0 인증 처리,High,구현완료,routes/index.js,Cafe24 OAuth API,"mall_id, client_id, redirect_uri","access_token, refresh_token",HMAC 검증 포함
인증,AUTH-002,토큰 자동 갱신,Access Token 만료 시 Refresh Token으로 자동 갱신,High,구현완료,utils/cafe24.js,Cafe24 Token API,refresh_token,"access_token, expires_at",만료 시간 체크 로직 포함
인증,AUTH-003,HMAC 검증,요청 무결성 확인을 위한 HMAC SHA256 검증,High,구현완료,routes/index.js,crypto,"query_string, secret_key",boolean,보안 강화
인증,AUTH-004,세션 관리,사용자 세션 정보 저장 및 관리,Medium,구현완료,app.js,express-session,"shop_no, check_mac",session_data,
크롤링,CRAWL-001,네이버 자동 로그인,Puppeteer를 통한 네이버 스마트스토어 자동 로그인,High,구현완료,utils/schedule.js,Puppeteer,"naver_id, naver_pw",login_success,팝업 처리 포함
크롤링,CRAWL-002,SMS 인증 처리,Firebase를 통한 SMS 인증 코드 자동 입력,High,구현완료,utils/schedule.js,Firebase Realtime DB,sms_code,auth_success,실시간 데이터 수신
크롤링,CRAWL-003,리뷰 API 인터셉트,네이버 리뷰 API 응답을 가로채서 데이터 추출,High,구현완료,utils/schedule.js,Puppeteer Request Interception,api_response,review_data,JSON 파싱
크롤링,CRAWL-004,리뷰 데이터 저장,크롤링한 리뷰 데이터를 DB에 저장,High,구현완료,utils/schedule.js,Sequelize,review_object,saved_review,중복 방지 로직
크롤링,CRAWL-005,브라우저 자동 종료,크롤링 완료 후 브라우저 리소스 정리,Medium,구현완료,utils/schedule.js,Puppeteer,browser_instance,closed,메모리 누수 방지
스케줄,SCHED-001,매시간 자동 실행,Cron 스케줄러를 통한 매시간 정각 실행,High,구현완료,utils/schedule.js,node-schedule,cron_pattern,execution_result,"0 * * * * (매시간)"
스케줄,SCHED-002,배치 작업 초기화,서버 시작 시 스케줄러 자동 초기화,High,구현완료,app.js,node-schedule,-,scheduler_instance,
스케줄,SCHED-003,작업 실패 재시도,크롤링 실패 시 재시도 로직,High,미구현,-,-,retry_count,success/fail,개선 필요
Cafe24연동,CAFE-001,상품 검색,상품 코드로 Cafe24 상품 정보 검색,High,구현완료,utils/cafe24.js,Cafe24 Products API,custom_product_code,product_list,2초 딜레이 포함
Cafe24연동,CAFE-002,리뷰 등록,네이버 리뷰를 Cafe24 게시판에 등록,High,구현완료,utils/cafe24.js,Cafe24 Boards API,"product_no, review_data",article_no,이미지 첨부 지원
Cafe24연동,CAFE-003,게시글 조회,Cafe24 게시판 게시글 목록 조회,Medium,구현완료,utils/cafe24.js,Cafe24 Boards API,"offset, limit",articles_list,페이지네이션 지원
Cafe24연동,CAFE-004,게시글 수정,특정 게시글의 제목/내용 수정,Low,구현완료,utils/cafe24.js,Cafe24 Boards API,"article_no, title",updated_article,
Cafe24연동,CAFE-005,회원 그룹 변경,회원 그룹 일괄 변경 (200개씩 배치),Low,구현완료,utils/cafe24.js,Cafe24 CustomerGroups API,"group_no, member_ids",result_list,
Cafe24연동,CAFE-006,쿠폰 발급,특정 회원에게 쿠폰 발급,Low,구현완료,utils/cafe24.js,Cafe24 Coupons API,"coupon_no, member_id",issue_result,중복 발급 방지
API,API-001,상품별 리뷰 통계,특정 상품의 리뷰 개수 및 평균 평점 조회,High,구현완료,routes/api.js,Sequelize Raw Query,product_no,"count, avg",display=T만 집계
API,API-002,전체 리뷰 통계,전체 상품의 리뷰 통계를 JSON 객체로 반환,High,구현완료,routes/api.js,Sequelize Raw Query,-,"{product_no: {count, avg}}",
API,API-003,외부 리뷰 등록,외부에서 리뷰 데이터를 POST로 수신하여 등록,Medium,구현완료,routes/api.js,"Sequelize, Cafe24 API",review_json,success/fail,중복 체크
API,API-004,수동 크롤링 실행,테스트용 수동 크롤링 엔드포인트,Low,구현완료,routes/api.js,Puppeteer,-,crawl_result,개발/테스트용
데이터모델,MODEL-001,Article 모델,Cafe24 게시글 데이터 모델,High,구현완료,models/article.js,Sequelize,article_data,Article instance,60개 필드
데이터모델,MODEL-002,Naver 모델,네이버 리뷰 데이터 모델,High,구현완료,models/naver.js,Sequelize,review_data,Naver instance,inserted 플래그 포함
데이터모델,MODEL-003,Mall 모델,쇼핑몰 인증 정보 모델,High,구현완료,models/mall.js,Sequelize,oauth_data,Mall instance,토큰 정보 저장
데이터모델,MODEL-004,모델 자동 로드,models 디렉토리의 모델 자동 초기화,High,구현완료,models/index.js,Sequelize,-,db_object,
데이터베이스,DB-001,MariaDB 연결,MariaDB 데이터베이스 연결 및 풀 관리,High,구현완료,models/index.js,Sequelize + MariaDB,config,sequelize_instance,
데이터베이스,DB-002,중복 방지,findOrCreate를 통한 중복 데이터 방지,High,구현완료,models/naver.js,Sequelize,"where, defaults",instance,
데이터베이스,DB-003,일괄 업데이트,bulkCreate를 통한 대량 데이터 처리,Medium,구현완료,routes/index.js,Sequelize,data_array,result,updateOnDuplicate 옵션
데이터베이스,DB-004,Raw Query 실행,복잡한 집계 쿼리를 위한 Raw SQL 실행,Medium,구현완료,routes/api.js,Sequelize Raw Query,sql_string,query_result,
라우팅,ROUTE-001,동적 라우트 로딩,routes 디렉토리의 모든 라우트 자동 로드,High,구현완료,app.js,glob,route_files,loaded_routes,파일명 기반 경로
