카테고리,기능명,우선순위,상태,담당자,예상공수(일),설명,기술스택,의존성
블록조회,블록검색,높음,계획,SG개발팀,3,SG 블록 번호/해시로 블록 검색,React/SG SDK/JSON-RPC,없음
블록조회,블록상세정보,높음,계획,SG개발팀,4,SG 블록 상세 정보 표시,SG SDK/Blockchain API,블록검색
블록조회,최신블록목록,높음,계획,SG개발팀,3,SG 최신 블록 목록 표시,SG WebSocket/SDK,블록상세정보
블록조회,블록타임라인,중간,계획,SG개발팀,4,SG 블록 생성 타임라인,Chart.js/SG Analytics,최신블록목록
거래조회,거래검색,높음,계획,SG개발팀,3,SG 거래 해시로 거래 검색,React/SG SDK,없음
거래조회,거래상세정보,높음,계획,SG개발팀,4,SG 거래 상세 정보 표시,SG SDK/Transaction API,거래검색
거래조회,거래목록,높음,계획,SG개발팀,3,SG 최신 거래 목록 표시,SG WebSocket/SDK,거래상세정보
거래조회,거래상태추적,중간,계획,SG개발팀,3,SG 거래 상태 실시간 추적,SG WebSocket/Status API,거래상세정보
거래조회,내부거래조회,중간,계획,SG개발팀,4,SG 컨트랙트 내부 거래 추적,SG Trace API/SDK,거래상세정보
주소조회,주소검색,높음,계획,SG개발팀,2,SG 주소로 계정 정보 검색,React/SG SDK,없음
주소조회,주소상세정보,높음,계획,SG개발팀,4,SG 주소 잔액 및 거래 내역,SG SDK/Account API,주소검색
주소조회,토큰보유현황,중간,계획,SG개발팀,4,SG 주소별 토큰 보유 현황,SG Token API/Registry,주소상세정보
주소조회,NFT보유현황,중간,계획,SG개발팀,4,SG 주소별 NFT 보유 현황,SG NFT API/IPFS,주소상세정보
주소조회,거래히스토리,높음,계획,SG개발팀,4,SG 주소별 거래 히스토리,SG History API/Pagination,주소상세정보
토큰분석,SG토큰정보,높음,계획,SG개발팀,4,SG 네이티브 토큰 정보,SG Token API/Metadata,없음
토큰분석,토큰홀더분석,중간,계획,SG개발팀,5,SG 토큰 홀더 분포 분석,SG Analytics/Chart.js,SG토큰정보
토큰분석,토큰전송내역,중간,계획,SG개발팀,4,SG 토큰 전송 내역 추적,SG Events API/SDK,SG토큰정보
토큰분석,토큰통계,낮음,계획,SG개발팀,4,SG 토큰 거래량/가격 통계,SG Price API/Chart.js,토큰분석
컨트랙트,컨트랙트조회,높음,계획,SG개발팀,4,SG 스마트 컨트랙트 정보 조회,SG SDK/Contract ABI,주소조회
컨트랙트,컨트랙트소스코드,중간,계획,SG개발팀,3,SG 검증된 컨트랙트 소스 코드,SG Verification API/Syntax Highlight,컨트랙트조회
컨트랙트,컨트랙트이벤트,중간,계획,SG개발팀,4,SG 컨트랙트 이벤트 로그,SG Event Logs/SDK,컨트랙트조회
컨트랙트,컨트랙트상호작용,낮음,계획,SG개발팀,6,SG 컨트랙트 함수 호출 인터페이스,SG SDK/ABI Interface,컨트랙트소스코드
네트워크통계,SG네트워크개요,높음,계획,SG개발팀,4,SG 네트워크 전체 통계,SG Analytics API/Chart.js,없음
네트워크통계,검증자정보,중간,계획,SG개발팀,4,SG 검증자 노드 정보,SG Validator API/Chart.js,SG네트워크개요
네트워크통계,스테이킹통계,중간,계획,SG개발팀,3,SG 스테이킹 통계,SG Staking API/Chart.js,SG네트워크개요
네트워크통계,수수료통계,중간,계획,SG개발팀,3,SG 네트워크 수수료 통계,SG Fee API/Chart.js,SG네트워크개요
네트워크통계,노드분포,낮음,계획,SG개발팀,4,SG 네트워크 노드 지리적 분포,SG Node API/Map Visualization,네트워크통계
검색,통합검색,높음,계획,SG개발팀,5,SG 블록/거래/주소 통합 검색,Elasticsearch/React,기본조회기능
검색,자동완성,중간,계획,SG개발팀,3,SG 검색어 자동완성,Elasticsearch/React,통합검색
