카테고리,기능ID,기능명,상세설명,우선순위,상태,담당페이지/컴포넌트,관련API,비고
인증,AUTH-001,회원가입,사용자명/닉네임/비밀번호로 회원가입,High,완료,SignupModal.tsx,POST /auth/signup,JWT 토큰 발급
인증,AUTH-002,로그인,사용자명/비밀번호로 로그인,High,완료,LoginModal.tsx,POST /auth/login,JWT 토큰 저장
인증,AUTH-003,자동 로그인,페이지 새로고침 시 토큰 검증 후 자동 로그인,High,완료,AuthContext.tsx,-,로컬스토리지 토큰 사용
인증,AUTH-004,로그아웃,로그아웃 및 토큰 삭제,High,완료,Header.tsx,-,로컬스토리지 클리어
인증,AUTH-005,토큰 만료 처리,만료된 JWT 토큰 자동 감지 및 로그아웃,High,완료,AuthContext.tsx,-,jwt-decode 사용
인증,AUTH-006,사용자 상태 관리,PENDING/ACTIVE 상태 관리,Medium,완료,AuthContext.tsx,-,지갑 등록 여부에 따라 구분
지갑연동,WALLET-001,지갑 연결,Web3Modal을 통한 지갑 연결,High,완료,MyPageModal.tsx,-,@web3modal/wagmi 사용
지갑연동,WALLET-002,지갑 주소 등록,연결된 지갑 주소를 사용자 계정에 등록,High,완료,MyPageModal.tsx,POST /user/wallet,PENDING → ACTIVE 상태 변경
지갑연동,WALLET-003,네트워크 확인,BNB Smart Chain Testnet 연결 확인,High,완료,MyPageModal.tsx,-,Chain ID 0x61 확인
지갑연동,WALLET-004,지갑 연결 해제,지갑 연결 해제 기능,Low,완료,MyPageModal.tsx,-,Web3Modal disconnect
잔액관리,BALANCE-001,잔액 조회,사용자의 오프체인 USDT 잔액 조회,High,완료,Header.tsx/MyPageModal.tsx,GET /balance/:address,실시간 업데이트
잔액관리,BALANCE-002,입금,온체인 USDT를 오프체인으로 입금,High,완료,MyPageModal.tsx,POST /deposit,Vault 컨트랙트 approve 필요
잔액관리,BALANCE-003,출금 요청,오프체인 USDT를 온체인으로 출금 요청,High,완료,MyPageModal.tsx,POST /withdraw,관리자 승인 대기
잔액관리,BALANCE-004,출금 내역 조회,출금 요청 및 승인 내역 조회,Medium,완료,MyPageModal.tsx,GET /withdrawals/:address,상태별 필터링
잔액관리,BALANCE-005,잔액 실시간 업데이트,베팅/당첨 시 잔액 즉시 반영,High,완료,전역 이벤트,balance:update 이벤트,CustomEvent 사용
메인페이지,MAIN-001,룸 목록 표시,4개 게임 룸 카드 표시,High,완료,EntrySection.tsx,GET /rooms/status,1/10/50/100 USDT
메인페이지,MAIN-002,참가자 수 표시,각 룸의 실시간 참가자 수 표시,Medium,완료,EntrySection.tsx,GET /rooms/status,5초마다 폴링
메인페이지,MAIN-003,글로벌 라운드 표시,현재 진행 중인 글로벌 라운드 번호 표시,Medium,완료,GlobalRoundBar.tsx,GET /lottery-status/1,모바일에서만 표시
메인페이지,MAIN-004,마감 시간 타이머,메인 게임의 마감 시간 카운트다운,High,완료,SideMenu.tsx,GET /lottery-status/1,실시간 타이머
메인페이지,MAIN-005,당첨자 정보 바,최근 당첨자 정보 스크롤 표시,Low,완료,WinnerInfoBar.tsx,GET /recent-winners,자동 스크롤
메인페이지,MAIN-006,룰렛 룸 입장,룰렛 게임 모달 오픈,High,완료,RouletteRoom.tsx,-,별도 마감시간 관리
메인페이지,MAIN-007,게임 설명 모달,게임 규칙 및 방법 설명,Medium,완료,GameExplainModal.tsx,-,초보자 가이드
메인페이지,MAIN-008,모바일 배너,모바일 사용자 안내 메시지,Low,완료,Header.tsx,-,모바일에서만 표시
게임룸,ROOM-001,룸 정보 표시,룸 이름/티켓 가격/상금 풀 표시,High,완료,room/[roomId]/page.tsx,GET /lottery-status/:roomId,동적 라우팅
게임룸,ROOM-002,마감 시간 타이머,해당 룸의 마감 시간 카운트다운,High,완료,Timer.tsx,-,LABDigital 폰트 사용
게임룸,ROOM-003,게임 참가,티켓 구매 및 게임 참가,High,완료,room/[roomId]/page.tsx,POST /participate/:roomId,오프체인 잔액 차감
게임룸,ROOM-004,참가자 목록,현재 참가자 지갑 주소 목록 표시,Medium,완료,room/[roomId]/page.tsx,GET /lottery-status/:roomId,실시간 업데이트
게임룸,ROOM-005,실시간 로그,참가/추첨/당첨 로그 실시간 표시,High,완료,room/[roomId]/page.tsx,GET /lottery-status/:roomId,타입별 색상 구분
게임룸,ROOM-006,로그 애니메이션,로그 순차적 표시 애니메이션,Medium,완료,room/[roomId]/page.tsx,-,50ms 간격
게임룸,ROOM-007,추첨 카운트다운,추첨 시작 5초 전 카운트다운,Medium,완료,room/[roomId]/page.tsx,-,Prize Pool 영역에 표시
게임룸,ROOM-008,과거 당첨자 조회,해당 룸의 과거 라운드 당첨자 목록,Low,완료,room/[roomId]/page.tsx,GET /winners/:roomId,페이지네이션 버튼
게임룸,ROOM-009,상태별 UI 변경,OPEN/DRAWING/CLOSED 상태별 버튼 변경,High,완료,room/[roomId]/page.tsx,-,disabled 처리
게임룸,ROOM-010,로그 자동 스크롤,새 로그 추가 시 자동 스크롤,Low,완료,room/[roomId]/page.tsx,-,useRef 사용
룰렛게임,ROULETTE-001,룰렛 모달 오픈,룰렛 게임 모달 표시,High,완료,RouletteModal.tsx,-,전체화면 모달
룰렛게임,ROULETTE-002,HIGH/LOW 선택,1-5(LOW) 또는 6-10(HIGH) 선택,High,완료,RouletteModal.tsx,-,버튼 토글
룰렛게임,ROULETTE-003,베팅 금액 입력,베팅할 USDT 금액 입력,High,완료,RouletteModal.tsx,-,최소/최대 금액 검증
룰렛게임,ROULETTE-004,베팅 확인 모달,베팅 내용 확인 후 최종 제출,High,완료,BettingConfirmModal.tsx,POST /api/roulette/bet,잔액 확인
룰렛게임,ROULETTE-005,실시간 풀 정보,LOW/HIGH 각각의 총 베팅액 표시,Medium,완료,RouletteModal.tsx,GET /api/roulette/current,5초마다 업데이트
룰렛게임,ROULETTE-006,마감 시간 타이머,룰렛 라운드 마감 시간 표시,High,완료,RouletteModal.tsx,GET /api/roulette/current,독립적 타이머
