카테고리,기능명,우선순위,상태,담당자,예상공수(일),설명,기술스택,의존성
사용자관리,관리자로그인,높음,완료,개발팀,3,관리자 인증 시스템,Node.js/JWT,없음
사용자관리,권한관리,높음,완료,개발팀,4,역할별 권한 설정,RBAC/Database,관리자로그인
사용자관리,사용자등록,중간,완료,개발팀,2,새 사용자 등록,React/Node.js,권한관리
사용자관리,프로필관리,중간,완료,개발팀,2,사용자 프로필 편집,React/Database,사용자등록
콘텐츠관리,글작성,높음,완료,개발팀,4,새 콘텐츠 작성,Rich Text Editor/React,사용자관리
콘텐츠관리,글편집,높음,완료,개발팀,3,기존 콘텐츠 편집,Rich Text Editor,글작성
콘텐츠관리,글삭제,높음,완료,개발팀,2,콘텐츠 삭제 기능,React/Database,글편집
콘텐츠관리,초안저장,중간,완료,개발팀,3,임시 저장 기능,Auto-save/Database,글작성
콘텐츠관리,버전관리,중간,진행중,개발팀,5,콘텐츠 버전 히스토리,Version Control/Database,콘텐츠관리
미디어관리,파일업로드,높음,완료,개발팀,4,이미지/파일 업로드,Multer/File Storage,없음
미디어관리,이미지편집,중간,완료,개발팀,5,기본 이미지 편집,Image Processing/Canvas,파일업로드
미디어관리,미디어라이브러리,중간,완료,개발팀,4,미디어 파일 관리,React/File Manager,파일업로드
미디어관리,파일최적화,낮음,계획,개발팀,4,이미지 압축 및 최적화,Image Optimization,미디어라이브러리
카테고리관리,카테고리생성,높음,완료,개발팀,2,콘텐츠 카테고리 생성,React/Database,없음
카테고리관리,카테고리편집,높음,완료,개발팀,2,카테고리 수정/삭제,React/Database,카테고리생성
카테고리관리,계층구조,중간,완료,개발팀,4,카테고리 계층 관리,Tree Structure/Database,카테고리편집
카테고리관리,카테고리정렬,낮음,완료,개발팀,2,카테고리 순서 변경,Drag & Drop/React,계층구조
발행관리,콘텐츠발행,높음,완료,개발팀,3,콘텐츠 게시,Publishing System,콘텐츠관리
발행관리,예약발행,중간,완료,개발팀,4,예약 게시 기능,Scheduler/Cron,콘텐츠발행
발행관리,발행취소,중간,완료,개발팀,2,게시 취소 기능,Publishing Control,콘텐츠발행
발행관리,상태관리,중간,완료,개발팀,3,초안/검토/발행 상태,State Management,발행관리
