카테고리,기능명,우선순위,상태,담당자,예상공수(일),설명,기술스택,의존성
사용자관리,회원가입,높음,계획,개발팀,3,신규 사용자 가입,React/Node.js,없음
사용자관리,로그인,높음,계획,개발팀,2,사용자 인증 및 로그인,JWT/bcrypt,회원가입
사용자관리,2단계인증,높음,계획,개발팀,3,OTP 기반 2단계 인증,TOTP/SMS,로그인
사용자관리,프로필관리,중간,계획,개발팀,2,사용자 정보 관리,React/Node.js,로그인
사용자관리,KYC인증,높음,계획,개발팀,5,신원 확인 및 인증,OCR/AI,회원가입
계좌관리,계좌연결,높음,계획,개발팀,6,은행 계좌 연결,Open Banking API,KYC인증
계좌관리,계좌조회,높음,계획,개발팀,3,연결된 계좌 잔액 조회,Banking API,계좌연결
계좌관리,거래내역조회,높음,계획,개발팀,4,계좌별 거래 내역,Banking API,계좌연결
계좌관리,계좌삭제,중간,계획,개발팀,2,계좌 연결 해제,Node.js,계좌연결
가계부,수입기록,높음,계획,개발팀,3,수입 내역 기록,React/Node.js,사용자관리
가계부,지출기록,높음,계획,개발팀,3,지출 내역 기록,React/Node.js,사용자관리
가계부,카테고리관리,중간,계획,개발팀,2,수입/지출 카테고리 설정,React/Node.js,가계부기록
가계부,자동분류,중간,계획,개발팀,4,거래 내역 자동 분류,ML/NLP,거래내역조회
가계부,영수증스캔,중간,계획,개발팀,5,영수증 OCR 인식,OCR/Camera API,지출기록
예산관리,예산설정,높음,계획,개발팀,3,월별/카테고리별 예산 설정,React/Node.js,가계부
예산관리,예산추적,높음,계획,개발팀,3,예산 대비 지출 추적,Chart.js/React,예산설정
예산관리,예산알림,중간,계획,개발팀,2,예산 초과 알림,Push Notification,예산추적
목표관리,저축목표,중간,계획,개발팀,3,저축 목표 설정,React/Node.js,가계부
목표관리,목표추적,중간,계획,개발팀,3,목표 달성률 추적,Chart.js,저축목표
목표관리,자동저축,중간,계획,개발팀,4,자동 저축 이체,Banking API,계좌관리
투자관리,포트폴리오조회,중간,계획,개발팀,4,투자 포트폴리오 현황,Stock API/Chart.js,계좌관리
투자관리,주식정보,중간,계획,개발팀,4,실시간 주식 정보,Stock API,없음
투자관리,투자분석,낮음,계획,개발팀,5,투자 수익률 분석,Chart.js/ML,포트폴리오조회
투자관리,투자뉴스,낮음,계획,개발팀,3,투자 관련 뉴스,News API,주식정보
신용관리,신용점수조회,중간,계획,개발팀,4,신용점수 확인,Credit API,KYC인증
신용관리,신용점수추적,중간,계획,개발팀,3,신용점수 변화 추적,Chart.js,신용점수조회
신용관리,신용개선제안,낮음,계획,개발팀,4,신용점수 개선 방법 제안,ML/React,신용점수추적
대출관리,대출정보조회,중간,계획,개발팀,3,기존 대출 정보 조회,Banking API,계좌관리
대출관리,대출상품비교,중간,계획,개발팀,4,대출 상품 비교,Loan API,신용관리
대출관리,대출신청,낮음,계획,개발팀,6,온라인 대출 신청,Loan API/KYC,대출상품비교
보험관리,보험정보조회,중간,계획,개발팀,3,가입 보험 정보 조회,Insurance API,사용자관리
보험관리,보험상품추천,낮음,계획,개발팀,4,개인 맞춤 보험 추천,ML/Insurance API,보험정보조회
세금관리,세금계산,중간,계획,개발팀,4,소득세/부가세 계산,Tax API/Node.js,가계부
세금관리,세금신고도움,낮음,계획,개발팀,5,세금 신고 가이드,Tax API,세금계산
분석리포트,월간리포트,중간,계획,개발팀,4,월간 가계 분석 리포트,Chart.js/PDF,가계부
분석리포트,연간리포트,중간,계획,개발팀,4,연간 재정 분석 리포트,Chart.js/PDF,월간리포트
분석리포트,지출패턴분석,중간,계획,개발팀,4,지출 패턴 분석,ML/Chart.js,가계부
분석리포트,수익성분석,낮음,계획,개발팀,4,투자 수익성 분석,Chart.js/ML,투자관리
알림,거래알림,높음,계획,개발팀,2,계좌 거래 발생 알림,Push/SMS,계좌관리
알림,예산알림,중간,계획,개발팀,2,예산 관련 알림,Push Notification,예산관리
알림,투자알림,낮음,계획,개발팀,3,주식 가격 변동 알림,Push/Stock API,투자관리
알림,청구서알림,중간,계획,개발팀,2,정기 결제 알림,Push/Calendar,가계부
보안,생체인증,높음,계획,개발팀,4,지문/얼굴 인식 로그인,Biometric API,로그인
보안,거래인증,높음,계획,개발팀,3,중요 거래 시 추가 인증,OTP/SMS,2단계인증
보안,데이터암호화,높음,계획,보안팀,3,금융 데이터 암호화,AES/bcrypt,없음
보안,사기탐지,중간,계획,보안팀,5,이상 거래 탐지,ML/Fraud Detection,거래내역조회
백업동기화,클라우드백업,중간,계획,개발팀,3,데이터 클라우드 백업,AWS S3/Encryption,데이터암호화
백업동기화,기기동기화,중간,계획,개발팀,4,다중 기기 데이터 동기화,Cloud Sync,클라우드백업
설정,알림설정,중간,계획,개발팀,2,알림 유형별 on/off 설정,React/Node.js,알림시스템
설정,테마설정,낮음,계획,개발팀,2,다크/라이트 모드,React/CSS,없음
설정,언어설정,낮음,계획,개발팀,2,다국어 지원,React/i18n,없음
설정,개인정보설정,중간,계획,개발팀,2,개인정보 보호 설정,React/Node.js,사용자관리
고객지원,FAQ,낮음,계획,개발팀,2,자주 묻는 질문,React/CMS,없음
고객지원,채팅상담,중간,계획,개발팀,4,실시간 고객 상담,Socket.io,사용자관리
고객지원,문의하기,중간,계획,개발팀,2,고객 문의 접수,React/Email,사용자관리
관리자,사용자관리,중간,계획,개발팀,3,전체 사용자 관리,React/Node.js,없음
관리자,거래모니터링,높음,계획,개발팀,4,이상 거래 모니터링,Dashboard/ML,거래내역조회
관리자,시스템통계,중간,계획,개발팀,3,시스템 사용 통계,Chart.js/Analytics,사용자관리
규정준수,PCI준수,높음,계획,보안팀,6,결제 카드 정보 보호,PCI DSS,데이터암호화
규정준수,개인정보보호,높음,계획,보안팀,4,개인정보보호법 준수,GDPR/CCPA,데이터암호화
규정준수,금융규제준수,높음,계획,법무팀,5,금융 관련 법규 준수,Compliance Framework,없음
