번호,대분류,중분류,기능명,기능 상세 설명,우선순위,상태,담당자,비고
1,인증/권한,OAuth 인증,Cafe24 OAuth 연동,Cafe24 OAuth 2.0을 통한 쇼핑몰 인증 및 토큰 발급,높음,완료,,
2,인증/권한,OAuth 인증,Access Token 발급,Authorization Code를 통한 Access Token 발급 기능,높음,완료,,
3,인증/권한,OAuth 인증,Refresh Token 갱신,만료된 Access Token을 Refresh Token으로 자동 갱신,높음,완료,,
4,인증/권한,JWT 인증,JWT 토큰 검증,API 요청 시 JWT 토큰 검증 및 사용자 인증,높음,완료,,
5,인증/권한,JWT 인증,토큰 만료 확인,토큰 만료 시간 확인 및 자동 갱신 처리,높음,완료,,
6,인증/권한,권한 관리,화이트리스트 관리,인증 불필요 경로 관리 (/hook /callback /manual /api /dev),중간,완료,,
7,인증/권한,권한 관리,HMAC 검증,프로덕션 환경에서 HMAC 기반 요청 검증,중간,완료,,프로덕션 환경
8,게시판 관리,게시판 조회,게시판 목록 조회,쇼핑몰의 모든 게시판 목록 조회 (운영/일반/자료실/상품/갤러리 등),높음,완료,,
9,게시판 관리,게시판 조회,게시판 정보 조회,게시판 번호/이름/타입/사용여부/표시여부/정렬순서 조회,높음,완료,,
10,게시판 관리,게시물 관리,게시물 목록 조회,특정 게시판의 게시물 목록 조회,높음,완료,,
11,게시판 관리,게시물 관리,게시물 상세 조회,게시물 상세 정보 및 첨부파일 조회,높음,완료,,
12,게시판 관리,게시물 관리,게시물 수정,게시물 내용 수정 및 상품 그룹 연결,높음,완료,,
13,게시판 관리,게시물 관리,첨부파일 관리,게시물 첨부파일 URL 및 정보 관리,중간,완료,,
14,게시판 관리,상품 연결,게시물-상품 그룹 연결,게시물에 상품 그룹 연결 및 노출 설정,높음,완료,,
15,게시판 관리,상품 연결,연결 기간 설정,상품 그룹 노출 시작일/종료일 설정,중간,완료,,
16,상품 관리,상품 그룹,상품 그룹 생성,새로운 상품 그룹 생성 및 설정,높음,완료,,
17,상품 관리,상품 그룹,상품 그룹 수정,기존 상품 그룹 정보 수정,높음,완료,,
18,상품 관리,상품 그룹,상품 그룹 삭제,상품 그룹 삭제 처리,높음,완료,,
19,상품 관리,상품 그룹,상품 그룹 조회,상품 그룹 목록 및 상세 정보 조회,높음,완료,,
20,상품 관리,상품 정보,상품 목록 조회,Cafe24 API를 통한 상품 목록 조회,높음,완료,,
21,상품 관리,상품 정보,상품 상세 조회,특정 상품의 상세 정보 조회,높음,완료,,
22,상품 관리,노출 설정,노출 효과 설정,상품 그룹 노출 효과 설정 (슬라이더/그리드),중간,완료,,
23,상품 관리,노출 설정,타이틀 설정,노출 타이틀/정렬/폰트 크기/색상 설정,중간,완료,,
24,상품 관리,노출 설정,가격 표시 패턴,판매가/소비자가 또는 할인판매가/소비자가 선택,중간,완료,,
25,상품 관리,노출 설정,할인율 자동 계산,할인율 자동 계산 여부 설정,낮음,완료,,
26,상품 관리,노출 설정,상품 정보 정렬,상품 정보 정렬 방식 설정 (중앙/좌측),낮음,완료,,
27,상품 관리,통계,클릭 수 집계,상품 그룹 클릭 수 집계 및 조회,중간,완료,,
28,카테고리 관리,카테고리 조회,카테고리 목록 조회,Cafe24 쇼핑몰의 카테고리 목록 조회,높음,완료,,
29,카테고리 관리,카테고리 조회,카테고리 트리 구조,카테고리 계층 구조 조회 및 관리,중간,완료,,
30,카테고리 관리,카테고리 동기화,Cafe24 동기화,Cafe24 카테고리 정보 동기화,중간,완료,,
31,폴더 관리,폴더 CRUD,폴더 생성,새로운 폴더 생성,중간,완료,,
32,폴더 관리,폴더 CRUD,폴더 수정,폴더 정보 수정,중간,완료,,
33,폴더 관리,폴더 CRUD,폴더 삭제,폴더 삭제 처리,중간,완료,,
34,폴더 관리,폴더 CRUD,폴더 조회,폴더 목록 및 상세 정보 조회,중간,완료,,
35,폴더 관리,폴더 구조,폴더 계층 관리,폴더 계층 구조 관리,낮음,완료,,
36,결제 관리,결제 정보,결제 정보 조회,사용자 결제 정보 조회,높음,완료,,
37,결제 관리,결제 정보,결제 상태 관리,결제 상태 업데이트 및 관리,높음,완료,,
