구분,기능명,우선순위,상태,설명,구현 난이도,예상 소요시간,의존성,비고
기본 토큰 기능,토큰 이름 설정,높음,완료,BusinessCoin으로 토큰 이름 설정,쉬움,1시간,없음,생성자에서 설정
기본 토큰 기능,토큰 심볼 설정,높음,완료,BSC로 토큰 심볼 설정,쉬움,1시간,없음,생성자에서 설정
기본 토큰 기능,토큰 소수점 설정,높음,완료,18자리 소수점 설정,쉬움,1시간,없음,ERC20 표준
기본 토큰 기능,최대 공급량 제한,높음,완료,1억 개로 최대 공급량 제한,쉬움,2시간,없음,MAX_SUPPLY 상수
기본 토큰 기능,초기 발행량 설정,높음,완료,최대 공급량의 30% 초기 발행,쉬움,1시간,없음,생성자에서 설정
기본 토큰 기능,토큰 잔액 조회,높음,완료,balanceOf 함수로 잔액 조회,쉬움,1시간,없음,ERC20 표준
기본 토큰 기능,토큰 전송,높음,완료,transfer 함수로 토큰 전송,쉬움,2시간,없음,ERC20 표준
기본 토큰 기능,토큰 승인,높음,완료,approve 함수로 토큰 승인,쉬움,2시간,없음,ERC20 표준
기본 토큰 기능,승인 토큰 전송,높음,완료,transferFrom 함수로 승인된 토큰 전송,쉬움,2시간,없음,ERC20 표준
기본 토큰 기능,총 공급량 조회,높음,완료,totalSupply 함수로 총 공급량 조회,쉬움,1시간,없음,ERC20 표준
소유자 기능,소유자 권한 관리,높음,완료,Ownable을 통한 소유자 권한 관리,쉬움,1시간,OpenZeppelin,상속
소유자 기능,토큰 추가 발행,높음,완료,소유자만 추가 토큰 발행 가능,중간,3시간,소유자 권한,onlyOwner 제한
소유자 기능,최대 공급량 검증,높음,완료,발행 시 최대 공급량 초과 방지,중간,2시간,없음,require 문으로 검증
토큰 소각,토큰 소각 기능,중간,완료,ERC20Burnable을 통한 토큰 소각,쉬움,1시간,OpenZeppelin,상속
토큰 소각,소각 후 공급량 감소,중간,완료,소각 시 총 공급량 자동 감소,쉬움,1시간,없음,ERC20Burnable 자동 처리
테스트,기본 정보 테스트,높음,완료,토큰 이름/심볼/초기 공급량 테스트,쉬움,2시간,Chai,테스트 파일
테스트,전송 기능 테스트,높음,완료,토큰 전송 성공/실패 케이스 테스트,중간,3시간,Chai,테스트 파일
