번호,대분류,중분류,기능명,기능설명,우선순위,사용자유형,상태코드,비고
1,사용자관리,인증,로그인,내부/외부 사용자 로그인 처리,High,전체,,AES 암호화 사용
2,사용자관리,인증,로그아웃,사용자 로그아웃 처리,High,전체,,세션 종료
3,사용자관리,권한관리,팀별 권한 설정,팀 코드에 따른 접근 권한 제어,High,내부사용자,001000~001003,최고관리자/전시팀/물류팀/디자인팀
4,사용자관리,권한관리,직무별 권한 설정,직무(PM/AD/CAD)에 따른 권한 제어,High,외부사용자,JOBKEY_PM~TM,
5,사용자관리,회원관리,내부 사용자 등록,관리자 계정 생성 및 관리,Medium,최고관리자,,
6,사용자관리,회원관리,외부 사용자 등록,외부 회원 계정 생성 및 관리,Medium,최고관리자,,
7,사용자관리,회원관리,회원 정보 수정,사용자 프로필 정보 수정,Medium,전체,,
8,사용자관리,회원관리,비밀번호 변경,사용자 비밀번호 변경,Medium,전체,,최소 4자 이상
9,사용자관리,로그관리,로그인 로그,로그인/로그아웃 이력 기록,Low,전체,003002,IP 주소 포함
10,사용자관리,로그관리,사용자 액션 로그,모든 사용자 행동 추적 및 기록,Low,전체,003002,
11,행사관리,행사등록,행사 신청,새로운 행사 등록 및 신청,High,전체,005001,
12,행사관리,행사등록,행사 정보 입력,행사명/일정/장소/담당자 정보 입력,High,전체,,
13,행사관리,행사등록,행사 주소 관리,행사 장소 주소 입력 및 관리,Medium,전체,010002,다음 우편번호 API 연동
14,행사관리,행사등록,행사 담당자 관리,행사 담당자 정보 입력 및 관리,Medium,전체,010003,명함첩 연동
15,행사관리,행사승인,행사 승인,신청된 행사 승인 처리,High,전시팀,005002,
16,행사관리,행사승인,행사 반려,신청된 행사 반려 처리,High,전시팀,,
17,행사관리,행사진행,설치 출발 처리,행사 설치를 위한 출발 상태 변경,High,전시팀,005003,
18,행사관리,행사진행,설치 완료 처리,행사 설치 완료 상태 변경,High,전시팀,005004,설치 완료 이미지 업로드
19,행사관리,행사진행,철거 완료 처리,행사 철거 및 수거 완료 처리,High,전시팀,005005,
20,행사관리,행사취소,행사 취소,행사 취소 및 재고 복구 처리,Medium,전시팀/신청자,005010,재고 자동 복구
21,행사관리,행사조회,행사 목록 조회,행사 목록 필터링 및 검색,High,전체,,
22,행사관리,행사조회,행사 상세 조회,행사 상세 정보 확인,High,전체,,
23,행사관리,행사조회,내 행사 목록,본인이 신청한 행사 목록 조회,High,외부사용자,,
24,행사관리,행사수정,행사 정보 수정,행사 정보 변경,Medium,전시팀/신청자,,승인 전만 가능
25,행사관리,비용관리,숙박비 계산,행사 기간에 따른 숙박비 자동 계산,Low,전체,,1일당 100000원
26,행사관리,첨부파일,행사 첨부파일 업로드,행사 관련 파일 업로드,Medium,전체,,/upload/attach/event
27,행사관리,첨부파일,행사 이미지 업로드,행사 설치 완료 이미지 업로드,Medium,전시팀,,/upload/image/event
28,부스관리,부스등록,부스 등록,새로운 부스 등록,High,물류팀,,
29,부스관리,부스등록,부스 정보 입력,부스명/규격/상태 정보 입력,High,물류팀,,
30,부스관리,부스등록,부스 이미지 업로드,부스 사진 업로드,Medium,물류팀,,/upload/image/booth
31,부스관리,부스등록,부스 첨부파일 업로드,부스 관련 파일 업로드,Medium,물류팀,,/upload/attach/booth
32,부스관리,부스상태,부스 상태 변경,정상/수리중/폐기/숨김 상태 변경,High,물류팀,002001~002010,
